Title,Scrapping Date,Article Date,Author,Link,Content
"Naik Lagi, Utang Pemerintah Tembus Rp8.353 T pada Mei 2024",2024-08-19T16:16:26.039Z,"Selasa, 02 Jul 2024 18:20 WIB",(del/pta),https://www.cnnindonesia.com/ekonomi/20240702163733-532-1116743/naik-lagi-utang-pemerintah-tembus-rp8353-t-pada-mei-2024,"Jakarta, CNN Indonesia -- Utang pemerintah menyentuh Rp8.353,02 triliun per Mei 2024. Angka ini naik sebesar Rp14,59 triliun dari bulan sebelumnya yang mencapai Rp8.338,43 triliun.Kementerian Keuangan (Kemenkeu) mencatat utang pemerintah tersebut mayoritas dalam bentuk surat berharga negara (SBN).""Berdasarkan instrumen, komposisi utang pemerintah sebagian besar berupa SBN yang mencapai 87,96 persen,"" bunyi laporan Kemenkeu dalam Buku APBN KiTA.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Sementara sebesar 12,04 persen dari utang Rp8.353 triliun itu dalam bentuk pinjaman. Rinciannya, Rp7.347,50 triliun berasal dari SBN dan Rp1.005,52 berasal dari pinjaman.Lihat Juga :Anak Pendiri Astra Gugat Waskita dan Kedubes India di Jakarta Rp3 TUtang pemerintah yang berasal dari SBN domestik sebesar Rp5.904,64 triliun. Ini terdiri dari dari Surat Utang Negara sebesar Rp4.705,24 triliun, serta dari Surat Berharga Syariah Negara (SBSN) sebesar Rp1.199,40 triliun. Sedangkan jumlah utang pemerintah dalam bentuk SBN valuta asing per akhir Mei 2024 sebesar Rp1.442,85 triliun, yang terdiri dari Surat Utang Negara Rp1.086,55 triliun dan SBSN Rp356,30 triliun.Lalu jumlah utang pemerintah dalam bentuk pinjaman terdiri dari pinjaman dalam negeri sebesar Rp36,42 triliun dan pinjaman luar negeri sebesar Rp969,10 triliun.
                                Pinjaman luar negeri itu terdiri dari bilateral sebesar Rp265,83 triliun, multilateral Rp584,65 triliun dan commercial banks sebesar Rp118,62 triliun.Adapun rasio utang mencapai 38,71 persen terhadap produk domestik bruto (PDB) per akhir Mei 2024. Angka ini konsisten terjaga di bawah batas aman 60 persen PDB sesuai UU Nomor 17 Tahun 2003 tentang Keuangan Negara.Rasio utang Mei juga menurun dari angka rasio utang terhadap PDB bulan sebelumnya yang mencapai 38,64 persen.""Pembiayaan utang on track dan manageable mendukung konsolidasi untuk menjaga kesinambungan fiskal,"" bunyi Kemenkeu lebih lanjut.[Gambas:Video CNN] (del/pta)"
Pemerintah Akui Sulit Rayu Gen Z Beli Surat Utang Negara,2024-08-19T16:16:32.057Z,"Selasa, 11 Jun 2024 10:19 WIB",(skt/sfr),https://www.cnnindonesia.com/ekonomi/20240610141224-532-1108017/pemerintah-akui-sulit-rayu-gen-z-beli-surat-utang-negara,"Jakarta, CNN Indonesia -- Kementerian Keuangan (Kemenkeu) mengakui sulit merayu Gen Z untuk membeli surat utang negara (SUN), khususnya dalam bentuk surat berharga negara (SBN) ritel.Tercatat, investor Gen Z baru mencapai 2,3 persen hingga April 2024 sedangkan pembeli SBN ritel dari kelompok Milenial menyentuh 51 persen.Direktur Surat Utang Negara Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kemenkeu Deni Ridwan menyinggung perilaku Gen Z yang mudah terjerat utang konsumtif. Ia menekankan perlu upaya lebih untuk mengedukasi generasi ini.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

""Sekarang ini untuk Gen Z terlalu mudah untuk berutang, ya kan? Sekarang kalau kita beli di e-commerce langsung tawaran paylater, jadi lebih mudah untuk bayar melalui pinjaman dibandingkan dengan cash,"" katanya dalam Media Briefing di Hotel Sultan, Jakarta Pusat, Senin (10/6).Lihat Juga :Daftar 6 Lahan Tambang Jatah Ormas Agama, NU Dapat Bekas Grup Bakrie ""Itu salah satu tantangan kita bagaimana supaya bisa mengedukasi masyarakat terkait pengelolaan keuangan yang baik. Supaya jangan sampai kita terjebak gaya hidup konsumtif, sehingga kita tidak memiliki aset yang cukup untuk menghadapi masa tua nanti,"" imbuh Deni.Deni mewanti-wanti jangan sampai gaya hidup masyarakat Indonesia dibiayai melalui pendapatannya di hari esok. Anak buah Menteri Keuangan Sri Mulyani itu berpesan lebih baik biaya hidup dibiayai pendapatan negara, yakni dengan membeli SBN ritel.Ia mengumumkan Kemenkeu resmi menawarkan savings bond ritel (SBR)-013, yakni SBR013T2 dengan tenor 2 tahun dan SBR013T4 yang jatuh tempo 4 tahun hingga 2028. Rinciannya, SBR013T2 menawarkan kupon minimal 6,45 persen per tahun serta SBR013T4 sebesar 6,60 persen setiap tahunnya.Masa penawaran SBN ritel jenis ini dimulai pada 10 Juni 2024 hingga 4 Juli 2024 mendatang.
                                ""Terkait penerbitan SBR013 ini, kita memiliki target awal sekitar Rp15 triliun. Cuma nanti tentu kita akan perhatikan juga minat dari masyarakat, kalau memang tinggi minatnya, kita punya spare alokasi untuk bisa up size hingga Rp20 triliun,"" ungkap Deni.Ia menegaskan SBR adalah investasi yang bebas gagal bayar karena pembayaran kupon dan pokoknya dijamin undang-undang. Selain itu, ini juga sudah dianggarkan di Anggaran Pendapatan dan Belanja Negara (APBN).Deni menyebut ada risiko likuiditas karena SBR tidak dapat diperdagangkan atau dialihkan. Kendati demikian, investor bisa mencairkan sebagian dana SBR sebelum jatuh tempo dengan memanfaatkan fasilitas early redemption.Di lain sisi, Deni merinci realisasi penjualan sejumlah SBN ritel yang sudah mencapai Rp64,93 triliun. Ini terdiri dari ORI025 sekitar Rp23,9 trillun, SR020 sebesar Rp21,36 triliun, dan ST012 menyentuh Rp19,65 triliun.[Gambas:Video CNN] (skt/sfr)"
Kemenkeu Incar Rp150 T dari Penerbitan SBN Ritel Tahun Ini,2024-08-19T16:16:40.577Z,"Kamis, 25 Mei 2023 08:35 WIB",(mrh/sfr),https://www.cnnindonesia.com/ekonomi/20230524185824-532-953610/kemenkeu-incar-rp150-t-dari-penerbitan-sbn-ritel-tahun-ini,"Jakarta, CNN Indonesia -- Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Keuangan) menaikkan target penerbitan Surat Berharga Negara (SBN) Ritel sebesar Rp150 triliun pada tahun ini.Kenaikan penerbitan SBN ritel itu dilakukan melalui seri Obligasi Negara Ritel (ORI), Sukuk Negara Ritel (SR), Savings Bond Ritel (SBR), dan Sukuk Tabungan (ST), dan Cash Waqf Linked Sukuk (CWLS).Direktur Surat Utang Negara (SUN) DJPPR Kemenkeu Deni Ridwan mengatakan kenaikan penerbitan tersebut dilakukan sesuai arahan Menkeu Sri Mulyani. Ia menyebut Sri Mulyani ingin memberikan kesempatan pada investor untuk berinvestasi pada SBN ritel.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Melihat Pembayaran Utang Pemerintah yang Kata JK Tembus Rp1.000 THal ini tak lepas dari permintaan tahun lalu yang meningkat.""Makanya alokasi untuk SBN ritel tahun ini kami naikkan antara Rp130 triliun sampai Rp150 triliun,"" ucap Deni di Jakarta, Rabu (24/5). Ia menuturkan capaian penerbitan SBN ritel terus meningkat pada 2020, 2021 dan 2022 masing-masing sebesar Rp76 triliun, Rp97 triliun, dan Rp107 triliun.Pada 2022, Kemenkeu berhasil menerbitkan SBN ritel sebesar Rp107 triliun yang dapat menjangkau lebih dari 186 ribu investor. Menurut Deni, hal ini menunjukkan SBN ritel terus mendapatkan sambutan dan antusiasme yang baik dari masyarakat secara luas.
                                Sebelumnya, mengawali penerbitan SBN Ritel 2023, pemerintah mulai menawarkan Savings Bond Ritel (SBR) seri SBR012-T2 dan SBR012-T4 (dual tranches) dengan total target awal Rp10 triliun.SBR012-T2 memiliki tenor 2 tahun kupon 6,15 persen, dan SBR012-T4 tenor 4 tahun kupon 6,35 persen, dengan waktu penawaran mulai pada 19 Januari sampai dengan 9 Februari 2023 lalu.[Gambas:Video CNN] (mrh/sfr)"
Survei: Dana Masyarakat Beralih dari Bank ke Surat Utang Negara,2024-08-19T16:16:46.494Z,"Jumat, 05 Nov 2021 20:38 WIB",(uli/sfr),https://www.cnnindonesia.com/ekonomi/20211105195413-78-717358/survei-dana-masyarakat-beralih-dari-bank-ke-surat-utang-negara,"Jakarta, CNN Indonesia -- Survei Institute for Development of Economics and Finance (Indef) menyorot perpindahan dana masyarakat di perbankan ke rekening pemerintah di masa pandemi covid-19. Hal ini diduga terjadi karena masyarakat gemar membeli surat utang atau surat berharga negara (SBN).""Ada perpindahan uang masyarakat dari perbankan ke rekening pemerintah untuk pembelian SBN,"" ungkap Peneliti Indef Izzudin Farras di konferensi pers virtual, Jumat (5/11).Kendati begitu, ia tidak merinci berapa nilai perpindahan dana masyarakat dari bank ke pemerintah. Namun, berdasarkan data Kementerian Keuangan, jumlah penarikan utang yang berasal dari penerbitan SBN berdenominasi rupiah mencapai Rp4.606,79 triliun.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Alasan Kecelakaan Tunggal Tak Dapat Santunan Jasa RaharjaUtang itu terdiri dari surat utang negara (SUN) sebanyak Rp3.741,31 triliun dan surat berharga syariah negara (SBSN) sebesar Rp865,48 triliun. Hanya saja, utang itu tidak hanya berasal dari masyarakat atau investor ritel, tapi juga korporasi.""Ini bisa terlihat juga dari peningkatan jumlah investor ritel,"" katanya. Sebagai gambaran, pada penerbitan surat utang seri ORI020 yang belum lama diterbitkan misalnya, tercatat jumlah investornya mencapai 30.053 orang. Dari jumlah itu sekitar 38,7 persen di antaranya merupakan investor baru.Lebih lanjut, Izzudin juga mengatakan tren perpindahan dana masyarakat ke pemerintah juga tercermin dari rendahnya permintaan kredit dari masyarakat. Menurutnya, masyarakat emoh menarik kredit karena dana yang ada masih cukup, bahkan bisa diinvestasikan.[Gambas:Video CNN]  (uli/sfr)"
Mayoritas Investor ORI020 'Emak-Emak',2024-08-19T16:16:54.455Z,"Selasa, 26 Okt 2021 08:57 WIB",(aud/bir),https://www.cnnindonesia.com/ekonomi/20211025183302-532-712180/mayoritas-investor-ori020-emak-emak,"Jakarta, CNN Indonesia -- Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan menyatakan mayoritas investor surat utang negara ritel seri ORI020 adalah ibu rumah tangga.DJPPR mencatat 59,1 persen investor ORI020 merupakan wanita. Jumlah ini merupakan yang tertinggi sejak SUN ritel ditawarkan secara online.""Apabila ditilik berdasarkan profesi investor, ibu rumah tangga menduduki peringkat tiga besar investor ORI020,"" tulis DJPPR lewat rilis resmi, Senin (25/10).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Kemenkeu Godok Surat Utang Khusus Tampung Dana Tax AmnestyBerdasarkan jumlah investor, generasi X mendominasi investor ORI020 dengan porsi sebesar 34,7 persen. Namun, secara nominal masih didominasi oleh generasi baby boomers yaitu 41,9 persen.Jika melihat profesinya, jumlah investor ORI020 didominasi pegawai swasta yaitu 31,4 persen. Namun, secara nominal, investor yang berprofesi wiraswasta masih mendominasi pemesanan ORI020, yakni 41,8 persen. Secara keseluruhan, DJPPR mencatat total investor ORI020 sebanyak 30.053. Dari jumlah itu, 11.631 investor atau 38,7 persen merupakan investor baru.Berdasarkan data DJPPR, terdapat 18.422 investor yang membeli SUN ritel lebih dari satu kali atau sebanyak 61,3 persen dari total investor ORI020 dengan nominal pemesanan sebesar Rp10,14 triliun.Lihat Juga :Cara Mudah Membuat NPWP Secara OnlinePemerintah menargetkan dapat meraup Rp15 triliun dari penerbitan ORI020. Dana itu akan digunakan untuk memenuhi sebagian kebutuhan pembiayaan APBN 2021, khususnya program penanggulangan pandemi covid-19 dan pemulihan ekonomi nasional.Target penerbitan ORI020 lebih rendah dibandingkan dengan hasil penerbitan SBN ritel sebelumnya, yaitu ORI019 yang sebesar Rp26 triliun dan SR015 sebesar Rp27 triliun.""Penurunan target tersebut dilakukan mempertimbangkan proyeksi penurunan kebutuhan pembiayaan APBN seiring membaiknya realisasi penerimaan negara, serta optimalisasi belanja negara dan pembiayaan non utang,"" jelas DJPPR.Sebagai catatan, ORI020 tersebut merupakan penerbitan instrumen SUN ritel terakhir pada 2021.[Gambas:Video CNN] (aud/bir)"
Faisal Basri Cemas Bank Banyak Beli SUN Dari Salurkan Kredit,2024-08-19T16:17:00.503Z,"Sabtu, 07 Agu 2021 08:55 WIB",(ulf/bir),https://www.cnnindonesia.com/ekonomi/20210806212419-532-677581/faisal-basri-cemas-bank-banyak-beli-sun-dari-salurkan-kredit,"Jakarta, CNN Indonesia -- Ekonom Senior Faisal Basri mengaku khawatir terhadap kondisi perbankan di dalam negeri. Pasalnya, perbankan Indonesia lebih banyak membeli Surat Utang Negara (SUN) yang diterbitkan oleh pemerintah ketimbang menyalurkan kredit.""Yang saya paling khawatir adalah perbankan ini, ketimbang menyalurkan kredit dia menjadi pembeli terbesar dari surat utang negara. Sepertiga surat utang negara itu dibeli bank,"" ujarnya dalam acara Jalan Terjal RI Keluar dari Resesi yang disiarkan CNN TV, Jumat (6/8).Minimnya penyaluran kredit oleh bank, lanjut dia, tercermin dari pertumbuhan kredit yang mengalami kontraksi dalam delapan bulan berturut-turut. Meskipun, sudah kembali positif pada Juni 2021 sebesar 0,59 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Pan Brothers Digugat Pailit oleh Maybank""Tidak mungkin, sekali lagi, ekonomi tumbuh bisa 5 persen kalau kreditnya seperti itu. Ujung tombak pertumbuhan ekonomi adalah investasi, dan investasi itu mengandalkan dana perbankan untuk usaha baru, untuk ekspansi usaha,"" ujarnya.Menurutnya, kondisi tersebut menggambarkan bahwa dana di Indonesia hanya berputar pada sektor keuangan. Padahal, guna mendorong perekonomian dana tersebut seharusnya disalurkan pada sektor riil sehingga menggerakkan roda ekonomi. ""Jadi sekarang kalau kita lihat uang itu berputar di sektor keuangan. Kita lihat saham ya, penuh, sudah 6.200 (IHSG). Jadi orang beli saham, emas, beli SUN, muter-muter saja di situ. Nah ini yang harus dinormalkan,"" imbuh dia.Lihat Juga :Faisal Basri: RI Tak Dapat Medali dengan Ekonomi 7,07 PersenIbarat tubuh, ekonomi Indonesia saat ini bisa tumbuh melesat 7,07 persen ditopang oleh transfusi darah. Padahal, untuk tumbuh sehat dibutuhkan darah segar yang berasal dari aktivitas ekonomi itu sendiri.""Kita tidak bisa ibarat setiap hari (transfusi darah), oleh karena itu darah segarnya itu harus tercipta di dalam aktivitas ekonomi itu sendiri,"" tandasnya.[Gambas:Video CNN] (ulf/bir)"
Pemerintah Kantongi Rp34 triliun dari Lelang 7 Surat Utang,2024-08-19T16:17:03.628Z,"Rabu, 04 Agu 2021 07:30 WIB",(wel/bir),https://www.cnnindonesia.com/ekonomi/20210803201422-532-675990/pemerintah-kantongi-rp34-triliun-dari-lelang-7-surat-utang,"Jakarta, CNN Indonesia -- Pemerintah mengantongi dana sebesar Rp34 triliun dari lelang tujuh seri Surat Utang Negara (SUN) dari total penawaran masuk sebesar Rp107,78 triliun. Sebagian dana itu bakal digunakan untuk memenuhi pembiayaan APBN 2021.Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan menyebut lelang SUN hari ini, Selasa (3/8), sejalan dengan target indikatif yang ditetapkan sebelumnya, yaitu Rp33 triliun-Rp49,5 triliun.Rincinya, seri SPN12211104, jumlah nominal yang dimenangkan mencapai Rp1 triliun dengan imbal hasil rata-rata tertimbang dimenangkan 2,82 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Sri Mulyani Sesalkan Banyak Hoaks Menyesatkan Selama PandemiKedua, seri SPN12220527, jumlah nominal yang dimenangkan sebesar Rp2 triliun dari total tawaran masuk Rp8,25 triliun. Imbal hasil rata-rata tertimbang yang dimenangkan adalah 3,12 persen.Ketiga, seri FR0090, jumlah nominal yang dimenangkan mencapai Rp10,5 triliun dengan imbal hasil rata-rata tertimbang dimenangkan 5,21 persen. Keempat, seri FR0091 dengan jumlah nominal yang dimenangkan mencapai Rp12,35 triliun dan imbal hasil rata-rata tertimbang dimenangkan sebesar 6,27 persen.Untuk seri FR0088, jumlah nominal yang dimenangkan mencapai Rp750 miliar dengan imbal hasil rata-rata tertimbang dimenangkan 6,29 persen.Lihat Juga :Pemerintah Lobi Iran Jual Remdesivir untuk RIKemudian, seri FR0092 jumlah nominal yang dimenangkan mencapai Rp6,6 triliun dengan imbal hasil rata-rata tertimbang dimenangkan sebesar 6,91 persen.Terakhir, seri FR0089 dengan jumlah nominal yang dimenangkan mencapai Rp800 miliar dan imbal hasil rata-rata tertimbang dimenangkan 6,87 persen.Peserta lelang terdiri dari Lembaga Penjamin Simpanan (LPS), Bank Indonesia, serta 16 perbankan sebagai daeler utama di antaranya Citibank, Deutsche Bank, HSBC Indonesia, Bank BCA, Bank Danamon.Kemudian, Maybank Indonesia, Bank Mandiri, BNI, OCBC NISP, Bank Panin, BRI, Bank Permata, CIMB Niaga, ANZ Indonesia, Standard Chartered, dan JP Morgan Chase.[Gambas:Video CNN] (wel/bir)"
"Pemerintah Lelang 7 Seri SUN di Agustus, Target Rp 33 Triliun",2024-08-19T16:17:06.406Z,"Sabtu, 31 Jul 2021 11:47 WIB",(tim/vws),https://www.cnnindonesia.com/ekonomi/20210731114140-78-674646/pemerintah-lelang-7-seri-sun-di-agustus-target-rp-33-triliun,"Jakarta, CNN Indonesia -- Pemerintah akan melelang Surat Utang Negara (SUN) pada 3 Agustus pekan depan. Penjualan SUN ditargetkan dapat menarik utang Rp33 triliun-Rp49,5 triliun untuk memenuhi pembiayaan APBN 2021.Penjualan SUN akan menggunakan sistem lelang yang diselenggarakan oleh Bank Indonesia.Lelang bersifat terbuka (open auction) menggunakan metode harga beragam (multiple price). Lelang ini akan dibuka pada Selasa, 3 Agustus mulai pukul 09.00 WIB dan tutup pukul 11.00 WIB. Sementara tanggal settlement ditetapkan pada Kamis, 5 Agustus.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Pelaksanaan lelang dilakukan berdasarkan Peraturan Menteri Keuangan Nomor 168/PMK.08/2019 tentang Lelang Surat Utang Negara di Pasar Perdana Domestik dan Peraturan Menteri Keuangan Nomor 38/PMK.02/2020 tentang Pelaksanaan Kebijakan Keuangan Negara untuk Penanganan Pandemi Covid-19. Pilihan RedaksiSri Mulyani Bebaskan Pajak Kapal Pesiar dan YachtSyarat Dapat BLT Dana Desa Rp900 Ribu di Era CoronaBocoran Erick Thohir soal IPO BUMN dan Anak UsahaSUN yang akan dilelang mempunyai nominal per unit sebesar Rp1 juta rupiah. Pemenang lelang yang mengajukan penawaran pembelian kompetitif (competitive bids) akan membayar sesuai dengan yield yang diajukan.Seri SUN yang akan dilelang terdiri dari 7 seri yaitu SPN12211104 (Reopening), SPN12220527 (Reopening), FR0090 (Reopening), FR0091 (Reopening), FR0088 (Reopening), FR0092 (Reopening), dan FR0089 (Reopening). Sementara tingkat kuponnya yaitu SPN12211104 (diskonto), SPN12220527 (diskonto), FR0090 (5,12 persen), FR0091 (6,37 persen), FR0088 (6,25 persen), FR0092 (7,12 persen), dan FR0089 (6,87 persen).Pemenang lelang yang mengajukan penawaran pembelian non-kompetitif (non-competitive bids) akan membayar sesuai dengan yield rata-rata tertimbang (weighted average yield) dari penawaran pembelian kompetitif yang dinyatakan menang.Peserta lelang terdiri dari Lembaga Penjamin Simpanan (LPS), Bank Indonesia, serta 16 perbankan sebagai daeler utama di antaranya Citibank, Deutsche Bank, HSBC Indonesia, Bank BCA, Bank Danamon, Maybank Indonesia, Bank Mandiri, BNI, OCBC NISP, Bank Panin, BRI, Bank Permata, CIMB Niaga, ANZ Indonesia, Standard Chartered, dan JP Morgan Chase. (tim/vws)
                    

                    
                    





  




                    

                                                
    [Gambas:Video CNN]
    
        var relatedVideos = JSON.parse('{""pageUrl"":""https:\/\/cnnindonesia.com\/ekonomi\/20240817230406-536-1134377\/aturan-yang-bolehkan-ditjen-pajak-intip-rekening-dengan-saldo-rp1-m"",""embedUrl"":""https:\/\/www.cnnindonesia.com\/embed\/video\/1134377"",""imageUrl"":""https:\/\/akcdn.detik.net.id\/visual\/2024\/08\/17\/aturan-yang-bolehkan-ditjen-pajak-intip-rekening-masyarakat-bersaldo-rp1-m_169.jpeg"",""time"":85,""title"":""Aturan yang Bolehkan Ditjen Pajak Intip Rekening dengan Saldo Rp1 M"",""animatedUrl"":""""}');"
Pemerintah Raup Rp30 T dari Lelang 7 Surat Utang Hari Ini,2024-08-19T16:17:07.640Z,"Selasa, 22 Jun 2021 20:04 WIB",(hrf/age),https://www.cnnindonesia.com/ekonomi/20210622194635-78-657945/pemerintah-raup-rp30-t-dari-lelang-7-surat-utang-hari-ini,"Jakarta, CNN Indonesia -- Pemerintah melaksanakan lelang tujuh seri Surat Utang Negara (SUN) pada hari ini, Selasa (22/6), dengan total penawaran yang masuk mencapai Rp69,9 triliun.Ketujuh seri yang ditawarkan melalui sistem lelang Bank Indonesia tersebut antara lain SPN03210922 (new issuance), SPN12220331 (reopening), FR0086 (reopening), FR0087 (reopening), FR0088 (reopening), FR0083 (reopening) dan FR0089 (reopening).""Total nominal yang dimenangkan dari ketujuh seri yang ditawarkan tersebut adalah Rp30 triliun,"" tulis Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kemenkeu dalam keterangan resmi, Selasa (22/6).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Baca juga:Realisasi Pembiayaan Investasi Naik 298 Persen Selama CoronaRinciannya SPN03210922 sebesar Rp1 triliun; SPN12220331 sebesar Rp1,45 triliun; FR0086 sebesar Rp9,45 triliun; FR0087 sebesar Rp12,6 triliun; FR0088 sebesar Rp700 miliar; FR0083 sebesar Rp4,15 triliun; serta FR0089 sebesar Rp650 miliar.SPN03210922 sendiri dimenangkan dengan imbal hasil (yield) 3,15 persen dan kupon diskonto serta memiliki jatuh tempo 22 September 2021. Kemudian, SPN12220331 dimenangkan dengan imbal hasil (yield) 3,35 persen dan kupon diskonto serta memiliki jatuh tempo 31 Maret 2022. Selanjutnya, FR0086 dimenangkan dengan imbal hasil (yield) 5,37 persen dan kupon 5,5 serta memiliki jatuh tempo 15 April 2026.Baca juga:Kemenkeu Tawarkan Surat Utang SBR010 dengan Kupon 5,1 PersenLalu, FR0087 dimenangkan dengan imbal hasil (yield) 6,6 persen dan kupon 6,5 persen serta memiliki jatuh tempo 15 Februari 2031. Ada pula, FR0088 yang dimenangkan dengan imbal hasil (yield) 6,46 persen dan kupon 6,25 persen serta memiliki jatuh tempo 15 Juni 2036.Selanjutnya, FR0083 dimenangkan dengan imbal hasil (yield) 7,25 persen dan kupon 7,5 persen serta memiliki jatuh tempo 15 April 2040. Terakhir, FR0089 yang dimenangkan dengan imbal hasil (yield) 6,95 persen dan kupon 6,875 persen serta memiliki jatuh tempo 15 Agustus 2051.[Gambas:Video CNN] (hrf/age)"
Pekan Depan Ada Lelang 7 SUN Target Maksimal Rp45 T,2024-08-19T16:17:09.597Z,"Sabtu, 19 Jun 2021 07:37 WIB",(wel/age),https://www.cnnindonesia.com/ekonomi/20210618210349-78-656434/pekan-depan-ada-lelang-7-sun-target-maksimal-rp45-t,"Jakarta, CNN Indonesia -- Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan akan menggelar lelang tujuh Surat Utang Negara (SUN) pada Selasa (22/6) mendatang. Target maksimal serapan surat utang sebesar Rp45 triliun.""Lelang dibuka pukul 09.00 dan ditutup pukul 11.00 WIB,"" tulis DJPPR dalam situs resmi, Jumat (18/6).Sementara setelmen akan dilakukan pada Kamis (24/6).
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Baca juga:Kemenkeu Dapat Rp13,5 T dari Lelang Pabrik Hingga Mobil AntikPertama, seri SPN03210922 dengan penawaran tingkat kupon diskonto dan jatuh tempo 22 September 2021. Kedua, seri SPN12220331 dengan penawaran tingkat kupon diskonto dan jatuh tempo 31 Maret 2022.Ketiga, seri FR0086 dengan penawaran tingkat imbal hasil (yield) 5,5 persen dan jatuh tempo 15 April 2026. Keempat, seri FR0087 dengan yield 6,5 persen dan jatuh tempo 15 Februari 2031. Kelima, seri FR0088 dengan yield 6,25 persen dan jatuh tempo 15 Juni 2036. Keenam, seri FR0083 dengan yield 7,5 persen dan jatuh tempo 15 April 2040.Baca juga:Kas Tertekan, 700 Perusahaan Tekstil Sulit Bayar KreditKetujuh, seri FR0089 dengan yield 6,87 persen dan jatuh tempo 15 Agustus 2051.Pelaksanaan lelang surat utang tambahan ini tertuang di Peraturan Menteri Keuangan (PMK) Nomor 168/PMK.08/2019 dan PMK Nomor 38/PMK.02/2020.""Pemerintah akan melakukan lelang Surat Utang Negara (SUN) dalam mata uang rupiah untuk memenuhi sebagian dari target pembiayaan dalam APBN 2021,"" jelas DJPRR.[Gambas:Video CNN] (wel/age)"
