Title,Scrapping Date,Article Date,Author,Link,Content
Bank Sentral Eropa Gelar Rapat Darurat,2024-08-19T16:15:09.555Z,"Kamis, 16 Jun 2022 12:25 WIB",(dzu/agt),https://www.cnnindonesia.com/ekonomi/20220616103959-78-809648/bank-sentral-eropa-gelar-rapat-darurat,"Jakarta, CNN Indonesia -- Bank Sentral Eropa (ECB) mengadakan rapat darurat pada Rabu (15/6) menanggapi lonjakan imbal hasil (yield) obligasi di negara-negara Eropa.Padahal, Kamis pekan lalu, ECB telah menggelar pertemuan yang memutuskan kenaikan suku bunga sebesar 25 basis poin, tertinggi dalam 11 tahun, pada Juli mendatang.Mengutip CNN.com, Kenaikan suku bunga ini untuk mengatasi inflasi, dan jika diperlukan ECB akan kembali menaikkan suku bunganya pada September mendatang. ECB juga mengatakan akan berhenti membeli obligasi pemerintah Eropa.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :The Fed Naikkan Suku Bunga Acuan AS 0,75 Persen, Tertinggi Sejak 1994ECB berjanji untuk melebarkan uang dari obligasi jatuh tempo yang dibelinya sebagai bagian dari program pembelian darurat pandemi atau PEPP, untuk mengurangi ketegangan. ""Dewan Pengurus memutuskan akan menerapkan fleksibilitas dalam menginvestasikan kembali pelunasan yang akan jatuh tempo dalam portofolio PEPP, dengan maksud untuk menjaga fungsi mekanisme transmisi kebijakan moneter,"" kata mereka dalam sebuah pernyataan setelah pertemuan luar biasa.Menurut laporan Tradeweb, kesenjangan antara imbal hasil obligasi 10 tahun antara pemerintah Jerman dan Italia berada pada level terlebar sejak Maret 2020 awal pekan ini. Spread antara obligasi Jerman dan Yunani juga melebar baru-baru ini.Lihat Juga :Hari Pertama Kerja, Zulkifli Hasan Kaget Harga Bahan Pokok Naik SemuaLaporan Capital Economics, imbal hasil obligasi Italia 10 tahun turun di bawah 4 persen dari 4,3 persen pada Selasa (14/6) di tengah berita pertemuan darurat ECB.""Strategi ECB yang dikomunikasikan dengan hati-hati adalah untuk mengakhiri pembelian aset, kemudian menaikkan suku bunga, mulai dengan kenaikan kecil dan mempercepat jika diperlukan,"" kata ahli strategi Societe Generale Kit Juckes.Pada akhir 2021, Yunani memiliki rasio utang terhadap PDB tertinggi di Eropa sebesar 193 persen, dan Italia 151 persen.Adapun selain ECB yang menggelar rapat darurat, Bank Sentral AS The Fed juga melakukan pertemuan serupa pada Rabu kemarin untuk membahas suku bunga, dan rencana untuk menaikkan suku bunga AS sebesar tiga perempat poin persentase, hal yang belum pernah dilakukan sejak 1994.[Gambas:Video CNN] (dzu/agt)
                    

                    
                    





  




                    

                                                
    [Gambas:Video CNN]
    
        var relatedVideos = JSON.parse('{""pageUrl"":""https:\/\/cnnindonesia.com\/tv\/20240625181419-405-1114038\/video-perkara-utang-rp-70-ribu-pemeran-tuyul-dibakar-teman"",""embedUrl"":""https:\/\/www.cnnindonesia.com\/embed\/video\/1114038"",""imageUrl"":""https:\/\/akcdn.detik.net.id\/visual\/2024\/06\/25\/perkara-utang-rp-70-ribu-pemeran-tuyul-dibakar-teman_169.jpeg"",""time"":71,""title"":""VIDEO: Perkara Utang Rp 70 Ribu, Pemeran &quot;Tuyul&quot; Dibakar Teman"",""animatedUrl"":""""}');"
BI Prediksi Suku Bunga Acuan The Fed Naik 4 Kali Tahun Ini,2024-08-19T16:15:19.536Z,"Jumat, 21 Jan 2022 10:22 WIB",(aud/bir),https://www.cnnindonesia.com/ekonomi/20220120185712-78-749290/bi-prediksi-suku-bunga-acuan-the-fed-naik-4-kali-tahun-ini,"Jakarta, CNN Indonesia -- Bank Indonesia (BI) memprediksi suku bunga acuan The Fed naik empat kali pada 2022. Hal ini berdasarkan kajian BI terhadap kondisi ekonomi dan inflasi di Amerika Serikat (AS).""Baseline skenario kami (bunga acuan The Fed) akan naik empat kali tahun ini,"" ungkap Gubernur The Fed Perry Warjiyo dalam konferensi pers secara daring, Kamis (20/1).Ia mengatakan The Fed berpotensi mengerek suku bunga acuan mulai Maret 2022. Namun, Perry belum bisa memprediksi berapa kenaikan suku bunga AS.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Transaksi Uang Elektronik Naik Jadi Rp305,4 T Sepanjang Tahun Lalu""Kenaikan (suku bunga The Fed) pada Maret probabilitasnya tinggi, apakah 25 bps, apakah 50 bps. Ini harus kami baca lebih lanjut,"" tutur Perry.Lebih lanjut Perry mengatakan pihaknya memproyeksi tingkat imbal hasil (yield) surat utang pemerintah AS naik 2 persen tahun ini. Kenaikan yield ini sejalan dengan potensi peningkatan suku bunga acuan The Fed. BI, kata Perry, telah menghitung dampak dari kenaikan suku bunga acuan The Fed dan yield surat utang pemerintah AS terhadap ekonomi domestik.Lihat Juga :BI Tahan Bunga Acuan 3,5 Persen pada Januari 2022""Kesimpulan kami lebih pada seberapa besar dampak kenaikan suku bunga The Fed dan yield, kemudian akan berdampak pada sisi eksternal ekonomi Indonesia,"" jelas Perry.Menurut Perry, kenaikan suku bunga acuan The Fed dan yield surat utang pemerintah AS akan berdampak pada arus modal asing. Hal ini khususnya investasi asing pada surat berharga negara (SBN).""Oleh karena itu dampak yang kami lihat seberapa jauh yield SBN akan naik, demikian juga dampaknya ke nilai tukar rupiah,"" pungkas Perry. (aud/bir)"
Keuntungan BUMN Penerima PMN di Bawah Biaya Utang Negara,2024-08-19T16:15:27.415Z,"Kamis, 16 Des 2021 08:20 WIB",(fry/sfr),https://www.cnnindonesia.com/ekonomi/20211215195650-92-734587/keuntungan-bumn-penerima-pmn-di-bawah-biaya-utang-negara,"Jakarta, CNN Indonesia -- Menteri Keuangan Sri Mulyani mengatakan mayoritas Badan Usaha Milik Negara (BUMN) yang diberikan suntikan Penyertaan Modal Negara (PMN) tidak mampu menghasilkan keuntungan di atas imbal hasil (yield) Surat Berharga Negara (SBN). Ia menilai hal itu sebagai masalah serius.""Hanya 25,60 persen BUMN kita yang bisa menghasilkan return on equity di atas yield SBN kita. Ini harus di justifikasi karena 74,40 persen mereka hasil dari ekuitasnya di bawah biaya utang kita. Ini jadi warning yang sangat serius,"" kata Sri Mulyani dalam Rapat Kerja dengan Komisi XI, Rabu (14/12).Penilaian efektivitas PMN terhadap kinerja BUMN ini dilakukan sepanjang 16 tahun dari 2005 hingga 2020.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Daftar BUMN yang Punya Utang Jumbo dan MenumpukNamun demikian, Sri Mulyani melihat kinerja PMN masih memberikan dampak positif tidak langsung terhadap masyarakat melalui berbagai sektor.Menurut perhitungan yang dilakukan Kementerian Keuangan dampak PMN terhadap masyarakat memiliki nilai Economic Internal Rate of Return (EIRR) hingga 21,05 persen. Angka ini dinilai jauh lebih tinggi dibandingkan suku bunga SBN 10 persen. ""Kami sekarang minta ada disiplin asessment tidak hanya secara keuangan tapi juga ada di ekonomi. Di sini terlihat EIRR 21,05 persen, di mana lebih tinggi dari SBN 10 persen. Jadi ada justifikasi manfaat ekonomi dibandingkan biaya uangnya, ini hal yang positif,"" ujarnya.Manfaat ekonomi bagi masyarakat dapat berupa pembangunan sejumlah infrastruktur, telekomunikasi, energi, hingga perumahan yang dilakukan oleh perusahaan-perusahaan negara.Lihat Juga :ANALISISMoratorium Unitlink Solusi Agar Tak Termakan Janji Manis Agen AsuransiDari sektor infrastruktur, seperti jalan dapat memberikan nilai tambah ekonomi sekitar Rp1.500 triliun dan menyerap 20 juta tenaga kerja.Pembangunan jaringan telekomunikasi dan informatika juga memberikan nilai tambah ekonomi sekitar Rp89 triliun dan menyerap 891 ribu tenaga kerja.Dari sektor energi, seperti ketenagalistrikan dengan kapasitas pembangkit energi sejumlah 63.336 megawatt dapat dinikmati oleh 79 juta orang pelanggan. Sementara, dari sektor perumahan setidaknya dapat menyerap 2 juta tenaga kerja dengan kontribusi kenaikan pendapatan nasional sebesar 13,3 persen.[Gambas:Video CNN] (fry/sfr)"
"Yield Surat Utang AS Naik, Rupiah Unjuk Gigi ke Rp14.210",2024-08-19T16:15:34.539Z,"Jumat, 08 Okt 2021 09:12 WIB",(uli/bir),https://www.cnnindonesia.com/ekonomi/20211008090153-78-705006/yield-surat-utang-as-naik-rupiah-unjuk-gigi-ke-rp14210,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di posisi Rp14.210 per dolar AS di perdagangan pasar spot pada Jumat (8/10). Mata uang Garuda menguat 6 poin atau 0,05 persen dibandingkan Rp14.216 per dolar AS pada Kamis (7/10).Rupiah menguat bersama peso Filipina menguat 0,11 persen dan dolar Singapura 0,04 persen dari dolar AS. Sementara dolar Hong Kong stagnan.Sedangkan mayoritas mata uang Asia lainnya melemah dari dolar AS, seperti won Korea Selatan melemah 0,22 persen, yen Jepang minus 0,21 persen, baht Thailand minus 0,19 persen, yuan China minus 0,06 persen, dan ringgit Malaysia minus 0,02 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat Juga :Harga Emas Antam Hari Ini 8 Oktober, Jatuh ke Rp914 RibuSebaliknya, mayoritas mata uang utama negara maju justru berada di zona hijau. Dolar Kanada menguat 0,03 persen, dolar Australia 0,03 persen, euro Eropa 0,02 persen, dan poundsterling Inggris 0,01 persen.Tapi, rubel Rusia melemah 0,13 persen dan franc Swiss minus 0,08 persen. Analis Pasar Uang Ariston Tjendra menilai penguatan rupiah terjadi karena fundamental ekonomi Indonesia sedang baik. Hal ini tercermin dari cadangan devisa yang tinggi dan harga komoditas yang naik di pasar global sehingga meningkatkan ekspor.Lihat Juga :Harga Minyak Dunia Bangkit Lagi, Sempat Jatuh 1,8 PersenRupiah sendiri diperkirakan bergerak di kisaran Rp14.200 sampai Rp14.230 per dolar AS pada hari ini.Kendati begitu, ia menilai ada potensi tekanan terhadap rupiah dari kenaikan tingkat imbal hasil (yield) surat utang AS, US Treasury bertenor 10 tahun ke kisaran 1,59 persen.""Penguatan nilai tukar rupiah terhadap dolar AS kemungkinan akan tertahan hari ini dengan kenaikan tingkat imbal hasil obligasi pemerintah AS mengantisipasi tapering,"" jelas Ariston kepada CNNIndonesia.com.[Gambas:Video CNN] (uli/bir)"
Kemenkeu Tekan Imbal Hasil SBN Demi Kurangi Beban Utang,2024-08-19T16:15:42.653Z,"Jumat, 04 Jun 2021 07:57 WIB",(uli/age),https://www.cnnindonesia.com/ekonomi/20210603201446-532-650158/kemenkeu-tekan-imbal-hasil-sbn-demi-kurangi-beban-utang,"Jakarta, CNN Indonesia -- Staf Khusus Menteri Keuangan Bidang Komunikasi Strategis Yustinus Prastowo menyatakan pemerintah terus berusaha menekan tingkat imbal hasil (yield) Surat Berharga Negara (SBN) untuk mengurangi beban jumlah utang dan bunga utang Indonesia.""Kemarin global sukuk kita (Indonesia) itu dilelang sesuai ekspektasi dengan yield yang lebih rendah dibandingkan periode sebelumnya. Artinya, kita melakukan manajemen yang baik supaya beban bunga (utang) tidak membebani kita, kita negosiasikan, kita tekan seiring dengan perbaikan kondisi ekonomi,"" ungkap Yustinus di acara diskusi bertajuk Ekonomi Pulih Menuju Kebangkitan Nasional, Kamis (3/6).Selain menjaga dari sisi penambahan utang, ia memastikan pemerintah juga menjaga dari sisi pengelolaan utang melalui pembayarannya sesuai masa jatuh tempo. Dengan begitu, beban bunga tidak bertambah terus.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Baca juga:Garuda Terancam Bangkrut Jika Restrukturisasi Utang GagalKendati begitu, ia mengakui bahwa rasio utang Indonesia masih cukup tinggi, yakni mencapai 41 persen dari Produk Domestik Bruto (PDB). Namun, jumlah ini sebenarnya belum menyentuh batas yang diatur dalam perundang-undangan, yaitu mencapai 60 persen.""Selama ini menurut UU dijaga di 60 persen dan kita jaga juga, tapi sekarang sudah 41 persen, menuju 42 persen, dan ini karena covid,"" tuturnya. Namun, Yustinus meyakini kondisi ini akan membaik bila kantong penerimaan pajak mulai terisi lagi sejalan pemulihan ekonomi.Baca juga:Realisasi PEN Baru 27,9 Persen per 28 Mei 2021""Kita optimistik dengan berbagai langkah yang sekarang disiapkan, seperti perbaikan administrasi, regulasi, dan juga implementasi lapangan, kita optimistik penerimaan pajak akan meningkat,"" ucapnya.Di sisi lain, ia mengatakan penerbitan utang oleh pemerintah sebenarnya menandakan terjaganya kepercayaan investor dan lembaga internasional kepada Indonesia.""Itu menunjukkan trust kepada kondisi ekonomi kita,"" pungkasnya.Sebagai informasi, jumlah utang pemerintah mencapai Rp6.527 triliun pada April 2021. Jumlahnya setara 41,8 persen dari PDB. [Gambas:Video CNN] (uli/age)"
"Surat Utang AS Diburu Investor, Rupiah Mandek di Rp14.407",2024-08-19T16:15:49.777Z,"Senin, 22 Mar 2021 16:17 WIB",(hrf/bir),https://www.cnnindonesia.com/ekonomi/20210322160352-78-620570/surat-utang-as-diburu-investor-rupiah-mandek-di-rp14407,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di posisi Rp14.407 per dolar AS pada perdagangan pasar spot Senin (22/3) sore. Mata uang Garuda stagnan jika dibandingkan perdagangan Jumat (19/3) sore di level Rp14.407 per dolar AS.Sementara itu, kurs referensi Bank Indonesia (BI) Jakarta Interbank Spot Dollar Rate (JISDOR) menempatkan rupiah di posisi Rp14.456 per dolar AS atau melemah dibandingkan posisi hari sebelumnya yakni Rp14.476 per dolar AS.Sore ini, mayoritas mata uang di kawasan Asia terpantau menguat terhadap dolar AS. Yen Jepang menguat 0,19 persen, dolar Taiwan menguat 0,04 persen, won Korea Selatan menguat 0,04 persen, peso Filipina menguat 0,23 persen, rupee India menguat 0,20 persen, dan yuan China menguat 0,01 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:IHSG Terpuruk ke 6.301 pada Hari Ini, 22 Maret 2021Sebaliknya, ringgit Malaysia melemah 0,06 persen dan bath Thailand terpantau melemah 0,34 persen. Sedangkan, dolar Singapura terpantau masih stagnan.Sementara itu, mata uang di negara maju kompak menguat terhadap dolar AS. Poundsterling Inggris menguat 0,01 persen, dolar Australia menguat 0,19 persen, dolar Kanada menguat 0,06 persen, dan franc Swiss menguat 0,22 persenDirektur PT TRFX Garuda Berjangka Ibrahim Assuaibi mengatakan pergerakan rupiah hari ini dipengaruhi imbal hasil surat utang AS 10 tahun tetap mendekati level tertinggi mereka dalam lebih dari satu tahun. Lelang surat utang AS untuk tenor dua, lima, dan tujuh tahun di akhir pekan ini juga berada dalam radar investor.Lihat juga:BPN soal Sertifikat Elektronik: Sertifikat Lama Tak Ditarik""Sementara itu, Gubernur TheFed Jerome Powell menegaskan dalam editorial Wall Street Journal bahwa Fed akan terus memberikan bantuan kepada perekonomian selama dibutuhkan di tengah kondisi pemulihan ekonomi yang saat ini masih jauh dari selesai,"" ucapnya dalam keterangan tertulis.Dari dalam negeri pergerakan rupiah dipengaruhi rencana pemerintah untuk menyiapkantambahan anggaran Rp60 triliun sebagai modal INA untuk merealisasikan kegiatannya.""Informasi Undang-Undang Cipta kerja juga membawa angin segar pagi mata uang rupiah kembali ke performa terbaik dan rupiah kembali digdaya walau hari ini hanya stagnan,"" terang dia.Untuk perdagangan besok, Ibrahim memproyeksikan mata uang rupiah bergerak di rentang Rp14.390-14.430 per dolar AS.[Gambas:Video CNN] (hrf/bir)"
Rupiah Mandek di Rp14.020 Saat Yield Surat Utang AS Landai,2024-08-19T16:15:54.648Z,"Kamis, 18 Feb 2021 09:16 WIB",(uli/bir),https://www.cnnindonesia.com/ekonomi/20210218091200-78-607705/rupiah-mandek-di-rp14020-saat-yield-surat-utang-as-landai,"Jakarta, CNN Indonesia -- Nilai tukar rupiah berada di posisi Rp14.020 per dolar AS di perdagangan pasar spot pada Kamis (18/2) atau stagnan dari posisi pada Rabu (17/2).Rupiah tak bergerak bersama dolar Hong Kong stagnan. Sementara, baht Thailand melemah 0,02 persen dari mata uang negeri Paman Sam.Sedangkan mata uang Asia lain menguat dari dolar AS. Won Korea Selatan menguat 0,21 persen, yuan China 0,1 persen, yen Jepang 0,09 persen, peso Filipina 0,06 persen, dolar Singapura 0,05 persen, dan ringgit Malaysia 0,03 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:Harga Minyak Makin Meroket Akibat Badai Musim Dingin TexasMata uang utama negara maju bergerak variasi. Sebagian berada di zona hijau, sebagian lainnya di zona merah.Dolar Australia menguat 0,05 persen, euro Eropa 0,04 persen, dan franc Swiss 0,04 persen. Sedangkan rubel Rusia melemah 0,07 persen, dolar Kanada minus 0,03 persen, dan poundsterling Inggris minus 0,03 persen. Analis sekaligus Kepala Riset Monex Investindo Ariston Tjendra melihat nilai tukar rupiah akan bergerak di rentang Rp13.950 sampai Rp14.050 per dolar AS pada hari ini dengan kecenderungan menguat.Pergerakan mata uang Garuda akan terbantu sentimen terkoreksinya tingkat imbal hasil (yield) surat utang AS, US Treasury.Lihat juga:IHSG Berpotensi Melemah Jelang Rilis Suku Bunga Acuan BI""Rupiah berpotensi menguat hari ini terhadap dolar AS,"" ucap Ariston kepada CNNIndonesia.com.Selain itu, potensi penguatan juga datang dari hasil rapat dewan gubernur bank sentral AS, The Federal Reserve yang mengindikasikan pelonggaran moneter.Hal ini memberi tanda pemulihan ekonomi belum berjalan cepat dan akan melemahkan dolar AS.[Gambas:Video CNN] (uli/bir)"
"Imbal Hasil SBR009 Tetap 6,3 Persen Meski BI Rate Turun",2024-08-19T16:15:59.473Z,"Rabu, 11 Nov 2020 23:22 WIB",(agt/agt),https://www.cnnindonesia.com/ekonomi/20201111190823-78-568723/imbal-hasil-sbr009-tetap-63-persen-meski-bi-rate-turun,"Jakarta, CNN Indonesia -- Pemerintah tetap memberikan tingkat kupon atau imbal hasil minimal sebesar 6,3 persen bagi pemilik surat utang ritel atau Savings Bond Ritel seri SBR009, meski ada penurunan tingkat suku bunga acuan Bank Indonesia 7 Days Reverse Repo Rate (BI 7DRRR).Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan mengatakan tingkat kupon tetap karena skema penentuan merujuk pada tingkat kupon minimal (floor). Artinya, imbal hasil dari surat utang ini tidak akan berubah dari nominal minimal saat pertama diluncurkan, yaitu sebesar 6,3 persen.Tingkat imbal hasil tidak akan kurang dari 6,3 persen sekalipun tingkat bunga acuan BI turun seperti yang terjadi saat ini, yaitu dari 5 persen saat penerbitan SBR009 menjadi 4 persen pada saat ini. Namun, tingkat imbal hasil akan lebih tinggi bila bunga acuan BI naik di atas 5 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:Kemenkeu Sesuaikan Kupon Tiga SBN Ritel""Maka, tingkat kupon SBR009 menggunakan tingkat kupon minimal SBR009 sebesar 6,30 persen,"" tulis DJPPR dalam keterangan resmi, Rabu (11/11).Kendati begitu, tingkat kupon ini hanya berlaku untuk periode 11 November 2020 sampai 10 Februari 2021. Sementara untuk 11 Februari 2021 sampai masa jatuh tempo tiba, yaitu pada 10 Februari 2022 akan disesuaikan lagi mengikuti perkembangan bunga acuan BI. Pada penerbitan SBR009, pemerintah berhasil meraup dana Rp2,2 triliun. Nilai yang dimenangkan sedikit lebih tinggi dari target awal Rp2 triliun.Jumlah investor yang memegang surat utang itu mencapai 11.247 orang. Dari jumlah itu sekitar 6.539 orang atau 58,14 persen diantaranya merupakan investor baru.Pembelian SBR009 didominasi oleh generasi milenial mencapai 5.733 orang atau 50,97 persen dari total investor. Namun, pembelian terbesar berasal dari generasi baby boomers mencapai Rp943 miliar atau 41,82 persen dari total penerbitan.[Gambas:Video CNN] (agt/agt)"
Pemerintah Proyeksi Bunga Obligasi Ritel Akan Landai di 2019,2024-08-19T16:16:01.416Z,"Jumat, 11 Jan 2019 07:00 WIB",(glh/bir),https://www.cnnindonesia.com/ekonomi/20190110173503-532-359971/pemerintah-proyeksi-bunga-obligasi-ritel-akan-landai-di-2019,"Jakarta, CNN Indonesia -- Kementerian Keuangan mengatakan kupon obligasi ritel yang akan diterbitkan pemerintah sepanjang tahun ini berpotensi melandai di setiap penerbitannya. Sebab menurutnya, ada kemungkinan tren imbal hasil (yield) obligasi dunia cenderung menurun, sehingga Indonesia akan mengikuti tren tersebut. Direktur Surat Utang Negara Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Loto Srinaita Ginting menyebutkan beberapa faktor yang melandasi hal tersebut.Pertama, pernyataan Gubernur Bank Sentral The Fed Jerome Powell yang mengatakan bahwa The Fed akan bersabar dalam mengambil kebijakan moneter di tahun ini. Dengan kata lain, ada kemungkinan The Fed sama sekali tak akan menaikkan suku bunga acuan di tahun ini.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

 Padahal di tahun kemarin, The Fed diprediksi malah akan menaikkan tiga hingga empat kali suku bunga acuan di tahun ini. Akibatnya, ada kemungkinan Bank Indonesia (BI) juga tak mengubah angka suku bunga acuannya. Sehingga, hal itu juga berimbas ke stagnasi atau bahkan penurunan imbal hasil obligasi pemerintah secara keseluruhan.Lihat juga:Lempar SBR 005, Pemerintah Cuma Beri 'Jatah' Rp5 Triliun""Memasuki tahun 2019, ada pernyataan yang dulu dilontarkan bahwa kenaikan Fed Rate bisa mencapai tiga empat kali, tapi ada komentar tidak agresif dari The Fed bisa saja bikin tidak ada kenaikan suku bunga. Kecenderungannya ke imbal hasil dan kupon nanti bisa menurun,"" jelasnya, Kamis (10/1). Kedua, lanjut Loto, bisa jadi berhubungan dengan perlambatan ekonomi China yang berlanjut hingga tahun ini. Hal itu diperkuat dengan laporan Bank Dunia yang memangkas predisi pertumbuhan ekonomi China dari 6,6 persen ke 6,2 persen pada tahun ini. Hal ini tentu akan berimbas ke kebijakan moneter China. Sesuai teorinya, perlambatan ekonomi akan membuat kebijakan moneter lebih longgar, sehingga suku bunga acuan akan diturunkan. Ketika suku bunga acuan turun, itu akan menyebabkan tingkat imbal hasil obligasi pemerintah ikut melandai.""China itu punya kekuatan ekonomi besar, makanya Bank Dunia melakukan menurunkan perkiraan pertumbuhan dunia tahun ini. Artinya, kalau ada kekuatan ekonomi besar mengalami perlambatan, mereka akan melakukan stimulus dan menekan suku bunganya,"" imbuh Loto.Lihat juga:Besok Pemerintah Lempar SBR Ritel dengan Bunga 8,15 PersenOleh karenanya, tingkat bunga kupon bagi penerbitan Surat Berharga Negara (SBN) ritel seri Savings Bond Ritel (SBR) 005 di awal tahun sebesar 8,15 persen bisa menjadi kupon tertinggi bagi obligasi ritel yang diterbitkan pemerintah sepanjang tahun ini. Rencananya, selain SBR 005, pemerintah akan menerbitkan sembilan kali penerbitan obligasi ritel lain yang terdiri dari tiga kali SBR, empat kali penerbitan Sukuk Tabungan (ST), satu kali penerbitan Obligasi Ritel (ORI), dan satu kali penerbitan sukuk ritel (sukri).""Tapi bisa saja perkiraannya berbalik arah. Perekonomian dunia itu berubah satu menit, satu hari, satu bulan, kapan saja. Jadi lebih baik investor ritel, berinvestasi saat ini saja, bisa jadi SBR 005 ini tingkat kuponnya paling tinggi dari penerbitan lain,"" terang dia.Di tahun ini, rencananya pemerintah akan menerbitkan SBN bruto sebesar Rp825,7 triliun demi menutupi defisit APBN yang ditarget 1,84 persen dari Produk Domestik Bruto (PDB). Dari angka tersebut, sebanyak 9 persen hingga 10 persen akan dikontribusikan dari penerbitan obligasi nonlelang, seperti obligasi ritel dan obligasi yang ditawarkan ke sekelompok kecil investor (private placement).Lihat juga:RI Masuk Kelompok Negara Tak Menarik di Mata Investor MinyakSepanjang tahun lalu, pemerintah berhasil menghimpun Rp46 triliun dari obligasi ritel yang terdiri dari SBN ritel sebanyak Rp32,62 triliun dan sukuk ritel sebanyak Rp13,38 triliun. (glh/bir)"
Kenaikan Yield Obligasi AS 'Tekuk' Bursa Saham Asia,2024-08-19T16:16:04.985Z,"Jumat, 05 Okt 2018 12:41 WIB",(mjs/bir),https://www.cnnindonesia.com/ekonomi/20181005122034-532-335986/kenaikan-yield-obligasi-as-tekuk-bursa-saham-asia,"Jakarta, CNN Indonesia -- Kenaikan imbal hasil atau yield obligasi Amerika Serikat (AS) membuat bursa saham negara-negara di Asia bertekuk lutut. MSCI, indeks saham Asia Pasifik di luar Jepang, tercatat turun 0,3 persen. Sementara, Nikkei Jepang turun 0,5 persen. Hanya, ASX Australia yang tumbuh tipis 0,1 persen.Mengutip Reuters, Jumat (5/10), saham-saham Wall Street juga melorot. Dow Jones turun 0,75 persen, S&P 500 turun 0,82 persen, dan Nasdaq Composite turun 1,81 persen.
@import url(""https://cdnstatic.detik.com/live/_rmbassets/2022/parallax/parallax.css"");



ADVERTISEMENT









  









SCROLL TO CONTINUE WITH CONTENT


function paraA(e) {
var p = $(e);
$(e + "" .para_fix"").width(p.width());
}
$("".paraA iframe"").on(""load"", paraA("".paraA""));

Lihat juga:Akhiri Pekan, IHSG Diprediksi Terkoreksi Pelemahan RupiahGubernur The Federal Reserve, bank sentral AS, Jerome Powell mengatakan kurva imbal hasil surat utang di AS naik ke level tertingginya dalam dua bulan terakhir ini ditopang oleh pertumbuhan positif ekonomi AS.Imbal hasil surat utang AS bertenor 30 tahun dipatok 3,35 persen, naik sedikit dari hari sebelumnya, yaitu 3,34 persen. Kenaikan imbal hasil tersebut ikut mendorong yield obligasi pemerintah di seluruh dunia. Terkecuali Italia, setelah pemerintahnya menyebut akan memangkas target defisit anggaran Tahun 2020.Lihat juga:Pelan-pelan, Rupiah Kumpulkan Tenaga untuk BangkitKepala Investasi Pendapatan Tetap di Whiz Partners Naoki Iwami mengimbau investor untuk mengkaji lagi portofolio mereka hari ini untuk menyiapkan langkah preventif.""Meski kami cenderung melihat data gaji yang kuat hari ini, tapi kami bisa melihat beberapa koreksi di pasar menjelang akhir pekan panjang di AS dan Jepang,"" ucap Iwami. (mjs/bir)"
