Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Pemerintah Tarik Pinjaman Lebih Banyak, Ekonom: Jaga Stabilitas Pasar Keuangan RI",2024-08-21T02:08:34.390Z,"Jumat, 12 Juli 2024 / 17:41 WIB",Reporter: Siti Masitoh | Editor: Putri Werdiningsih,https:////nasional.kontan.co.id/news/pemerintah-tarik-pinjaman-lebih-banyak-ekonom-jaga-stabilitas-pasar-keuangan-ri,"KONTAN.CO.ID – JAKARTA. Pemerintah memutuskan untuk memangkas target penerbitan surat berharga negara (SBN), dan memilih meningkatkan target pinjaman untuk memenuhi kebutuhan belanja dalam negeri. Hal ini dinilai sebagai salah satu langkah yang cukup efisien untuk menjaga stabilitas keuangan. Dalam APBN 2024, pinjaman hanya ditargetkan sebesar Rp 18,4 triliun, namun target tersebut naik menjadi Rp 101,3 triliun. Sementara itu, target penerbitan SBN justru turun, dari semula sebesar Rp 666,4 triliun menjadi Rp 451,9 triliun. Senior Ekonom Bank Permata, Faisal Rachman menilai, dibandingkan dengan mengandalkan penerbitan SBN untuk menambal defisit APBN 2024, meningkatkan target pinjaman dinilai cukup efisien. Sebab, jika pemerintah mengandalkan SBN, mau tidak mau pemerintah harus meningkatkan imbal hasil untuk menarik investor. Baca Juga: Pemerintah Pilih Opsi Tingkatkan Pinjaman dan Kurangi Penerbitkan Surat Utang Sebagaimana diketahui, defisit APBN 2024 diperlebar menjadi 2,7% dari produk domestik bruto (PDB) atau naik dari sebelumnya sebesar 2,29% dari  PDB. “Dengan demikian, (menaikkan pinjaman) untuk pelebaran outlook defisit fiskal pada APBN 2024 yang bertujuan untuk meningkatkan peran fiskal sebagai buffer atau shock absorber, dan pendukung pertumbuhan ekonomi, akan memiliki dampak terbatas pada pasar obligasi pemerintah Indonesia dan berujung pada stabilitas pasar keuangan kita,” ungkapkan kepada Kontan, Jumat (12/7). Adapun  sumber penutupan defisit tahun ini akan berasal dari efisiensi pembiayaan non utang, serta, pemerintah akan menambah penggunaan saldo anggaran lebih (SAL) sebesar Rp 100 triliun tahun ini sehingga total menjadi Rp 151,7 triliun. Untuk diketahui, outlook pinjaman luar negeri sebesar Rp 101,3 triliun tersebut terdiri dari pinjaman dalam negeri sebesar Rp 20,1 triliun, dan pinjaman luar negeri Rp 81,2 triliun. Kementerian Keuangan mencatat, realisasi pinjaman hingga semester I  2024 telah mencapai 8,5 triliun, terdiri dari pinjaman dalam negeri Rp 1,9 triliun dan pinjaman luar negeri Rp 6,6 triliun. Sebelumnya, Direktur Pinjaman dan Hibah, DJPPR Kementerian Keuangan, Dian Lestari menyampaikan, selain untuk membiayai proyek strategis, pinjaman juga digunakan untuk memenuhi pembiayaan defisit APBN. “Pemerintah terus berupaya agar proyek-proyek yang dibiayai melalui pinjaman dapat terlaksana secara optimal, sehingga manfaat yang diperoleh masyarakat dapat maksimal,” kata Dian. Adapun Dian memerinci, sejauh ini sudah banyak proyek prioritas nasional yang dibiayai melalui pinjaman. Di antaranya, pembangunan infrastruktur jalan tol Cisumdawu, jalan tol Medan-Kualanamu, jalan tol Solo-Kertosono, pembangunan Pelabuhan Patimban, dan MRT Jakarta. Lalu, proyek-proyek untuk institusi pendidikan, seperti pembangunan ITB, pembangunan UGM, dan pengembangan UIN Sunan Ampel. Juga proyek-proyek untuk fasilitas kesehatan, seperti pembangunan RS Universitas Indonesia, RSAU Sutomo Pontianak, dan RSPAL Ramelan. Cek Berita dan Artikel yang lain di Google News",nasional
"Perkuat Pasar Keuangan, BI Bakal Implementasikan CCP pada Semester II-2024",2024-08-21T02:08:34.770Z,"Senin, 24 Juni 2024 / 16:49 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/perkuat-pasar-keuangan-bi-bakal-implementasikan-ccp-pada-semester-ii-2024,"KONTAN.CO.ID - JAKARTA. Bank Indonesia (BI) membeberkan mengenai progres pembentukan central counterparty (CPP) untuk transaksi suku bunga dan nilai tukar. Gubernur Bank Indonesia, Perry Warjiyo, mengatakan bahwa saat ini proses pendirian CPP sudah masuk dalam proses finalisasi antar pemilik saham. ""Saat ini untuk pendirian CCP yang sudah disetujui Komisi XI kami dalam proses finalisasi perjanjian antar pemilik saham,"" ujar Perry dalam Rapat bersama Komisi XI DPR RI, Senin (24/6). Dalam kesempatan yang sama, Deputi Gubernur Senior Bank Indonesia, Destry Damayanti, mengungkapkan bahwa rencananya implementasi CPP akan dilakukan pada semester II-2024. Baca Juga: Destry Damayanti Ungkap Sinergi untuk Mendukung Indonesia Maju ""Sekarang ini sudah persetujuan antar pemegang saham. Dan kami rencanakan di tahun 2024 di semester II akan mulai implementasi untuk CPP,"" kata Destry. Untuk diketahui, pembentukan CCP telah diatur melalui Peraturan Bank Indonesia (PBI) Nomor 21/11/PBI/2019 tentang Penyelenggaraan Central Counterparty Transaksi Derivatif Suku Bunga dan Nilai Tukar Over the Counter. Adapun BI sudah mengguyur dana atau melakukan penyertaan modal sebesar Rp 40 miliar untuk pendirian lembaga tersebut. Jumlah modal awal tersebut telah disetujui Komisi XI DPR RI pada tahun lalu. Baca Juga: Layani Pasar Uni Eropa, KPEI Mendapat Pengakuan CCP Dari ESMA ""Kami berterimakasih sekali kepada Bapak/Ibu sekalian karena sudah disetujui untuk BI bisa menempatkan dana sebesar Rp 40 miliar untuk pembentukan CCP,"" katanya. CCP sendiri merupakan lembaga infrastruktur pasar keuangan yang menjalankan fungsi kliring sentral dalam transaksi derivatif suku bunga dan nilai tukar (SBNT) dengan sekaligus menempatkan dirinya sebagai penjamin di antara para pihak yang melakukan transaksi dimaksud untuk mitigasi risiko kegagalan transaksi antar pihak, risiko likuiditas dan risiko karena volatilitas harga pasar. Cek Berita dan Artikel yang lain di Google News",nasional
"Arah Kebijakan The Fed Makin Jelas, Angin Segar Bagi Pasar Keuangan Indonesia",2024-08-21T02:08:35.535Z,,Premium User Only,https:////insight.kontan.co.id/news/arah-kebijakan-the-fed-makin-jelas-angin-segar-bagi-pasar-keuangan-indonesia,Premium Content - Not Scraped,insight
"Ketidakpastian di Pasar Berlanjut, Berikut Saran Alokasi Aset Keuangan Saat Ini",2024-08-21T02:08:35.737Z,"Senin, 27 Mei 2024 / 18:14 WIB",Reporter: Akmalal Hamdhi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/ketidakpastian-di-pasar-berlanjut-berikut-saran-alokasi-aset-keuangan-saat-ini,"KONTAN.CO.ID – JAKARTA. Kondisi ketidakpastian masih membayangi pasar finansial. Belum jelasnya arah kebijakan suku bunga dan potensi eskalasi perang akan sangat berpengaruh bagi keputusan investasi. Seperti diketahui, data ekonomi Amerika Serikat (AS) yang kuat mengurangi sentimen penurunan suku bunga. Risalah rapat The Fed terbaru juga menunjukkan beberapa pejabat bersedia memperketat kebijakan lebih lanjut jika inflasi kembali melonjak. Di sisi lain, perang masih belum berkesudahan di timur tengah. Potensi konflik dapat sewaktu-waktu meletup seiring kematian Presiden Iran Ebrahim Raisi menimbulkan spekulasi terjadinya perang dunia ketiga. Perencana Keuangan dari Finansia Consulting Eko Endarto mengatakan, pada dasarnya pelonggaran kebijakan moneter untuk menumbuhkan kembali aktivitas ekonomi. Dengan asumsi tidak ada kenaikan suku bunga acuan dan kurs rupiah masih bertahan, mestinya tidak akan ada aksi radikal dari pemerintah. Eko berujar, meski kondisi pasar keuangan global masih dipenuhi ketidakpastian, perekonomian domestik masih cukup resilien. Dalam jangka pendek, perekonomian domestik justru dipandang optimis menjelang pergantian pemerintahan baru. Baca Juga: Masih Disetir Eksternal, Rupiah Diperkirakan Lanjut Melemah Pada Selasa (28/5) “Kondisi dalam negeri cukup baik bahkan optimistis setidaknya sampai November 2024,” ujar Eko saat dihubungi Kontan.co.id, Senin (27/5). Eko menjelaskan, kurs rupiah biasanya akan bergerak turun (menguat) saat bergantinya kepemimpinan, lalu Indeks Harga Saham Gabungan (IHSG) juga akan meningkat. Namun sekitar 6 bulan setelahnya, pemerintahan baru akan diuji. Di samping itu, Eko menilai, memang kondisi masih agak was-was seiring masih maraknya terjadi Pemutusan Hubungan Kerja (PHK), pertumbuhan ekonomi juga cukup stagnan, serta masih tingginya angka impor. Masalah-masalah ini dikhawatirkan bakal menjadi risiko dalam jangka panjang. “Kekhawatiran jangka panjang ini mesti menjadi perhatian pemerintah Indonesia. Jangka pendek mungkin akan baik, tetapi bukan berarti tidak menyimpan risiko,” tambahnya. Oleh karena itu, Eko menyarankan, masyarakat untuk mengamankan uang kas supaya berjaga-jaga karena likuiditas masih sangat dibutuhkan dalam jangka pendek. Investor juga harus memikirkan investasi jangka panjang menggunakan dana khusus bukan untuk kebutuhan spekulasi karena kondisi ekonomi saat ini masih belum jelas. Lebih baik untuk saat ini mengurangi spekulasi pada aset-aset tertentu. Apabila kondisi perekonomian sudah membaik, barulah bisa mencoba spekulasi pada aset untuk memperoleh keuntungan besar. “Kurangi jenis-jenis aset spekulasi tinggi seperti properti dan saham untuk beralih ke emas atau obligasi yang lebih stabil sebagai alternatif di masa ketidakpastian ini,” jelas Eko. CEO PT Pinnacle Persada Investama (Pinnacle Investment) mengatakan bahwa perlu adanya penyesuaian portofolio investasi dalam situasi di tengah ketidakpastian seperti ini, di mana ada optimisme terkait penurunan suku bunga oleh The Fed namun diiringi risiko geopolitik yang tinggi. “Komposisi portofolio investasi perlu disesuaikan dengan toleransi risiko masing-masing investor,” ungkap Guntur kepada Kontan.co.id, Minggu (26/5). Baca Juga: Ada Sentimen Rebalancing Indeks, Simak Rekomendasi Saham Pilihan IPOT pada Minggu Ini Guntur menyebutkan, investor dapat menyusun portofolio investasi sesuai dengan berbagai tipe investor yakni agresif, moderat dan konservatif. Bagi investor agresif, sekitar 65% porsi investasi dapat dititikberatkan pada instrumen saham ataupun reksadana saham. Investor dapat fokus pada saham sektor teknologi, kesehatan, dan perusahaan yang memiliki fundamental kuat dan potensi pertumbuhan tinggi. Sedangkan, reksadana saham untuk diversifikasi dan manajemen risiko yang lebih baik. Reksadana obligasi dan pasar uang juga bisa diperhatikan untuk aset kelas yang lebih stabil dan likuiditas yang tinggi. Investor bisa menyisihkan investasi sekitar 20% pada aset reksadana obligasi dan pasar uang. Investor berkarakter agresif juga bisa mencermati kripto dengan memasukkan aset sekitar 5%. Sebab, kripto dapat memberikan imbal hasil atau return tinggi dengan volatilitas dan risiko sangat tinggi pula. Sebagai pelengkap, porsi investasi sekitar 10% perlu dimasukkan ke instrumen emas sebagai lindung nilai. Logam mulia akan berfungsi sebagai lindung nilai atau safe haven terhadap ketidakpastian geopolitik. Guntur melanjutkan, investor moderat adalah mereka yang menginginkan keseimbangan antara risiko dan return. Oleh karena itu, sekitar 40-50% porsi investasi dapat dimasukkan ke saham dengan memilh saham blue chip dan sektor yang stabil seperti utilitas dan consumer staples. Baca Juga: Pemerintah Lelang Delapan Seri SUN Pada Selasa (28/5) Target Indikatif Rp 33 Triliun Kemudian, sekitar 20-30% bisa dimasukkan ke reksadana campuran sebagai instrumen gabungan antara saham dan obligasi untuk diversifikasi. Serta, obligasi Pemerintah sekitar 20-30% untuk memberikan stabilitas dan penghasilan tetap. Investor moderat juga perlu membeli emas dengan porsi sekitar 10-15% sebagai lindung nilai. Sementara itu, Guntur berujar, bagi investor konservatif yang lebih mengutamakan keamanan dan stabilitas daripada imbal hasil dapat memasukkan investasi pada obligasi pemerintah dengan porsi sekitar 40-50%. Surat Utang Negara (SUN) akan memberi stabilitas dan penghasilan tetap yang lebih aman. Setelah itu, aset dapat dialokasikan pada reksadana pendapatan tetap sekitar 20-30% untuk diversifikasi surat utang yang berisiko rendah. Emas juga masih dibutuhkan dengan porsi sekitar 20-25% sebagai lindung nilai terhadap risiko geopolitik saat ini. Selain itu, Guntur mengatakan, cash atau deposito juga diperlukan investor konservatif untuk likuiditas dan keamanan maksimal. Investor juga dapat mempertimbangkan reksadana Indeks atau ETF sebagai eksposur pasar yang lebih luas dengan manajemen risiko yang lebih baik. Cek Berita dan Artikel yang lain di Google News",investasi
"Waspada, BI Ingatkan Ketidakpastian Pasar Keuangan Global Masih Tinggi",2024-08-21T02:08:35.926Z,"Jumat, 24 Mei 2024 / 05:45 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/waspada-bi-ingatkan-ketidakpastian-pasar-keuangan-global-masih-tinggi,"KONTAN.CO.ID - JAKARTA. Bank Indonesia (BI) melihat ketidakpastian pasar keuangan global tetap tinggi di tengah prospek perekonomian Amerika Serikat (AS) yang kuat. Gubernur BI Perry Warjiyo menyampaikan, meskipun pertumbuhan ekonomi AS kuat ditopang oleh perbaikan permintaan domestik, termasuk fiskal akomodatif, dan kenaikan ekspor, namun inflasi AS pada April 2024 tetap tinggi sejalan dengan pertumbuhan ekonomi AS yang kuat, meski melambat dibandingkan dengan inflasi Maret 2024. “Perkembangan inflasi ini meningkatkan kemungkinan penurunan Fed Funds Rate (FFR) pada akhir tahun 2024. Pada saat bersamaan, risiko memburuknya ketegangan geopolitik sejak akhir April 2024 tidak berlanjut,” tutur Perry dalam konferensi pers, Rabu (22/5). Baca Juga: Fluktuasi Rupiah Masih Tinggi, BI Disarankan Lakukan Hal Ini Berbagai kondisi ini berdampak positif pada tertahannya penguatan dolar AS secara global dan menurunnya yield US Treasury dibandingkan dengan kondisi pada pertengahan April 2024, meski masih berada pada level yang tinggi. Disamping itu, Perry menyebut aliran modal ke negara berkembang kembali terjadi dan mengurangi tekanan terhadap nilai tukarnya. Ke depan, Perry menambahkan, risiko terkait arah penurunan FFR dan dinamika ketegangan geopolitik global tetap perlu dicermati karena dapat kembali mendorong kenaikan ketidakpastian pasar keuangan global, menekan mata uang negara berkembang, meningkatkan tekanan inflasi, dan menurunkan prospek pertumbuhan ekonomi dunia. Kondisi ini memerlukan respons kebijakan yang kuat untuk memitigasi dampak negatif dari rambatan ketidakpastian global tersebut terhadap perekonomian di negara-negara berkembang, termasuk Indonesia. Meski begitu, Perry melihat ekonomi Indonesia tetap berdaya tahan pada periode tingginya ketidakpastian global. Pertumbuhan ekonomi triwulan I 2024 tercatat 5,11% year on year (yoy), meningkat dibandingkan dengan pertumbuhan pada triwulan sebelumnya sebesar 5,04% yoy. Baca Juga: Bank Indonesia Kantongi Rp 508,41 Triliun dari Lelang SRBI Kemudian, perkembangan terkini juga menunjukkan kegiatan ekonomi pada kuartal II 2024 tetap baik, sebagaimana tecermin pada kinerja positif sejumlah indikator konsumsi rumah tangga dan investasi, seperti Indeks Keyakinan Konsumen, Indeks Penjualan Riil, dan Purchasing Managers' Index (PMI) Manufaktur. “Dengan berbagai perkembangan tersebut, pertumbuhan ekonomi 2024 diperkirakan berada dalam kisaran 4,7%-5,5%,” kata Perry. Bank Indonesia, terus memperkuat sinergi untuk mendukung pertumbuhan ekonomi berkelanjutan, khususnya dari sisi permintaan, melalui stimulus kebijakan makroprudensial yang ditempuh dengan stimulus fiskal pemerintah. Cek Berita dan Artikel yang lain di Google News",nasional
Bank Indoensia Sebut Ketidakpastian Pasar Keuangan Masih Tinggi,2024-08-21T02:08:36.117Z,"Kamis, 23 Mei 2024 / 13:31 WIB",Reporter: Siti Masitoh | Editor: Anna Suci Perwitasari,https:////nasional.kontan.co.id/news/bank-indoensia-sebut-ketidakpastian-pasar-keuangan-masih-tinggi,"KONTAN.CO.ID – JAKARTA. Bank Indonesia (BI) melihat ketidakpastian pasar keuangan global tetap tinggi di tengah prospek perekonomian Amerika Serikat (AS) yang kuat. Gubernur BI Perry Warjiyo menyampaikan, meskipun pertumbuhan ekonomi AS tumbuh kuat dengan ditopang oleh perbaikan permintaan domestik, termasuk fiskal akomodatif, dan kenaikan ekspor. Namun kondisi I=inflasi AS pada April 2024 tetap tinggi sejalan dengan pertumbuhan ekonomi AS yang kuat tersebut, meski melambat dibandingkan dengan inflasi Maret 2024. “Perkembangan inflasi ini meningkatkan kemungkinan penurunan Fed Funds Rate (FFR) pada akhir tahun 2024. Pada saat bersamaan, risiko memburuknya ketegangan geopolitik sejak akhir April 2024 tidak berlanjut,” tutur Perry dalam konferensi pers, Rabu (22/5). Berbagai kondisi ini berdampak positif pada tertahannya penguatan dolar AS secara global dan menurunnya yield US Treasury dibandingkan dengan kondisi pada pertengahan April 2024, meski masih berada pada level yang tinggi. Disamping itu, Perry menyebut aliran modal ke negara berkembang kembali terjadi dan mengurangi tekanan terhadap nilai tukarnya. Baca Juga: Bank Indonesia Kantongi Rp 508,41 Triliun dari Lelang SRBI Ke depan, Ia menambahkan, risiko terkait arah penurunan FFR dan dinamika ketegangan geopolitik global tetap perlu dicermati karena dapat kembali mendorong kenaikan ketidakpastian pasar keuangan global, menekan mata uang negara berkembang, meningkatkan tekanan inflasi, dan menurunkan prospek pertumbuhan ekonomi dunia. Kondisi ini memerlukan respons kebijakan yang kuat untuk memitigasi dampak negatif dari rambatan ketidakpastian global tersebut terhadap perekonomian di negara-negara berkembang, termasuk Indonesia. Meski begitu, Perry melihat ekonomi Indonesia tetap berdaya tahan pada periode tingginya ketidakpastian global. Pertumbuhan ekonomi triwulan I 2024 tercatat 5,11% year on year (yoy), meningkat dibandingkan dengan pertumbuhan pada triwulan sebelumnya sebesar 5,04% yoy. Kemudian, perkembangan terkini juga menunjukkan kegiatan ekonomi pada kuartal II 2024 tetap baik, sebagaimana tecermin pada kinerja positif sejumlah indikator konsumsi rumah tangga dan investasi, seperti Indeks Keyakinan Konsumen, Indeks Penjualan Riil, dan Purchasing Managers' Index (PMI) Manufaktur. “Dengan berbagai perkembangan tersebut, pertumbuhan ekonomi 2024 dipraktikkan berada dalam kisaran 4,7-5,5%,” kata Perry. Bank Indonesia, terus memperkuat sinergi untuk mendukung pertumbuhan ekonomi berkelanjutan, khususnya dari sisi permintaan, melalui stimulus kebijakan makroprudensial yang ditempuh dengan stimulus fiskal pemerintah. Cek Berita dan Artikel yang lain di Google News",nasional
"Jumlah Investor di Pasar Modal Tumbuh Signifikan, Literasi Keuangan Menjadi Penting",2024-08-21T02:08:36.383Z,,,https:////lifestyle.kontan.co.id/news/jumlah-investor-di-pasar-modal-tumbuh-signifikan-literasi-keuangan-menjadi-penting,,lifestyle
"Jurus BI Ampuh, Dana Asing Kembali Mengalir Deras ke Pasar Keuangan Domestik",2024-08-21T02:08:36.538Z,"Senin, 20 Mei 2024 / 17:00 WIB",Reporter: Akmalal Hamdhi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/jurus-bi-ampuh-dana-asing-kembali-mengalir-deras-ke-pasar-keuangan-domestik,"KONTAN.CO.ID - JAKARTA. Dana asing kembali masuk ke pasar keuangan domestik di pekan ketiga Mei 2024. Aksi beli investor asing mulai ramai terjadi setelah Bank Indonesia (BI) mengerek suku bunga acuan. Berdasarkan data transaksi 13 – 16 Mei 2024, nonresiden atau investor asing di pasar keuangan domestik tercatat beli neto atau inflow sebesar Rp 22,06 triliun. Ini menambah tren positif aliran modal asing masuk pada pekan pertama dan kedua Mei 2024 dengan total Rp 22,84 triliun. Secara rinci, inflow di pekan ketiga Mei 2024 terdiri dari beli neto Rp 5,30 triliun di pasar Surat Berharga Negara (SBN), jual neto Rp 2,40 triliun di pasar saham, dan beli neto Rp 19,17 triliun di Sekuritas Rupiah Bank Indonesia (SRBI). Baca Juga: Capital Inflow Masuk Rp 22,06 Triliun di Pekan Ketiga Mei 2024 Associate Director Fixed Income Anugerah Sekuritas Ramdhan Ario Maruto mencermati, masuknya dana asing kembali ke Indonesia belakangan ini terjadi setelah Bank Indonesia (BI) menaikkan suku bunga acuan. Ditambah lagi, kondisi makro ekonomi Indonesia cukup stabil. “Dalam sepekan lalu, kita lihat inflow masuk yang terbukti dari pasar menguat dalam arti yield bergerak turun,” ujar Ramdhan saat dihubungi Kontan.co.id, Senin (20/5). Seperti diketahui, Bank Indonesia menaikkan suku bunga acuan menjadi 6,25% pada 23-24 April 2024 lalu. Kenaikan suku bunga BI tersebut disaat The Fed masih mempertahankan suku bunga acuannya di level 5,25% - 5,5%. Ramdhan melihat, langkah BI menaikkan suku bunga utamanya untuk menahan arus keluar (outflow) yang cukup masif di awal tahun ini. Sehingga, wajar apabila sejauh ini arus masuk juga dinilai belum begitu besar ke pasar keuangan domestik. Menurut dia, potensi arus inflow dana asing masih cukup besar ke depannya karena yield atau imbal hasil surat utang Indonesia lebih menarik dibandingkan negara lain seperti Singapura ataupun Malaysia. Dengan demikian, arus masuk akan menambah likuditas yang akhirnya bisa menekan yield SBN 10 Tahun bisa kembali turun ke level 6,5% di akhir 2024. Baca Juga: IHSG Melonjak 3,22% Pekan Ini, Penjualan Bersih Investor Asing Menciut “Kami optimistis yield akan turun yang diekspektasikan ke 6,5% di akhir tahun,” imbuh Ramdhan. Meski diperkirakan bakal ada perubahan kebijakan moneter ke depannya, langkah tersebut dinilai sudah bukan kejutan lagi. Sebab, awal tahun ini The Fed sudah menyampaikan panduan suku bunganya walaupun jadwal pemangkasan bunga mungkin sedikit mundur. “Kondisi global sudah mengarah ke tren pemangkasan suku bunga acuan, sehingga yield diperkirakan bakal menguat dalam artian bergerak turun,” pungkas Ramdhan. Cek Berita dan Artikel yang lain di Google News",investasi
"Menyasar Pangsa Pasar yang Tepat, Analis Sebut Kinerja Keuangan DATA Bisa Bertumbuh",2024-08-21T02:08:36.757Z,"Kamis, 02 Mei 2024 / 10:59 WIB",Reporter: Ahmad Febrian | Editor: Ahmad Febrian,https:////investasi.kontan.co.id/news/menyasar-pangsa-pasar-yang-tepat-analis-sebut-kinerja-keuangan-data-bisa-bertumbuh,"KONTAN.CO.ID - JAKARTA. Saat ini industri telekomunikasi dibayang-bayangi maraknya usaha ilegal dari RT RW Net dan rencana masuknya Starlink. Namun dengan jumlah penduduk banyak dan wilayah yang cukup luas, masih memberikan peluang pertumbuhan yang cukup baik emiten sektor telekomunikasi di Indonesia. Saat ini penetrasi fixed broadband masih 15% sampai 20%. Saat ini pemain fixed broadband masih didominasi pemain besar dengan average revenue per user (ARPU) antara Rp 250.000 hingga Rp 400.000. Richardson Raymond, analis saham PT Trimegah Sekuritas menjelaskan. segmen konsumen A dan B  sudah digarap oleh perusahaan besar. Sedangkan segmen konsumen mid low dengan ARPU antara Rp 150.000 hingga Rp 250.000 belum tergarap. “Beberapa tahun mendatang emiten telekomunikasi besar akan mengarah ke segmen konsumen kelas C dan D yang jumlahnya lebih banyak dan belum tergarap. Namun untuk menggarap segmen pasar tersebut memiliki tantangan. Jika dalam penggelaran jaringannya perusahaan tersebut tidak efisien dan costnya besar, maka mereka tak mungkin dapat masuk ke segmen konsumen terbesar di Indonesia tersebut,” terang Richardson, dalam keterangannya, Rabu (1/5). Richardson  menilai, perusahaan seperti PT Remala Abadi  Tbk sudah memiliki kompetensi untuk segmen tersebut. Sebagai internet service provider  (ISP), perusahaan yang akan memiliki kode saham DATA merupakan pemain yang sangat berpengalaman menggarap pasar internet di Indonesia. “Selain menggarap segmen mid low, DATA juga memiliki segmen pasar kelas A dan B. Ini yang membuat kinerja keuangan DATA tumbuh signifikan dari tahun ke tahun. Dengan initial public offering (IPO) yang mereka lakukan, saya optimistis pertumbuhan dua digit mampu dibukukan DATA. Sehingga menurut saya saham DATA masih  menarik,” kata Richardson. Baca Juga: Perusahaan Jasa Internet Remala Abadi (DATA) Bidik IPO Rp 57,2 miliar DATA melalui brand Tachyon sejak tahun 2010 telah fokus menggarap segmen pangsa pasar korporasi. Hingga saat ini segmen tersebut memegang kontribusi ke DATA sebesar 48,79%. Selain itu DATA juga merangkul beberapa ISP untuk menjadi mitra dalam melakukan penetrasi internet di Indonesia. Saat ini kontribusi segmen pangsa pasar kemitraan dengan ISP memegang setidaknya 32,64%. Segmen kantor pemerintahan juga menjadi target layanan DATA. Saat ini segmen pasar pemerintahan memberikan kontribusi 9,96% dari pendapatan DATA. Selebihnya perseroan menggarap segmen perumahan  dengan produk Net-home yang saat ini sudah memberikan kontribusi sebesar 8,61%. Pangsa pasar yang baru dan memiliki potensi untuk tumbuh adalah segmen perumahan. Dengan mengusung brand Net-home, DATA dapat memberikan layanan broadband bagi segmen retail dan perumahaan. Saat ini  kontribusi segmen retail dan perumahaan bagi perseroan masih 8,61%. Berdasarkan prospektus IPO DATA menyebutkan pendapatan DATA dari tahun 2020 terus meningkat. Tahun 2020 pendapatan hanya Rp 115,9 miliar. Di tahun berikutnya pendapatan perseroan naik menjadi Rp 155,3 miliar. Tahun 2022 pendapatan perseroan kembali naik menjadi Rp 209,7 miliar. Berdasarkan prospektus DATA, rasio gross profit margin perseroan untuk periode atau tahun yang berakhir pada 31 Oktober 2023, 31 Desember 2022, 2021, dan 2020 adalah 57,99%, 41,73%, 36,73%, dan 37,96%. “Masih besarnya laba ini menunjukkan kinerja yang cukup baik dan efisiensi perseroan.  Saya yakin DATA mampu berkompetisi di pasar fixed broadband di Indonesia,”ujar Richardson. Cek Berita dan Artikel yang lain di Google News",investasi
Porsi Asing di Pasar Keuangan Domestik Semakin Berkurang,2024-08-21T02:08:36.987Z,,Premium User Only,https:////insight.kontan.co.id/news/porsi-asing-di-pasar-keuangan-domestik-semakin-berkurang,Premium Content - Not Scraped,insight
