Title,Scrapping Date,Article Date,Author,Link,Content,Category
Analis: Tren penurunan yield SUN 10 tahun bakal berlanjut,2024-08-21T02:02:08.054Z,"Senin, 20 Januari 2020 / 21:34 WIB",Reporter: Intan Nirmala Sari | Editor: Handoyo .,https:////investasi.kontan.co.id/news/analis-tren-penurunan-yield-sun-10-tahun-bakal-berlanjut,"KONTAN.CO.ID - JAKARTA. Imbal hasil Surat Utang Negara (SUN) bechmark baru untuk tenor 10 tahun yakni seri FR0082 sukses menyentuh level terendah sejak dirilis Agustus 2019 di 6,80%. Kondisi tersebut diyakini masih akan berlanjut dan menyentuh level rendah baru. Sehingga, prospek surat utang Tanah Air masih akan menarik dan positif. Senior Vice President Recapital Asset Management Rio Ariansyah mengatakan, penurunan yield seri FR0082 ke level terendah kali ini, sebagian besar didorong oleh penguatan rupiah terhadap dollar AS. Mengutip Bloomberg, rupiah sempat menyentuh level terendahnya di Rp 13.638 per dollar AS di 2020. Baca Juga: Kesepakatan dagang AS-China tercapai, imbal hasil SUN 10 tahun sentuh level terendah ""Penyebab (yield turun) secara teknis adalah, penguatan kurs nilai tukar rupiah,"" kata Rio kepada Kontan.co.id, Senin (20/1). Bahkan, jika tren penguatan rupiah masih berlanjut ke depan Rio menilai bahwa tidak menutup kemungkinan yield SUN untuk tenor 10 tahun bakal berada di kisaran 6,5% hingga 6,75% di tahun ini. Meskipun begitu, menurut Rio investor asing tidak pernah mempermasalahkan yield SUN Tanah Air. Baca Juga: Analis: Lelang SUN selalu diminati oleh investor ""Itu karena, yield Indonesia masih jadi yang tertinggi di Asia. Jadi SUN kita akan selalu menarik,"" ujarnya. Adapun dari sentimen eksternal, isu perang dagang AS dan China yang mulai melunak jadi sentimen pendorong penguatan harga SUN dan nilai tukar rupiah terhadap dollar AS. Untuk itu, seri benchmark ke depannya juga masih akan jadi primadona di pasar lelang surat utang Tanah Air. Cek Berita dan Artikel yang lain di Google News",investasi
"Imbas koreksi rupiah, tren kenaikan yield SUN sulit dibendung",2024-08-21T02:02:08.255Z,"Rabu, 07 Agustus 2019 / 07:23 WIB",Reporter: Dimas Andi | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/imbas-koreksi-rupiah-tren-kenaikan-yield-sun-sulit-dibendung,"KONTAN.CO.ID - JAKARTA. Pasar obligasi Indonesia kembali memasuki fase penuh tekanan. Hal ini setelah yield Surat Utang Negara (SUN) mengalami tren kenaikan dalam beberapa waktu terakhir. Mengutip Bloomberg, yield SUN seri acuan 10 pada Selasa (6/8) berada di level 7,62%. Angka ini sebenarnya sedikit turun dibandingkan posisi di perdagangan kemarin yakni 7,65%. Namun, tren kenaikan masih tampak terlihat lebih dari sepekan terakhir. Ini mengingat pada 26 Juli lalu, yield SUN masih berada di level 7,18%. Baca Juga: Meski pasar obligasi tertekan, tapi investor masih berminat lelang sukuk negara Meski pasar obligasi tertekan, tapi investor masih berminat lelang sukuk negara Head of Fixed Income Fund Manager Prospera Asset Management Eric Sutedja menyampaikan, tren kenaikan yield SUN yang terjadi akhir-akhir ini merupakan imbas dari pelemahan nilai tukar rupiah terhadap dolar AS. Mata uang garuda sendiri terkoreksi akibat imbas dari meningkatnya eskalasi perang dagang antara AS dan China, terutama ketika memasuki awal bulan Agustus. Bahkan, perang dagang antara kedua negara tersebut sudah mulai berubah menjadi perang mata uang. Asal tahu saja, pertengahan pekan lalu Presiden AS Donald Trump mengancam akan memberi tambahan tarif 10% pada produk impor China senilai US$ 300 miliar mulai 1 September mendatang. Tensi perang dagang kian memanas usai Trump sempat menuduh China sebagai manipulator mata uang. Sebagai tanggapan atas tuduhan AS, pemerintah China lantas sengaja melemahkan mata uang yuan agar produk-produk ekspornya tetap kompetitif di pasar. Baca Juga: Penawaran masuk lelang sukuk negara hari ini mencapai Rp 18,05 triliun Tercatat, kemarin mata uang yuan China telah menyentuh level CNY 7,02 per dolar AS. Yuan sempat melemah sebelum akhirnya pemerintah China menstabilkan mata uang ini. CNY pun menyentuh level terlemah dalam satu dekade terakhir. Kurs rupiah kembali melemah 0,15% ke level Rp 14.277 per dolar AS pada hari ini. “Dalam lima tahun terakhir, rupiah sangat terpengaruh oleh pergerakan dolar AS dan yuan,” kata Eric, Selasa (6/8). Baca Juga: Pasar obligasi kembali tertekan, investor asing berpotensi lakukan aksi jual Pasar obligasi kembali tertekan, investor asing berpotensi lakukan aksi jual Ekonom PT Pemeringkat Efek Indonesia Fikri C. Permana juga mengatakan, depresiasi rupiah belakangan ini berdampak negatif bagi pasar obligasi dalam negeri. Bukan tidak mungkin tren kenaikan yield SUN berlanjut jika kurs rupiah tidak segera stabil. Dia menilai, Indonesia dalam tekanan mengingat perang dagang tak hanya melibatkan AS dan China, melainkan juga Jepang dan Korea Selatan. “Sayangnya China, Jepang, dan AS adalah tiga negara teratas tujuan ekspor Indonesia,” ungkapnya. Di saat yang sama, kinerja ekspor Indonesia belum cukup memuaskan karena masih kesulitan menemukan pasar baru di tengah berkecamuknya perang dagang. Hal ini yang membuat data neraca dagang Indonesia rentan defisit. Begitu pula dengan defisit neraca transaksi berjalan Indonesia yang kembali terancam melebar. Baca Juga: Wow, Kepemilikan Investor Asing di Surat Berharga Negara (SBN) Mencapai Rekor Wow, Kepemilikan Investor Asing di Surat Berharga Negara (SBN) Mencapai Rekor Padahal, kedua data tadi sangat krusial bagi fundamental rupiah yang ujung-ujungnya mempengaruhi kondisi pasar obligasi domestik. Belum cukup, terdepresiasinya rupiah tak hanya mendorong kenaikan yield SUN. Investor asing pun berpeluang melakukan aksi jual seiring meningkatnya risiko perbedaan nilai tukar. Jika demikian, tekanan di pasar obligasi Indonesia makin besar, apalagi nilai kepemilikan asing kini telah di atas Rp 1.000 triliun. Cek Berita dan Artikel yang lain di Google News",investasi
"Tekanan pasar belum reda, tren kenaikan yield SUN masih bisa berlanjut",2024-08-21T02:02:08.583Z,"Selasa, 06 Agustus 2019 / 22:37 WIB",Reporter: Dimas Andi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/tekanan-pasar-belum-reda-tren-kenaikan-yield-sun-masih-bisa-berlanjut,"KONTAN.CO.ID - JAKARTA. Koreksi kurs rupiah akibat peningkatan tensi perang dagang berimbas pada naiknya yield Surat Utang Negara (SUN) akhir-akhir ini. Potensi kenaikan yield SUN dalam waktu dekat masih cukup terbuka seiring belum redanya tekanan di pasar obligasi Indonesia. Ekonom Samuel Sekuritas Indonesia Ahmad Mikail Zaini menilai, tren kenaikan yield SUN masih berpotensi terjadi paling tidak hingga akhir Agustus nanti. Menurutnya, selama konflik antara AS dan China terus berlanjut, sangat sulit yield SUN kembali bergerak turun. Terlebih lagi, sentimen tersebut sangat berkorelasi dengan pergerakan nilai tukar rupiah. Ketika rupiah melemah, yield SUN rentan mengalami kenaikan. Baca Juga: Meski pasar obligasi tertekan, tapi investor masih berminat lelang sukuk negara Peluang yield SUN untuk kembali turun diperkirakan baru akan terjadi ketika memasuki September-Oktober. Pasalnya, pada saat itu The Federal Reserve tidak menutup kemungkinan kembali memangkas suku bunga acuan AS melalui agenda Federal Open Market Committee. “Pemotongan suku bunga acuan bisa menjadi stimulus bagi pasar obligasi di tengah konflik perang dagang yang belum usai,” ungkapnya, Selasa (6/8). Head of Fixed Income Fund Manager Prospera Asset Management Eric Sutedja menilai, jika rupiah kembali menguat secara berkelanjutan, ada potensi yield SUN 10 tahun dapat turun lagi hingga mendekati level 6% seperti di pertengahan bulan lalu. Baca Juga: Peluang kenaikan imbal hasil lebih tinggi, lelang sukuk laris manis Ia menambahkan, para investor, terutama investor lokal, masih bisa memanfaatkan tren kenaikan yield SUN untuk masuk ke pasar obligasi. Hal ini seiring adanya spread yang lebar antara yield SUN dengan yield US Treasury untuk tenor 10 tahun sekitar 580 bps. Begitu pula dengan real interest rate Indonesia yang masih menarik mengingat tingkat inflasi berada di kisaran 3%. Sebagai informasi, yield SUN seri acuan 10 pada Selasa (6/8) berada di level 7,62%. Angka ini sebenarnya sedikit turun dibandingkan posisi di perdagangan kemarin yakni 7,65%.  Namun, tren kenaikan masih tampak terlihat lebih dari sepekan terakhir. Ini mengingat pada 26 Juli lalu, yield SUN masih berada di level 7,18%. Cek Berita dan Artikel yang lain di Google News",investasi
"Tren penurunan yield SUN masih berlangsung, lelang sukuk pekan depan bakal ramai",2024-08-21T02:02:08.716Z,"Jumat, 05 Juli 2019 / 19:30 WIB",Reporter: Dimas Andi | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/tren-penurunan-yield-sun-masih-berlangsung-lelang-sukuk-pekan-depan-bakal-ramai,"KONTAN.CO.ID - JAKARTA. Lelang surat berharga syariah negara (SBSN) atau sukuk negara yang digelar Selasa pekan depan (9/7), diyakini akan berlangsung ramai. Ini tak lepas dari kondusifnya pasar obligasi Indonesia seiring tren penurunan yield surat utang negara (SUN). Asal tahu saja, yield SUN seri acuan tenor 10 tahun yang tercatat di Bloomberg berada di level 7,18% pada Jumat (5/7). Angka ini merupakan yang terendah sepanjang tahun 2019 berjalan. Associate Director Fixed Income Anugerah Sekuritas Indonesia Ramdhan Ario Maruto mengatakan, tren penurunan yield SUN membuat antusiasme investor untuk masuk ke pasar obligasi melalui lelang bakal tinggi. Bukan mustahil, nilai penawaran yang masuk pada lelang sukuk nanti bisa mencapai kisaran Rp 40 triliun. Jumlah sebesar itu pernah terjadi pada lelang sukuk negara dua pekan lalu. Kala itu, nilai penawaran yang masuk dari investor mencapai Rp 40,19 triliun. “Pergerakan SUN yang cenderung turun di pasar sekunder akan mempengaruhi pelaksanaan lelang,” imbuh dia, hari ini. Kondisi pasar obligasi domestik memang cenderung kondusif semenjak The Federal Reserves terus memperlihatkan sikap dovish, sehingga ekspektasi penurunan suku bunga acuan AS meningkat. Hasilnya, aliran modal asing terus masuk ke pasar obligasi Indonesia yang berujung pada penurunan yield SUN. Tak hanya itu, fundamental ekonomi Indonesia juga menunjukkan perbaikan. Terbukti, data cadangan Indonesia di bulan Juni naik US$ 3,5 miliar menjadi US$ 123,8 miliar ketika dirilis hari ini. Menurut Ramdhan, data tersebut dapat menjadi katalis tambahan yang mendorong minat investor untuk mengikuti lelang di awal pekan depan. “Data cadangan devisa dapat menjadi katalis positif bagi pasar obligasi walau efeknya tidak terlalu signifikan,” terangnya. Lebih lanjut, seri-seri bertenor pendek seperti SPN-S 10012020 dan PBS014 akan kembali menjadi primadona pada lelang sukuk nanti. Namun, tak menutup kemungkinan juga seri-seri bertenor menengah hingga panjang juga bakal diminati oleh investor mengingat tawaran imbalannya cukup atraktif. Selain itu, investor juga kemungkinan akan melirik seri-seri yang tenornya berdekatan atau mirip dengan tenor seri acuan SUN. Pasalnya, seri-seri seperti itu relatif lebih menjanjikan dari sisi likuiditas. Sebagai catatan, di samping seri SPN-S 10012020 dan PBS014, pemerintah juga akan melelang seri PBS019, PBS021, PBS022, dan PBS015. Cek Berita dan Artikel yang lain di Google News",investasi
"Risiko eksternal mereda, tren yield SUN mulai menurun",2024-08-21T02:02:08.820Z,"Senin, 08 April 2019 / 19:48 WIB",Reporter: Dimas Andi | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/risiko-eksternal-mereda-tren-yield-sun-mulai-menurun,"KONTAN.CO.ID - JAKARTA. Meredanya sentimen-sentimen negatif dari eksternal berpengaruh besar terhadap tren penurunan yield surat utang negara (SUN) akhir-akhir ini. Namun, yield SUN masih rentan bergerak volatil seiring makin dekatnya pelaksanaan pemilihan umum. Mengutip Bloomberg, yield SUN seri acuan tenor 10 tahun sempat menyentuh level 7,545% pada Jumat (5/4) lalu. Ini merupakan level terendah untuk tahun 2019. Namun, pada Senin (8/4), yield SUN 10 tahun kembali naik ke level 7,607%. Head of Fixed Income Fund Manager Prospera Asset Management Eric Sutedja menuturkan, penurunan yield SUN sangat dipengaruhi oleh negosiasi dagang antara AS dan China yang terus menunjukkan arah yang positif. Saat ini, mayoritas poin perjanjian sudah disepakati oleh kedua belah pihak sehingga tensi perang dagang makin berkurang. Selain itu, pasar obligasi domestik juga masih merasakan euforia atas sikap dovish yang ditunjukkan oleh The Federal Reserves sepanjang tahun ini. “Beberapa negara Asia sudah mulai berani menurunkan suku bunga acuan,” kata Eric, Senin (8/4). Salah satu negara di Asia yang sudah menurunkan suku bunga acuan adalah India. Februari lalu, Reserve Bank of India memangkas suku bunga acuan sebanyak 25 bps menjadi 6,25%. Ekonom PT Pemeringkat Efek Indonesia Fikri C. Permana menambahkan, stabilnya pergerakan rupiah terhadap dollar AS juga membantu penurunan yield SUN yang terjadi belakangan ini. Di samping itu, fundamental ekonomi Indonesia turut mendukung penurunan yield SUN. Selain inflasi yang stabil, neraca dagang Indonesia berhasil surplus US$ 0,33 miliar di bulan Februari lalu. Kendati demikian, yield SUN masih berpeluang bergerak volatil dalam beberapa waktu ke depan. Menurut Fikri, pergerakan kurs rupiah juga berpotensi menjadi pemberat langkah yield SUN. Seperti yang terjadi pada hari ini ketika rupiah di pasar spot melemah ke level Rp 14.167 per dollar AS, yield SUN bergerak naik ke level 7,607%. “Arah yield SUN masih sangat dipengaruhi rupiah karena sekitar 37% investor di pasar obligasi Indonesia merupakan investor asing,” ujar dia, Senin (8/4). Sentimen eksternal juga masih berperan penting terhadap pergerakan yield SUN. Dalam waktu dekat, para pelaku pasar akan mencermati kelanjutan masalah Brexit. Tak ketinggalan, isu perlambatan ekonomi AS juga menjadi sentimen yang berdampak signifikan terhadap kondisi pasar obligasi dalam negeri. Apalagi, dalam beberapa waktu terakhir, data-data ekonomi AS cenderung menunjukkan hasil yang bervariasi. Cek Berita dan Artikel yang lain di Google News",investasi
Tren penurunan yield juga dialami oleh SUN berdenominasi dollar AS,2024-08-21T02:02:08.988Z,"Senin, 25 Maret 2019 / 06:39 WIB",Reporter: Dimas Andi | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/tren-penurunan-yield-juga-dialami-oleh-sun-berdenominasi-dollar-as,"KONTAN.CO.ID - JAKARTA. Meredanya risiko global tak hanya memicu penurunan yield Surat Utang Negara (SUN) berdenominasi rupiah saja. SUN berdenominasi dollar AS juga ikut merasakan tren penurunan yield di awal tahun ini. Mengutip Bloomberg, yield INDO-29 selaku SUN valuta asing tenor 10 tahun mengalami penurunan 64 bps (ytd) menjadi 3,91% hingga Jumat (22/3). Level tersebut merupakan yang terendah sepanjang tahun ini Sebagai perbandingan, yield SUN seri FR0078 baru turun 37 bps (ytd) ke level 7,57% hingga akhir pekan lalu. Walau tingkat penurunannya berbeda, Ekonom PT Pemeringkat Efek Indonesia Fikri C. Permana mengatakan, pada dasarnya sentimen yang mendorong penurunan yield SUN valas maupun SUN berdenominasi rupiah serupa dan saling berkaitan. Dalam hal ini, pengaruh pernyataan dovish dari The Federal Reserve terkait kebijakan suku bunga acuan AS cukup besar. The Fed sendiri telah memutuskan untuk tidak menaikkan suku bunga acuan AS pada tahun ini akibat sinyal perlambatan ekonomi global. Di samping itu, September nanti The Fed juga akan menghapus pengurangan neraca AS. Walau kurs dollar AS masih dalam tren melemah terhadap beberapa mata uang global lainnya, sentimen kebijakan moneter The Fed tersebut setidaknya membuat pergerakan the greenback tidak se-volatile sebelumnya. Hal ini juga menguntungkan bagi yield SUN valas. “US dollar future index sekarang terlihat lebih stabil dibandingkan kondisi tahun lalu,” imbuh Fikri, Jumat (22/3). Tak hanya itu, penurunan yield SUN valas juga sangat merefleksikan tren serupa yang terjadi pada yield US Treasury. Sebagaimana diketahui, yield US Treasury tenor 10 tahun turun dari 2,68% di akhir tahun lalu menjadi 2,49%. Cek Berita dan Artikel yang lain di Google News",investasi
Ini penyebab yield SUN masih berpeluang melanjutkan tren penurunan,2024-08-21T02:02:09.172Z,"Minggu, 03 Maret 2019 / 17:01 WIB",Reporter: Dimas Andi | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/ini-penyebab-yield-sun-masih-berpeluang-melanjutkan-tren-penurunan,"KONTAN.CO.ID - JAKARTA. Yield Surat Utang Negara (SUN) masih berpeluang melanjutkan tren penurunannya dalam beberapa waktu ke depan. Hal ini mengingat pasar obligasi domestik masih cukup kondusif dan belum ada sentimen negatif yang benar-benar menekan pasar. Ekonom PT Pemeringkat Efek Indonesia Fikri C. Permana mengatakan, peluang berlanjutnya penurunan yield SUN masih cukup terbuka dalam beberapa waktu ke depan selama tidak ada peningkatan risiko perang dagang dan kebijakan moneter Federal Reserve. Sebenarnya, ada risiko tambahan yang tengah dihadapi pasar obligasi beberapa hari terakhir, yakni gagalnya kesepakatan denuklirisasi antara AS dan Korea Utara. Padahal, baik Donald Trump maupun Kim Jong Un selaku pemimpin Korut telah melakukan pembicaraan intensif di Vietnam sepanjang pekan lalu. “Sentimen geopolitik AS-Korut tetap akan berpengaruh terhadap arah yield SUN, tapi dampaknya tidak sebesar masalah kelanjutan perundingan dagang AS-China,” ungkap Fikri, Jumat (1/3). Dari dalam negeri, kondisi neraca dagang yang masih defisit untuk saat ini belum terlalu berpengaruh terhadap arah yield SUN. Sebab, di saat yang sama arus modal asing yang masuk ke pasar obligasi dalam negeri masih tergolong besar. Kurs rupiah pun masih dalam tren yang stabil. Dengan pertimbangan bahwa The Fed tidak menaikkan suku bunga acuan sepanjang semester I tahun ini, maka yield SUN tenor 10 tahun diperkirakan Fikri akan terus bergerak di bawah 8%. “Bahkan tidak tertutup kemungkinan yield SUN 10 tahun bergerak antara level 7,5%-7,8% hingga akhir Juli,” tutur dia. Setali tiga uang, Senior VP & Head of Investment Recapital Asset Management Rio Ariansyah memproyeksikan, yield SUN tenor 10 tahun masih akan berada di bawah level 8% secara jangka pendek. Namun, pasar obligasi tetap berpotensi mengalami volatilitas kendati yield SUN ujung-ujungnya bergerak dengan rentang yang terbatas. Volatilitas ini terjadi seiring makin dekatnya agenda pemilihan presiden. “Yield SUN 10 tahun kemungkinan masih di kisaran 7,8% meskipun pasar masih berpeluang volatil,” ujarnya, akhir pekan lalu. Sebagai catatan, berdasarkan data Bloomberg pada Jumat (1/3), yield SUN tenor 10 tahun seri FR0078 berada di level 7,81% atau naik 2 bps. Akan tetapi, yield SUN tenor 10 tahun tetap mengalami tren penurunan setidaknya dalam dua pekan terakhir. Terbukti, pada 15 Februari lalu yield SUN tenor 10 tahun masih bertengger di level 8,01% atau selisih 20 bps dari posisi di akhir pekan kemarin. Cek Berita dan Artikel yang lain di Google News",investasi
Ada kemungkinan tren kenaikan yield SUN berlanjut,2024-08-21T02:02:09.384Z,"Rabu, 30 Januari 2019 / 20:39 WIB",Reporter: Dimas Andi | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/ada-kemungkinan-tren-kenaikan-yield-sun-berlanjut,"KONTAN.CO.ID - JAKARTA. Tren kenaikan yield surat utang negara (SUN) bukan mustahil kembali berlanjut dalam beberapa waktu ke depan akibat pasar obligasi domestik masih dihinggapi sentimen negatif. Sebagai informasi, Rabu (30/1), yield SUN seri FR0078 yang menjadi acuan untuk tenor 10 tahun berada di level 8,13%. Angka ini naik 19 bps atau 0,19% dari posisi di akhir tahun lalu di level 7,94%. Ekonom Samuel Sekuritas Indonesia Ahmad Mikail menyebut, selama pasar keuangan global masih dihantui sentimen perlambatan ekonomi, di atas kertas tren kenaikan yield SUN sangat mungkin berlanjut. Namun, kenaikan tersebut sebenarnya bisa diminimalisir tergantung pada respons pemerintah dalam menangkal efek perlambatan ekonomi global. Pemerintah sendiri masih memiliki sejumlah pekerjaan rumah seperti memperbaiki defisit transaksi berjalan yang selama ini menjadi pengganjal laju rupiah, tak terkecuali harga SUN. “Kalau sentimen eksternalnya tetap seperti ini dan belum ada respons signifikan dari pemerintah, investor global akan lebih memilih pegang hard currency ketimbang SUN,” ungkapnya, hari ini. Sementara, menurut Anil Kumar, Fixed Income Fund Manager Ashmore Asset Management Indonesia, kenaikan yield SUN kemungkinan akan lebih terbatas atau tidak sampai melebihi level 8,1% untuk tenor 10 tahun. Pasalnya, The Fed sudah memberi sinyal tidak lagi agresif menaikkan suku bunga acuan AS di tahun ini. Secara umum, sentimen tersebut minimal bisa menahan kenaikan yield SUN yang lebih tajam di waktu mendatang. Di sisi lain, sulit pula bagi yield SUN untuk bergerak turun dalam waktu 1 bulan sampai 2 bulan ke depan mengingat pasar masih menunggu kepastian perundingan perang dagang dan efek perlambatan ekonomi global. Terlepas dari itu, SUN dinilai akan tetap menjadi primadona bagi para investor domestik. Sebab, real return yang didapat oleh investor tersebut juga cukup menarik seiring tingkat inflasi Indonesia yang masih rendah. “Kalau investor asing kemungkinan masih akan wait and see dan belum agresif, karena mereka tak hanya mempertimbangkan yield SUN saja,” tandas Anil. Cek Berita dan Artikel yang lain di Google News",investasi
Tren yield tinggi bikin reksadana terproteksi menarik,2024-08-21T02:02:09.549Z,"Selasa, 18 September 2018 / 17:32 WIB",Reporter: Danielisa Putriadita | Editor: Sanny Cicilia,https:////investasi.kontan.co.id/news/tren-yield-tinggi-bikin-reksadana-terproteksi-menarik,"KONTAN.CO.ID - JAKARTA. Volatilitas pasar yang meningkat serta tren kenaikan imbal hasil obligasi, membuat para manajer investasi gencar menerbitkan reksadana terproteksi. Berdasarkan data Infovesta Utama, sejak Agustus hingga Selasa (18/9) terdapat 48 reksadana terproteksi yang meluncur. Sedangkan, di periode yang tren kenaikan imbal hasil ditunjukkan dari yield Surat Utang Negara (SUN)tenor 10 tahun beranjak naik 64 basis poin (bps) dari 7,70% ke 8,34%. Sementara, jika dihitung sejak awal tahun yield SUN meningkat 194 bps. Head of Investment Research Infovesta Utama Wawan Hendrayana mengatakan disaat kondisi volatlitas tinggi serta tren kenaikan imbal hasil maka bagi investor dan manajer instrumen investasi yang menarik adalah reksadana terproteksi. ""Karena yield relatif tinggi MI yang buat reksadana terproteksi jadi menarik bagi invstor karena bisa mengunci imbal hasil di 8%-10%,"" kata Wawan beberapa waktu lalu. Ketertarikan investor pada reksadana terproteksi di tengah volatilitas pasar keuangan yang tinggi, terlihat dari jumlah dana kelolaan reksadana terproteksi yang pada Agustus lalu naik paling tinggi diantara jenis reksadana lain. Berdasarkan data Infovesta Utama, dana kelolaan reksadana terproteksi tumbuh Rp 5,25 triliun ke Rp 124,72 triliun sepanjang Agustus lalu. Sedangkan, jenis reksadana lain mayoritas catatkan penurunan dana kelolaan. Jemmy Paul Wawointana, Plt CEO Sucor Asset Management mengatakan investor jadi banyak tertarik masuk ke reksadana terproteksi karena dalam beberapa bulan terakhir juga banyak obligasi korporasi yang meluncur. Hal tersebut memicu produk reksadana terproteksi muncul dan menggunakan obligasi sebagai underlying. Selain itu, disaat kondisi pasar yang tidak menentu dan pasar saham sulit untuk naik, membuat investor lebih nyaman memilih instrumen investasi yang lebih aman, yaitu reksadana terproteksi. Jemmy mengatakan di Sucor Asset Management dalam satu tahun terakhir dana kelolaan reksadana terproteksi sempat turun cukup signifikan karena Sucor Asset Management tidak meluncurkan reksadana terproteksi baru. Namun, disaat kondisi pasar sedang volatil dan yield dalam tren naik, Jemmy jadi berencana untuk menerbitkan dua porduk reksadana terproteksi hingga akhir tahun. Per Agustus 2018 total dana kelolaan Sucor Asset Management mencapai Rp 6,5 triliun. Porsi reksadana terproteksi di Sucor Asset Management sebesar Rp 2,5 triliun. Jemmy berharap hingga akhir tahun dana kelolaan reksadana terproteksi bisa mencapai Rp 3 triliun.  Cek Berita dan Artikel yang lain di Google News",investasi
Tren kenaikan yield US Treasury picu asing keluar dari SBN,2024-08-21T02:02:09.967Z,"Rabu, 14 Februari 2018 / 21:01 WIB",Reporter: Dimas Andi | Editor: Dupla Kartini,https:////investasi.kontan.co.id/news/tren-kenaikan-yield-us-treasury-picu-asing-keluar-dari-sbn,"KONTAN.CO.ID - JAKARTA. Imbal hasil US Treasury tenor 10 tahun melonjak akhir-akhir ini. Dampaknya tidak hanya membuat imbal hasil Surat Utang Negara (SUN) ikut naik, melainkan juga membuat dana asing di Surat Berhaga Negara (SBN) berkurang hingga indeks obligasi Indonesia terkoreksi. Fund Manager Capital Asset Management, Desmon Silitonga mengatakan, kenaikan imbal hasil US Treasury turut mendorong naiknya imbal hasil surat utang secara global, termasuk SUN. Hingga Rabu (14/2), imbal hasil SUN seri acuan 10 tahun berada di level 6,38%. Padahal, per 8 Januari lalu, imbal hasilnya sempat mencetak rekor terendah di level 6,03%. Kenaikan imbal hasil menyebabkan harga SUN turun. “Investor jadi kesulitan mendapatkan capital gain kalau harga SUN turun,” kata Desmon. Hal tersebut menjadi salah satu penyebab keluarnya dana investor asing dari Surat Berharga Negara (SBN) dalam beberapa pekan terakhir. Akumulasi kenaikan imbal hasil SUN dan berkurangnya kepemilikan asing membuat indeks obligasi Indonesia goyah. Terhitung sejak awal Februari hingga Rabu (14/2), Indonesia Composite Bond Index (ICBI) terkoreksi 0,56% ke level 244,82. Untungnya, kenaikan imbal hasil SUN tergolong tidak terlalu signifikan apabila dibandingkan negara-negara lain, lantaran adanya campur tangan Bank Indonesia di pasar obligasi pemerintah. Di samping itu, terkendalinya tingkat inflasi dan suku bunga acuan serta meningkatnya pertumbuhan ekonomi kuartal IV 2017 mampu menahan laju  kenaikan yield SUN. Walau begitu, Desmon mengatakan, tren kenaikan imbal hasil SUN masih akan berlanjut selama imbal hasil US Treasury juga bergerak naik. Hal ini mengingat pihak AS belum melakukan upaya nyata untuk meredam kekhawatiran para pelaku pasar. Ia bilang, jika The Federal Reserves bisa lebih terbuka dan lebih rinci menjelaskan rencana kenaikan suku bunga acuan AS, besar kemungkinan tekanan di pasar mereda. “Imbasnya, pergerakan imbal hasil US Treasury dapat lebih terkendali,” paparnya. Berdasarkan data Bloomberg, imbal hasil US Treasury tenor 10 tahun pada 1 Januari lalu masih berada di level 2,405%. Sedangkan hari ini (14/2), imbal hasil US Treasury berada di level 2,829%. Imbal hasil US Treasury bahkan memecahkan rekor di level 2,858% pada Senin (12/2) lalu. Cek Berita dan Artikel yang lain di Google News",investasi
