Title,Scrapping Date,Article Date,Author,Link,Content,Category
Manulife Aset: Pasar Saham Indonesia Masih Tangguh di Tengah Volatilitas Pasar Global,2024-08-21T02:10:18.348Z,"Kamis, 18 Mei 2023 / 18:30 WIB",Reporter: Akmalal Hamdhi | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/manulife-aset-pasar-saham-indonesia-masih-tangguh-di-tengah-volatilitas-pasar-global,"KONTAN.CO.ID - JAKARTA. Pasar saham Indonesia masih tangguh di tengah volatilitas pasar global akibat isu resesi Amerika Serikat (AS). Senior Portfolio Manager Equity PT Manulife Aset Manajemen Indonesia (MAMI), Samuel Kesuma memandang bahwa risiko dari resesi sudah terukur. Resesi ekonomi biasanya disebabkan kejadian tidak terduga seperti perang, lonjakan harga komoditas, gagalnya sistem finansial, atau pandemi yang menyebabkan tekanan negatif bagi ekonomi dan pasar finansial. Namun berbeda dengan episode resesi sebelumnya yang cenderung mengejutkan, kali ini pasar secara bertahap sudah memperhitungkan terjadinya resesi. Hal itu terlihat dari pelemahan indeks S&P 500 yang sudah turun 19% di 2022. “Harapannya adalah dengan pasar yang sudah memperkirakan kondisi resesi dari tahun lalu, maka risiko pelemahan pasar lebih lanjut di tahun ini dapat lebih terbatas,” ungkap Samuel dalam siaran pers, Kamis (18/5). Baca Juga: Investor Asing Mencatat Net Buy Saat IHSG Turun ke 6.663 pada Rabu (17/5) Faktor lain yang menjadi dukungan bagi pasar adalah harapan bahwa resesi yang terjadi adalah resesi ringan. Sektor tenaga kerja AS yang resilien dan excess saving masyarakat AS dari periode pandemi lalu dapat menjadi bantalan yang menopang tingkat konsumsi. Riset JPMorgan mengindikasikan masih terdapat excess saving US$ 900 miliar di masyarakat AS, dari stimulus dan tabungan yang meningkat ketika pandemi. Samuel melihat pasar saham di sepanjang tahun ini dibayangi oleh beberapa faktor seperti ketidakpastian arah suku bunga The Fed, kejutan dari jatuhnya beberapa perbankan di AS, serta kekhawatiran resesi ekonomi. Positifnya, The Fed diperkirakan sudah mencapai puncak suku bunganya di rapat Mei 2023 lalu sehingga mengurangi faktor ketidakpastian bagi pasar. Hanya saja, dalam jangka pendek diperkirakan masih terdapat ketidakpastian terkait kondisi perbankan regional AS dan pelemahan ekonomi lebih lanjut yang dapat menyebabkan volatilitas di pasar. Walaupun demikian, Manulife mencermati kondisi resesi tidak berdampak serius terhadap pelemahan ekonomi di Amerika, baik dari sisi perdagangan yang melemah maupun dari sisi arus dana di pasar finansial. Kali ini kondisi cukup berbeda di Asia, di mana ekspektasi pertumbuhan ekonomi Asia diperkirakan tetap resilien. Samuel menjelaskan, pembukaan ekonomi pasca lockdown Covid-19 menjadi faktor pendukung ekonomi domestik di kawasan Asia. Hal itu sejalan dengan proyeksi International Monetary Fund (IMF) yang merevisi naik proyeksi ekonomi Asia menjadi 4.6% di 2023 dari sebelumnya 4.3% karena didorong pemulihan ekonomi China dan ekonomi India yang resilien. Daya tarik Asia juga didukung oleh tren pelemahan dollar AS seiring dengan ekspektasi The Fed sudah mendekati siklus puncak suku bunga dan ekspektasi pelemahan ekonomi di kawasan negara maju. Ini secara otomatis menjadikan kawasan Asia relatif lebih menarik. “Sepanjang tahun ini arus dana asing ke pasar saham Asia tetap positif, mengindikasikan pandangan investor yang konstruktif terhadap Asia,” ungkap Samuel. Terkhusus pasar keuangan Indonesia, Manulife melihat kondisi makroekonomi Indonesia pada posisi yang kuat menghadapi risiko resesi ekonomi AS. Berlawanan dengan kondisi AS yang melemah, Indonesia sedang dalam kondisi pemulihan ekonomi seiring pembukaan kembali ekonomi pasca pandemi Covid. Beberapa indikator ekonomi menunjukkan momentum pemulihan seperti penjualan ritel, penjualan otomotif, dan aktivitas manufaktur. Selain itu ekonomi Indonesia juga ditopang oleh pemulihan ekonomi China yang merupakan negara mitra dagang terbesar Indonesia. Samuel berujar, potensi meningkatnya permintaan dari China diharapkan dapat memitigasi risiko melambatnya permintaan dari kawasan negara maju. Ekspor Indonesia ke China mencapai 25% dari total ekspor, lebih besar dari ekspor ke Amerika di kisaran 9%. Kondisi ekonomi Indonesia yang stabil juga menjadi faktor positif bagi arus dana asing yang sepanjang tahun ini mencatat pembelian bersih di pasar saham dan obligasi Indonesia sehingga mengurangi risiko defisit bagi neraca pembayaran Indonesia. Menurut Samuel, stabilitas kondisi domestik merupakan fondasi untuk mendukung kepercayaan investor terhadap pasar saham Indonesia. Pasar Indonesia sangat potensial didukung faktor seperti pertumbuhan ekonomi, inflasi yang menurun dan nilai tukar Rupiah yang stabil. Sementara dari sisi global, salah satu faktor ketidakpastian telah berkurang.  The Fed diperkirakan sudah mencapai puncak suku bunganya sehingga dapat mendukung sentimen investor. Potensi katalis bagi pasar adalah apabila terdapat indikasi bahwa The Fed mulai mempertimbangkan untuk melakukan pemangkasan suku bunga, atau apabila terdapat indikasi bahwa pelemahan ekonomi di AS lebih terbatas dari ekspektasi pasar. Faktor lain yang dapat dipertimbangkan investor adalah tingkat valuasi pasar saham Indonesia saat ini yang atraktif. Price Earning Ratio (PER) Indeks Harga Saham Gabunga (IHSG) saat ini di kisaran 13 kali yang masih di bawah rata-rata 15x kali, sehingga menawarkan titik masuk menarik bagi investor. Momentum pendapatan emiten diyakini tetap positif di kuartal I-2023 yang didukung oleh perbaikan aktivitas ekonomi. Pertumbuhan ekonomi yang resilien akan menjadi katalis bagi pertumbuhan pendapatan emiten tahun ini. Manulife Aset Manajemen Indonesia memperkirakan pertumbuhan earnings sekitar 6% di tahun ini. Di tengah volatilitas global, strategi portofolio semestinya diarahkan pada sektor yang diuntungkan dari pemulihan ekonomi domestik, potensi pertumbuhan struktural jangka panjang Indonesia, dan periode puncak suku bunga. Samuel mengungkapkan, beberapa sektor yang menangkap peluang tersebut adalah sektor finansial yang merupakan proksi dari pertumbuhan ekonomi Indonesia dengan neraca yang konservatif dibanding emiten perbankan di negara maju. Sektor yang berhubungan dengan green economy merupakan unggulan karena diuntungkan dari tren jangka panjang dekarbonisasi dan meningkatnya adopsi teknologi energi terbarukan. Sementara itu, sektor teknologi berpotensi diuntungkan dari strategi sebagian besar perusahaan yang saat ini lebih berfokus pada profitabilitas. Serta, semakin jelasnya kebijakan The Fed sudah mencapai puncak suku bunga. Baca Juga: Cek Rekomendasi Teknikal BBNI, ANTM, dan UNVR untuk Perdagangan, Jumat (19/5) Cek Berita dan Artikel yang lain di Google News",investasi
"Waspada, Volatilitas Tinggi di Pasar Modal Pada Kuartal II 2023!",2024-08-21T02:10:18.785Z,,Premium User Only,https:////insight.kontan.co.id/news/waspada-volatilitas-tinggi-di-pasar-modal-pada-kuartal-ii-2023,Premium Content - Not Scraped,insight
"Volatilitas Pasar Saham Masih Tinggi, Cermati Strategi Investasi Berikut Ini",2024-08-21T02:10:19.112Z,"Senin, 27 Maret 2023 / 04:15 WIB",Reporter: Ridwan Nanda Mulyana | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/volatilitas-pasar-saham-masih-tinggi-cermati-strategi-investasi-berikut-ini,"KONTAN.CO.ID - JAKARTA. Pada pekan pendek yang diselingi cuti bersama, Indeks Harga Saham Gabungan (IHSG) mampu berbalik menguat 1,26% ke posisi 6.762,25. Kekhawatiran pasar pun mereda menyusul kepastian suku bunga The Fed yang naik 25 basis points. Meski begitu, pelaku pasar tetap perlu waspada lantaran volatilitas pasar masih membayangi. Presiden Komisaris HFX Internasional Berjangka Sutopo Widodo melihat pasar saham masih rawan dengan goncangan dinamika ekonomi dan geopolitik, sehingga investor perlu berhati-hati. Menimbang kondisi saat ini, investor disarankan untuk memperkuat posisi dana tunai sembari melakukan diversifikasi portofolio. Artinya, cukup urgen bagi investor untuk disiplin dalam money management secara aman dan cermat. ""Cash is The King sambil menunggu peluang dan pasar yang lebih stabil. Boleh trading short term jika ingin masuk di saham atau forex, gold,"" kata Sutopo saat dihubungi Kontan.co.id, Minggu (26/3). Baca Juga: Performa Indeks IDX Growth 30 Ungguli IHSG, Saham Big Caps Jadi Penopang Saran Sutopo, pelaku pasar bisa mengisi 60% portofolionya dengan cash dan deposito. Alokasi untuk emas dan obligasi sebanyak 10%, sedangkan 30% masih layak diisi oleh saham. Memegang cash juga penting sebagai persiapan membeli saham yang sudah terdiskon. ""Untuk saham bisa melakukan short trading sambil menunggu peluang harga di bawah lagi,"" imbuh Sutopo. CEO Edvisor.id Praska Putrantyo menimpali, meski saat ini kondisi pasar masih berfluktuasi kencang, investor tidak harus menerapkan Cash is The King. Pasar saham bergerak rebound dari level support IHSG di 6.530-an. Ditambah dengan meredanya kekhawatiran pasar terkait besaran kenaikan suku bunga The Fed dan isu kepanikan di perbankan Amerika Serikat. Dus, Praska memandang momentum ini bisa dimanfaatkan untuk strategi averaging down pada saham prospektif yang sedang terkoreksi. Baca Juga: IHSG Menurun, Simak Targetnya di Akhir Tahun Asalkan fokus pada saham-saham dengan profitabilitas tinggi, risiko utang terjaga, dan valuasi saham yang relatif murah. ""Untuk mendapatkan momentum harga yang optimal, investor dapat mengombinasikan dengan analisa teknikal,"" terang Praska. Hingga akhir semester pertama 2023, investor bisa menempatkan dana pada instrumen saham dengan alokasi 30% dari total portofolio. Jika semakin kondusif, bisa ditingkatkan menjadi 50%. Saham-saham defensif dengan valuasi murah bisa menjadi prioritas. Di samping saham, sekitar separuh atau 50% keranjang investasi bisa diisi oleh obligasi dengan fokus pada Surat Berharga Negara (SBN) tenor pendek-menengah atau korporasi rating minimal A. Lalu 20% dari portofolio investasi bisa dialokasikan ke pasar uang. Baca Juga: Menguat Pekan Lalu, Simak Proyeksi IHSG Senin (27/3) Sementara itu, Analis Investindo Nusantara Sekuritas Pandhu Dewanto melihat karakter investor akan jadi penentu. Bagi investor dengan tipe agresif, bisa lebih banyak mengalokasikan ke saham, mengikuti momentum positif jangka pendek. ""Kalau untuk jangka panjang mungkin perlu wait and see dulu, cash minimal 30% untuk jaga-jaga jika terjadi gejolak lagi,"" kata Pandhu. Bagi investor agresif, porsi saham bisa mencapai 60% dan 40% bisa diisi oleh dana tunai atau instrumen investasi lainnya. Sedangkan bagi yang berkarakter konservatif, Pandhu menyarankan untuk memegang saham maksimal 30% saja. Cek Berita dan Artikel yang lain di Google News",investasi
"Volatilitas Pasar Finansial Kembali Naik, Waktu yang Tepat untuk Masuk ke Obligasi",2024-08-21T02:10:19.271Z,"Rabu, 22 Maret 2023 / 05:00 WIB",Reporter: Akmalal Hamdhi | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/volatilitas-pasar-finansial-kembali-naik-waktu-yang-tepat-untuk-masuk-ke-obligasi,"KONTAN.CO.ID - JAKARTA. Volatilitas pasar finansial global kembali meningkat. Momentum ini dinilai menjadi waktu yang tepat untuk masuk ke pasar obligasi. Head of Investment Specialist PT Manulife Aset Manajemen Indonesia (MAMI) Freddy Tedja menjelaskan, data ekonomi Amerika Serikat (AS) yang lebih baik dari ekspektasi dan inflasi yang persisten mendorong pandangan pasar bahwa bank sentral AS masih akan agresif menaikkan suku bunga acuan Fed Funds Rate (FFR). Ini sekaligus menandakan suku bunga tinggi akan dipertahankan lebih lama. Di lain pihak, kesulitan finansial yang dihadapi beberapa bank regional membuat pasar berharap akan kebijakan suku bunga harus lebih jinak. Perbedaan ekspektasi bank sentral dan pasar, di tengah kondisi yang sangat dinamis ini membuat volatilitas meningkat. Secara historis, Freddy mencermati, volatilitas pasar finansial meningkat menjelang puncak siklus suku bunga atau pengetatan moneternya. Dimana mayoritas negara di dunia saat ini sudah berada pada proses tersebut. Kebanyakan bank sentral di dunia hanya memerlukan 1-2 kali kenaikan lagi untuk mencapai puncak suku bunga sesuai outlook yang dikomunikasikan. Kondisi ini berbeda dengan tahun lalu, ketika suku bunga justru sedang naik agresif dengan frekuensi dan besaran yang cukup besar. Baca Juga: Faktor Likuiditas Jadi Pendorong Naiknya Minat Investor di Lelang Sukuk Negara Dari dalam negeri, lanjut Freddy, Gubernur Bank Indonesia (BI) menegaskan bahwa tingkat suku bunga saat ini sudah cukup untuk menurunkan ekspektasi inflasi umum yang diperkirakan akan mencapai target 4,0% pada kuartal kedua tahun ini. Namun, suku bunga BI masih berpotensi naik jika data ekonomi AS terus menguat, yang membuat The Fed masih harus melakukan pengetatan moneter diluar ekspektasi yang diharapkan sebelumnya. Walaupun saat ini volatilitas pasar global sedang meningkat, pemulihan ekonomi China yang masih terus berlangsung pasca dicabutnya kebijakan zero covid mampu menjadi penyeimbang dan penopang fundamental pasar Asia. Freddy mengatakan, ekspektasi atas berakhirnya siklus kenaikan suku bunga membuat potensi pasar obligasi kembali menarik. Di tengah volatilitas dan keluar masuk arus dana investor asing, pasar obligasi Indonesia menunjukkan ketahanan yang baik. Kondisi fundamental domestik yang baik dan imbal hasil riil yang atraktif mampu menjaga pasar obligasi Indonesia dari tekanan global. Dalam dua bulan pertama di tahun 2023, pasar obligasi Indonesia mencatatkan kinerja pertumbuhan 1,5%. Angka tersebut lebih unggul dibandingkan rata-rata negara berkembang yang bertumbuh 0.9%, China tumbuh 0.1%, AS yang tumbuh 0.1%, maupun kawasan zona Euro dengan pertumbuhan 0.1%. “Pasar obligasi Indonesia memberikan tingkat imbal hasil yang atraktif, sehingga dapat dijadikan sarana investasi yang menarik di tengah volatilitas pasar finansial,” tulis Freddy Tedja dalam risetnya, Selasa (21/3). Menurut Freddy, siklus kenaikan suku bunga yang berada di tahap akhir dapat menciptakan dorongan tambahan untuk kinerja pasar obligasi, yang secara alami memang lebih superior di tengah iklim suku bunga stabil atau menurun. Sebagai contoh, reksadana Manulife Obligasi Unggulan (MOU) Kelas A memiliki kinerja 1 tahun terakhir sebesar 7,07% per akhir Februari 2023. Angka tersebut masih di atas tolok ukurnya yaitu rata-rata bunga deposito 3 bulan di bank lokal +2% net setelah pajak yang sebesar 4,00%. Baca Juga: Lelang Sukuk Negara: Penawaran Capai Rp 23,51 Triliun, Pemerintah Sedot Rp 11 Triliun Cek Berita dan Artikel yang lain di Google News",investasi
"Perdagangan Pasar Saham Akan Kembali Normal, Volatilitas Bakal Lebih Tinggi",2024-08-21T02:10:19.505Z,"Senin, 06 Maret 2023 / 17:43 WIB",Reporter: Yuliana Hema | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/perdagangan-pasar-saham-akan-kembali-normal-volatilitas-bakal-lebih-tinggi,"KONTAN.CO.ID - JAKARTA. Rencana Otoritas Jasa Keuangan (OJK) untuk tidak memperpanjang relaksasi pasar modal terkait dengan Covid-19 sampai dengan 31 Maret 2023, baik dari jam perdagangan hingga ketentuan auto rejection simetris akan pasar akan lebih bergairah. Direktur Perdagangan dan Pengaturan Bursa Efek Indonesia, Irvan Susandy menuturkan untuk jam perdagangan dan ketentuan auto rejection bawah (ARB) dan lainnya akan umumkan lebih lanjut. ""Harapannya bisa meningkatkan gairah investasi dari investor pasar modal dalam negeri,"" ucap Irvan saat dihubungi Kontan, Senin (6/3). Mengacu surat OJK Nomor S-68/D.04/2023, ada lima kebijakan relaksasi akan dikembalikan normal. Salah satunya, normalisasi kebijakan asymmetric auto rejection bawah secara bertahap dengan mengacu ketentuan Bursa Efek. Selama pandemi, OJK memberlakukan kebijakan batasan ARB maksimal 7% dengan auto reject atas (ARA) mulai 35% untuk saham dengan harga mulai Rp 50-Rp 200, ARA 25% bagi saham dengan harga Rp 2.000-5.000. Baca Juga: OJK Buka-Bukaan Mengungkap Penyebab Tingginya Margin Bank di Indonesia Lalu, terkait pemendekan jam perdagangan serta jam operasional kliring dan penyelesaian agar dilakukan normalisasi dengan tetap menyesuaikan dengan jam layanan operasional Bank Indonesia real time gross settlement dan Bank Indonesia scripless securities settlement system. Mengacu relaksasi OJK selam pandemi, perdagangan bursa saham dimulai pukul 09:00 WIB, dengan jeda istirahat antara 11:30- 13:00 WIB dan ditutup pada 15:30 WIB. Ini lebih singkat dibandingkan kondisi normal. Volatilitas Lebih Tinggi Pengamat Pasar Modal Universitas Indonesia (UI) Budi Frensidy menilai dalam jangka pendek normalisasi ini dapat memberikan tekanan pada pergerakan pasar saham, tapi jika investor terbiasa kondisi akan kembali normal. Selain itu, Budi juga menilai volatilitas pasar juga akan meningkatkan dibandingkan selama relaksasi masih berjalan. Untuk itu, dia mengingatkan investor untuk berhati-hati. ""Volatilitas tetap akan lebih besar dibandingkan saat ARB dibatasi maksimal 7%. Nilai transaksi harian akan meningkat secara berangsur,"" tutur Budi. Sementara, Research Analyst Infovesta Kapital Advisori Arjun Ajwani menilai normalisasi jam perdagangan ini bisa meningkatkan volume transaksi karena jam perdagangan akan lebih panjang. Arjun menyarankan untuk investor agar tidak mengganti keputusan investasinya dan tetap seperti pada umumnya untuk mencermati kinerja fundamental masing-masing emiten. ""Jadi aturan baru ini seharusnya tidak berubah metode investasi sebagai investor,"" pungkasnya. Cek Berita dan Artikel yang lain di Google News",investasi
Rekomendasi Saham Hari Ini di Tengah Volatilitas Pasar yang Tinggi Jelang Rapat FOMC,2024-08-21T02:10:20.344Z,,Premium User Only,https:////insight.kontan.co.id/news/rekomendasi-saham-hari-ini-di-tengah-volatilitas-pasar-yang-tinggi-jelang-rapat-fomc,Premium Content - Not Scraped,insight
"Volatilitas Pasar Modal Berpotensi Lanjut Pada 2023, Perhatikan Sentimen Ini",2024-08-21T02:10:20.633Z,"Senin, 12 Desember 2022 / 11:24 WIB",Reporter: Nur Qolbi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/volatilitas-pasar-modal-berpotensi-lanjut-pada-2023-perhatikan-sentimen-ini,"KONTAN.CO.ID - JAKARTA. Volatilitas pasar modal yang terjadi pada 2022 diprediksi akan berlanjut pada 2023. Ekonom KB Valbury Sekuritas Fikri C. Permana mengatakan, volatilitas utama yang menjadi perhatian pelaku pasar saat ini adalah suku bunga acuan. Sebagaimana diketahui, bank sentral Amerika Serikat (AS) The Fed telah menaikkan suku bunga acuannya sebesar 75 basis poin (bps) dalam empat pertemuan terakhir. Ada kemungkinan The Fed kembali mengerek suku bunga sebesar 50 bps pada Desember ini. Hal itu dilakukan The Fed untuk mengurangi risiko inflasi yang dampak jangka panjangnya dapat menyebabkan pengurangan jumlah orang yang bekerja. Hal ini pada akhirnya akan berdampak signifikan secara makro ekonomi. Baca Juga: IHSG Dibayangi Sentimen Global, Sederet Saham Ini Bisa Ditimbang ""Oleh sebab itu, The Fed menjaga ekspektasi pasar dengan menaikkan suku bunga,” kata Fikri dalam diskusi Investment Talk bertema ""Risk on - Risk off: Adaptive Momentum Investing"" yang digelar D Origin Advisory bekerjasama dengan IGICO Advisory, Minggu (11/12). Selain itu, saat ini juga ada volatilitas spill over yang disebabkan oleh perbedaan harga minyak. Namun, hal positifnya adalah tren harga minyak saat ini berada di level yang lebih rendah dan musim dingin tidak sedingin perkiraan. Peningkatan risiko resesi global juga menjadi faktor yang perlu dicermati pelaku pasar, tetapi tidak perlu dicemaskan secara berlebihan. Pasalnya, sejumlah lembaga internasional seperti IMF, OECD, dan Bank Dunia mengekspektasikan pertumbuhan ekonomi dunia masih dalam jalur positif meskipun ada beberapa negara yang tumbuh negatif. Untuk Indonesia, Fikri memperkirakan perekonomian pada 2023 tetap tumbuh antara 3,8%-5,1%. Pasalnya, belum ada risiko penurunan dari beberapa lapangan usaha yang menjadi kunci utama di saat ada indikasi kemungkinan resesi, yaitu jasa keuangan, infrastruktur, konstruksi/perumahan. Namun demikian, Fikri mengingatkan ada risiko non-ekonomi yang dapat mempengaruhi pertumbuhan ekonomi Indonesia. Pertama, pelonggaran kebijakan zero Covid-19 di China yang merupakan negara kedua terbesar di dunia untuk sektor manufaktur. Kedua, pelaksanaan Pemilu 2024 termasuk dinamika politik yang menyertainya. Ketiga, tensi politik yang masih berlangsung antara Rusia dan Ukraina. Keempat, potensi perang dagang baru antara Uni Eropa dengan AS. Baca Juga: Imbal Hasil Dividen Menarik, Saham Emiten Layak Dilirik Senada, Head of Equity Investment Berdikari Manajemen Investasi Agung Ramadoni menilai tingkat ketidakpastian pasar masih tinggi. Selain faktor tekanan ekonomi sejumlah negara maju, ada faktor penerapan zero Covid policy di China serta krisis energi yang mengerek inflasi di banyak negara. Berbagai risiko ketidakpastian tersebut akan memengaruhi kondisi pasar pada 2023. “Pasar saham cenderung lebih perform. Yang perlu diwaspadai adalah pada saat nanti bank sentral mulai menurunkan suku bunga, tetapi keadaan ekonomi dan datanya malah cenderung lanjut memburuk,” ucap Agung. Dia memaparkan berdasarkan data atau indikator perekonomian, negara-negara maju seperti AS, China, dan Eurozone cenderung akan melambat dalam jangka pendek ini. Oleh karena itu, kebijakan bank sentral dunia seperti The Fed akan cenderung tidak terlalu agresif. Hal ini berpotensi memberikan sentimen positif bagi pasar saham, baik di dunia maupun di Indonesia. “Namun kembali lagi, untuk pasar saham dapat menguat jauh lebih tinggi lagi harus adanya rotasi sektor,"" ucap Agung. Menurut Agung, setelah cheap money dan very high inflation regime telah berlalu, investor dapat menempatkan investasinya pada saham dan obligasi. Ia merekomendasikan komposisi penempatannya adalah sebesar 50:50. Cek Berita dan Artikel yang lain di Google News",investasi
"Ada Ketidakpastian Global, Malaysia Igatkan Volatilitas Pasar CPO Berlanjut di 2023",2024-08-21T02:10:20.918Z,"Senin, 14 November 2022 / 13:48 WIB",Sumber: Reuters | Editor: Herlina Kartika Dewi,https:////internasional.kontan.co.id/news/ada-ketidakpastian-global-malaysia-igatkan-volatilitas-pasar-cpo-berlanjut-di-2023,"KONTAN.CO.ID - KUALA LUMPUR. Dewan Minyak Sawit Malaysia memperingatkan tahun 2023 merupakan tahun yang sulit bagi pasar minyak nabati, dengan berlanjutnya ketidakpastian global baik yang dipicu oleh geopolitik, ekonomi dan cuaca. Mengutip Reuters, Senin (14/11), pasar minyak nabati bergulat dengan volatilitas yang dipicu oleh kekhawatiran resesi, invasi Rusia ke Ukraina dan pembatasan ekspor pemerintah untuk melindungi pasokan dalam negeri. Harga patokan minyak sawit mentah Malaysia mencapai rekor tertinggi 7.268 ringgit (US$ 1.586,21) per ton pada bulan Maret, tetapi harga telah anjlok sekitar 40% sejak itu. ""Situasi kelapa sawit diperkirakan akan tetap tidak pasti pada tahun 2023,"" kata Direktur Jenderal Dewan Minyak Sawit Malaysia Ahmad Parveez Ghulam Kadir dalam presentasi di seminar online. Baca Juga: Ekspor CPO Mengalap Berkah dari Janji China Ia menambahkan, keseimbangan penawaran dan permintaan akan terpengaruh oleh pergeseran pola cuaca, situasi tenaga kerja, volatilitas mata uang dan ketidakstabilan kebijakan dan geopolitik. ""Ini tidak akan semudah beberapa tahun terakhir, ketika para peserta mampu mengantisipasi pasar,"" katanya. Ahmad Parveez bilang, dalam waktu dekat, gangguan pasokan minyak sawit karena badai tropis di produsen utama Indonesia dan Malaysia diperkirakan akan berlanjut hingga kuartal pertama 2023, menjaga harga tetap kuat. Musim hujan meningkat di Malaysia dan telah memicu banjir di seluruh negeri, produsen minyak sawit terbesar kedua di dunia, selama seminggu terakhir. Badan negara Dewan Minyak Sawit Malaysia (MPOC) mengatakan kekhawatiran pasokan terkait banjir dikombinasikan dengan ringgit yang lebih lemah akan menjaga harga minyak nabati antara 4.000 ringgit dan 4.400 ringgit per ton hingga akhir Desember. Harga akan menjadi 3.900 ringgit per ton hingga 4.300 ringgit per ton hingga Maret 2023, dan turun lebih jauh menjadi 3.800 ringgit hingga 4.200 ringgit per ton pada kuartal kedua, kata Kepala Eksekutif MPOC Wan Aishah Wan Hamid. Baca Juga: Tahun Depan, Indonesia Tambah Kuota Ekspor CPO Sebanyak 1 Juta Ton ke Tiongkok Kontrak berjangka diperdagangkan pada 4.172 ringgit (US$ 910,52) pada tengah hari Senin. MPOC memperkirakan produksi minyak sawit mentah Malaysia tahun 2022 akan menyusut untuk tahun ketiga menjadi 18,08 juta ton, dibandingkan dengan 18,1 juta ton tahun lalu. Diperkirakan produksi Indonesia meningkat menjadi 46,6 juta ton dari 44,7 juta ton pada tahun 2021. ($1 = 4,5820 ringgit)",internasional
"Goldman Sachs PHK 25 Bankir di Asia, Efek Kesepakatan Terhambat Volatilitas Pasar",2024-08-21T02:10:21.142Z,,Premium User Only,https:////insight.kontan.co.id/news/goldman-sachs-phk-25-bankir-di-asia-efek-kesepakatan-terhambat-volatilitas-pasar,Premium Content - Not Scraped,insight
"Jepang Akui Volatilitas Yen Berlebihan dan Siap Ambil Tindakan, Pasar Tak Teryakinkan",2024-08-21T02:10:21.459Z,,Premium User Only,https:////insight.kontan.co.id/news/jepang-akui-volatilitas-yen-berlebihan-dan-siap-ambil-tindakan-pasar-tak-teryakinkan,Premium Content - Not Scraped,insight
