Title,Scrapping Date,Article Date,Author,Link,Content,Category
Nikkei Menguat pada Rabu (14/8) Pagi Setelah Rilis Data Inflasi Produsen AS,2024-08-21T02:07:13.302Z,"Rabu, 14 Agustus 2024 / 07:58 WIB",Reporter: Wahyu Tri Rahmawati | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/nikkei-menguat-pada-rabu-148-pagi-setelah-rilis-data-inflasi-produsen-as,"KONTAN.CO.ID - JAKARTA. Rata-rata saham Nikkei Jepang naik pada perdagangan awal hari Rabu (14/8), setelah data harga produsen atau producer price index (PPI) Amerika Serikat (AS) yang lemah semalam mendukung ekspektasi pemotongan suku bunga dan mendukung selera risiko. Nikkei naik 0,3% pada 36.352,80 pada pukul 07.26 WIB. Sementara Topix yang lebih luas naik 0,7%. Harga produsen AS meningkat lebih rendah dari yang diharapkan pada bulan Juli. Kenaikan biaya barang diredam oleh biaya jasa yang lebih murah, yang menunjukkan bahwa inflasi terus menurun. Baca Juga: Wall Street Melonjak, Data Harga Produsen yang Rendah Perkuat Harapan Penurunan Bunga Wall Street menguat semalam karena data ekonomi terbaru. Ketiga indeks saham utama Wall Street berakhir lebih tinggi dalam dorongan lain bagi sentimen investor. Saham teknologi Jepang mengikuti rekan-rekan mereka di AS lebih tinggi. Investor rintisan yang berfokus pada kecerdasan buatan SoftBank Group dan pembuat peralatan pengujian chip Advantest naik. Kenaikan kedua saham memberikan Nikkei dorongan yang cukup besar. Sektor keuangan memimpin kenaikan, dengan perusahaan asuransi naik lebih dari 2%. Sektor perbankan naik lebih dari 1%.     Cek Berita dan Artikel yang lain di Google News",investasi
Rekomendasi Saham Hari Ini Saat Pasar Menanti Rilis Data Inflasi,2024-08-21T02:07:13.681Z,,Premium User Only,https:////insight.kontan.co.id/news/rekomendasi-saham-hari-ini-saat-pasar-menanti-rilis-data-inflasi,Premium Content - Not Scraped,insight
"Ditutup Menguat Selasa (13/8), Pergerakan Rupiah Besok Bergantung Data Inflasi AS",2024-08-21T02:07:13.839Z,"Selasa, 13 Agustus 2024 / 17:48 WIB",Reporter: Sugeng Adji Soenarso | Editor: Putri Werdiningsih,https:////investasi.kontan.co.id/news/ditutup-menguat-selasa-138-pergerakan-rupiah-besok-bergantung-data-inflasi-as,"KONTAN.CO.ID - JAKARTA. Nilai tukar rupiah terhadap dolar Amerika Serikat (AS) mencatatkan penguatan sejak 4,5 bulan terakhir pada perdagangan Selasa (13/8). Rupiah spot menguat 0,77% ke Rp 15.833 per dolar AS dan rupiah JISDOR naik 0,48% ke Rp 15.885 per dolar AS. Research & Education Coordinator Valbury Asia Futures, Nanang Wahyudin mengatakan, jelang data inflasi AS, pergerakan dolar AS mengalami pelemahan. ""Kondisi itu membawa penguatan terhadap rupiah dengan berada di bawah Rp 15.900 per dolar AS, bertepatan dengan meningkatnya ekspektasi investor akan pemangkasan suku bunga the Fed,"" ujarnya kepada Kontan.co.id, Selasa (13/8). Baca Juga: Rupiah Diprediksi Lanjut Menguat, Rabu (14/8) Untuk besok, Nanang menilai pergerakan rupiah akan bergantung pada rilis data inflasi produsen AS. Pelaku pasar memperkirakan secara bulanan (MoM) akan melambat dari 0,2% ke 0,1%, sedangkan inflasi inti produsen juga melambat dari 0,4% ke 0,2%. ""Jika aktualisasi data tersebut mengalami perlambatan dan membawa indeks dolllar melemah, maka rupiah berpotensi terus melaju dan berpotensi ke area Rp 15.770 per dolar AS,"" katanya. Namun, pelaku pasar juga akan menantikan data inflasi konsumen AS yang akan rilis Rabu malam. Karenanya, ia memperkirakan rupiah akan bergerak direntang Rp 15.770 - Rp 15.890 per dolar AS.     Cek Berita dan Artikel yang lain di Google News",investasi
"Harga Emas Spot Dekati Puncak Satu Minggu, Investor Bersiap Hadapi Data Inflasi AS",2024-08-21T02:07:14.029Z,"Selasa, 13 Agustus 2024 / 10:13 WIB",Sumber: Reuters | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/harga-emas-spot-dekati-puncak-satu-minggu-investor-bersiap-hadapi-data-inflasi-as,"KONTAN.CO.ID - Harga emas turun pada Selasa (13/8), tetapi tetap mendekati puncak satu minggu. Sementara pasar menantikan data inflasi Amerika Serikat (AS) yang penting, untuk memberikan wawasan lebih lanjut mengenai keputusan kebijakan The Fed berikutnya. Harga emas spot turun 0,2% menjadi US$2.466,69 per ons troi pada pukul 01.55 GMT, setelah mencapai level tertinggi sejak 2 Agustus sebelumnya dalam sesi tersebut. Sedangkan emas berjangka AS naik 0,1% menjadi US$2.506,90. Baca Juga: Harga Emas Antam Hari Ini Naik Rp 18.000 ke Rp 1.419.000 Per Gram, Selasa (13/8) Pedagang menunggu indeks harga produsen AS (PPI) untuk Juli yang akan dirilis pada hari ini, diikuti oleh indeks harga konsumen (CPI) pada Rabu. Data CPI diperkirakan akan menunjukkan bahwa harga utama dan inti naik 0,2% secara bulanan. Menurut CME FedWatch Tool, pedagang memperkirakan sekitar 50% peluang adanya pemotongan suku bunga sebesar 50 basis poin pada September oleh The Fed. Lingkungan suku bunga rendah cenderung meningkatkan daya tarik emas yang tidak memberikan hasil imbalan. SPDR Gold Trust, dana yang didukung emas terbesar di dunia, melaporkan bahwa kepemilikannya naik 0,34% menjadi 849,79 metrik ton pada Senin, dari 846,91 ton pada Jumat. Pemerintah AS mencatat defisit anggaran sebesar US$244 miliar untuk Juli, naik 10% dari tahun sebelumnya. Namun, dengan memperhitungkan perbedaan kalender, selisihnya akan lebih kecil $45 miliar, menurut Departemen Keuangan. Baca Juga: Harga Emas Antam Logam Mulia Naik Hari Selasa 13 Agustus 2024, Yuk Cek! Di bidang geopolitik, Perdana Menteri Israel Benjamin Netanyahu saling sindir dengan menteri pertahanannya, menyoroti perpecahan internal yang mendalam yang terus melanda pemerintahan saat perang di Gaza berisiko meluas menjadi konflik regional yang lebih luas. Di tempat lain, harga perak spot turun 0,5% menjadi US$27,8607 per ons troi, platinum naik tipis 0,2% menjadi US$938,55, dan paladium turun 0,4% menjadi US$917,10.     Cek Berita dan Artikel yang lain di Google News",investasi
"Inflasi Jadi Momok, Begini Strategi Pelaku Bisnis UKM Mengatasinya",2024-08-21T02:07:14.253Z,"Selasa, 13 Agustus 2024 / 08:58 WIB",Reporter: Ahmad Febrian | Editor: Ahmad Febrian,https:////nasional.kontan.co.id/news/inflasi-jadi-momok-begini-strategi-pelaku-bisnis-ukm-mengatasinya,"KONTAN.CO.ID - JAKARTA. Salah satu momok dalam ekonomi adalah inflasi. Baik individu maupun pebisnis merasakan efek inflasi ini, termasuk usaha kecil dan menengah (UKM) atau small medium enterprises (SME). Mereka harus melakukan berjibaku agar usahanya tetap resilien. ""Dampak inflasi ke 88% pebisnis. Di Indonesia, SME yang terdampak mencapai 94 persen dan yang paling terdampak adalah SME di sektor manufaktur,"" ujar periset UOB Singapura, Jasmine Yeoh dalam paparan hasil risetnya, Senin (12/8). Para pelaku bisnis SME berusaha menyeimbangkan komponen pengeluaran dalam bisnis mereka, termasuk memangkas biaya-biaya, memperbaiki produktivitas dan memperbaiki harga. Mereka juga mulai adopsi teknologi digital. Terkait hal ini, pebisnis SME di Indonesia Thailand dan China adalah yang paling unggul. ""Sebanyak 8 dari 10 pebisnis di 3 negara ini sudah mengadopsi digitalisasi. Adopsi digitalisasi di Indonesia mencapai 89%,"" kata Jasmine. Baca Juga: Jadi Tulang Punggung, Bank-Bank Ini Geber Bisnis Wholesale Banking Head of Strategic Communication and Brand UOB Indonesia, Maya Rizano menjelaskan, riset UOB Indonesia tentang pebisnis SME dan perusahaan skala besar ini bertujuan melihat investasi mereka demi mendorong perekonomian Indonesia. ""Sektor UMKM kita selama ini berkontribusi 70% terhadap PDB Indonesia,"" ujarnya. Harapman Kasan, Direktur Wholesale Banking UOB mengatakan, sektor SME yang terus tumbuh dan berkembang akan membuat perekonomian Indonesia makin solid. ""Riset UOB menyoroti bisnis UMKM dan perusahaan besar melihat tantangan di depan. Selama ini UMKM menghadapi sejumlah kendala seperti akses pembiayaan yang terbatas dan adopsi teknologi digital,"" kata Harapman. ]     Cek Berita dan Artikel yang lain di Google News",nasional
"Inflasi Terkendali, Daya Beli Lokal di Sektor Properti Diprediksi Meningkat",2024-08-21T02:07:14.536Z,"Senin, 12 Agustus 2024 / 18:32 WIB",Reporter: Sabrina Rhamadanty | Editor: Tri Sulistiowati,https:////industri.kontan.co.id/news/inflasi-terkendali-daya-beli-lokal-di-sektor-properti-diprediksi-meningkat,"KONTAN.CO.ID - JAKARTA. Lembaga konsultasi dan agensi properti, Colliers Indonesia, menyatakan bahwa pospek ekonomi Indonesia dan inflasi yang terkendali pada kuartal kedua tahun 2024 dinilai dapat meningkatkan daya beli lokal di sektor properti.  Ferry Salanto, Head of Research Colliers mengatakan bahwa meski daya beli diprediksi naik, pemilik properti juga harus menerapkan beberapa strategi guna menarik konsumen.   ""Pemilik properti yang menawarkan tarif kompetitif dan paket menarik dapat terus menarik minat penyewa secara signifikan. Selain itu, di pasar kemungkinan akan terihat lebih banyak pembukaan cabang dan ekspansi ruang sepanjang sisa tahun 2024,"" ungkap Ferry dalam keterangan tertulis yang diterima Kontan, Senin (12/08). Baca Juga: Apindo Sarankan PTKP Dinaikkan Bila PPN 12% Diterapkan, Begini Respons Kemenkeu   Perusahaan-perusahaan properti juga diharapkan untuk mendiversifikasi lini bisnis mereka seiring dengan sektor-sektor tertentu yang menunjukkan kinerja positif. Strategi yang matang diperlukan, namun pemulihan pasca-pandemi kemungkinan akan membuka peluang untuk pertumbuhan bisnis.   Periode pasca-pemilihan umum juga memberikan kesempatan bagi pemerintah untuk menerapkan kebijakan fiskal yang bertujuan mendorong pertumbuhan ekonomi yang kuat. Hal ini dapat menjadi sinyal bagi pemilik properti untuk bersiap menghadapi peningkatan penyerapan ruang.  Sebagai contoh, di pasar perkantoran Jakarta, ditandai dengan banyaknya ruang yang tersedia, terlihat bahwa penyewa lebih mengutamakan kualitas dibandingkan luas lantai. Sementara itu, di Surabaya, meskipun ada beragam pilihan, permintaan ruang kantor diperkirakan akan tetap moderat sepanjang tahun 2024.   Permintaan untuk ruang kantor semakin meningkat seiring dengan berbagai sektor bisnis yang menunjukkan minat kuat untuk menduduki ruang kantor. Hal ini terutama didorong oleh sektor keuangan, dengan beberapa perusahaan yang optimis untuk membuka kantor cabang di Surabaya, menandakan iklim bisnis yang positif. Baca Juga: Adhi Persada Properti Kembangkan Hunian Tapak di Kawasan Taman Dhika Sidoarjo Kota     Cek Berita dan Artikel yang lain di Google News",industri
"Cabai, Beras dan Minyak Goreng Masih Berpotensi Sumbang Inflasi di Agustus 2024",2024-08-21T02:07:14.704Z,"Senin, 12 Agustus 2024 / 13:05 WIB",Reporter: Lailatul Anisah | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/cabai-beras-dan-minyak-goreng-masih-berportensi-sumbang-inflasi-di-agustus-2024,"KONTAN.CO.ID - JAKARTA. Badan Pusat Statistik (BPS) mengungkap komoditas cabai, beras hingga minyak goreng masih berpotensi menyumbang inflasi bulanan pada Agustus ini. Direktur Statistik Harga BPS, Windhiarso Ponco A.P merinci saat ini harga cabai rawit nasional sudah mencapai Rp 69.404 di minggu kedua Agustus ini atau naik 17,85% jika dibandingkan dengan bulan Juli lalu. ""Jadi bapak ibu bisa mencermati dimana cabai rawit ini masih jadi penyumbang inflasi di bulan Agustus,"" jelas Ponco dalam Rakor Mingguan Inflasi, Senin (12/8). Baca Juga: BPS: Terjadi Deflasi 0,18% pada Juni 2024 Selain itu, jumlah kabupaten/kota yang mengalami kenaikan harga juga terus bertambah menjadi 243 kabupaten kota atau 71,67% wilayah di Indonesia. Kemudian, beras juga alami lonjakan harga, dimana rata-rata nasional telah mencapai Rp 15.151/kg atau naik 0,13% jika dibandingkan dengan Juli 2024. Beras mengalami kenaikan harga di 31,39% wilayah Indonesia atau sebanyak 113 kabupaten/kota. Sementara, Minyak Goreng pada minggu kedua Agustus ini mengalami kenaikan 0,27% dibandingkan dengan Juli lalu, dimana rata-rata harga secara nasional telah mencapai Rp 18.210/liter. Baca Juga: Harga Cabai Rawit Naik, Kementan Sebut Akibat Kekeringan Kemudian harga cabai merah sampai dengan minggu kedua Agustus rata-rata nasional turun sebesar 2,82% jika dibandingkan dengan Juli 2024. Saat ini harga cabai merah ini mencapai Rp 46.593/kg. Hanya saja, BPS mencatat beberapa wilayah masih mengalami lonjakan harga.  ""Cabai merah meskipun masih lebih rendah daripada Juli turun 2,82%, tapi ada beberapa yang mengalami kenaikan harga,"" urainya.     Cek Berita dan Artikel yang lain di Google News",nasional
"Harga Emas Stabil di US$2.425,94 Senin (12/8) Pagi, Fokus pada Data Inflasi AS",2024-08-21T02:07:14.899Z,"Senin, 12 Agustus 2024 / 10:14 WIB",Reporter: Yudho Winarto | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/harga-emas-stabil-di-us242594-senin-128-pagi-fokus-pada-data-inflasi-as,"KONTAN.CO.ID - Harga emas stabil pada Senin (12/8), dengan para investor menantikan data inflasi Amerika Serikat (AS) yang akan dirilis minggu ini. Untuk memperkirakan besaran potensi pemotongan suku bunga oleh The Fed bulan depan. Harga emas spot sedikit berubah pada US$2.425,94 per ons troi, per pukul 01:53 GMT. Sementara itu, emas berjangka AS turun 0,3% menjadi US$2.464,80. Indeks harga produsen AS (PPI) akan dirilis pada Selasa (13/8), disusul oleh indeks harga konsumen (CPI) pada Rabu (14/8). Baca Juga: Sebulan Cuma Naik 0,14%, Hari Ini Harga Emas Masih Mager (12 Agustus 2024) Saat ini, pasar memperkirakan ada sekitar 54% kemungkinan pemotongan suku bunga sebesar 50 basis poin pada bulan September, menurut CME FedWatch Tool. Daya tarik emas yang tidak menghasilkan imbal hasil cenderung meningkat dalam lingkungan suku bunga rendah. Gubernur The Fed Michelle Bowman sedikit melunakkan nada hawkish-nya pada Sabtu, dengan mencatat beberapa ""kemajuan yang disambut baik"" dalam inflasi, meskipun dia mengatakan inflasi tetap ""tidak nyaman di atas"" target 2% bank sentral. Permintaan emas fisik di India meningkat sedikit pekan lalu karena koreksi harga, meskipun volatilitas pasar membuat beberapa pembeli menunda pembelian, sementara premi di Tiongkok naik karena pembelian aset safe-haven. Baca Juga: Harga Emas Antam Tak Bergerak Hari Ini 12 Agustus Di tempat lain, kelompok militan Palestina, Hamas, pada Minggu meminta mediator untuk mengajukan rencana berdasarkan pembicaraan sebelumnya daripada melakukan negosiasi baru untuk kesepakatan gencatan senjata Gaza, menimbulkan keraguan atas partisipasi mereka dalam pertemuan yang direncanakan Kamis mendatang. Di tempat lain, harga perak spot turun 0,6% menjadi US$27,29 per ons troi, platinum naik tipis 0,1% menjadi US$923,20, dan paladium hampir tidak berubah pada US$905,00.     Cek Berita dan Artikel yang lain di Google News",investasi
"Bursa Asia Dibuka Lebih Tinggi Senin (12/8) Pagi, Fokus ke Data Inflasi India",2024-08-21T02:07:15.097Z,"Senin, 12 Agustus 2024 / 07:43 WIB",Reporter: Yudho Winarto | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/bursa-asia-dibuka-lebih-tinggi-senin-128-pagi-fokus-ke-data-inflasi-india,"KONTAN.CO.ID - Bursa saham Asia-Pasifik dibuka lebih tinggi pada Senin (12/8). Setelah pekan yang bergejolak dengan penurunan tajam diikuti oleh pemulihan yang signifikan, terutama di saham-saham Jepang. Indeks S&P/ASX 200 Australia dibuka naik 0,75%. Baca Juga: Begini Prospek Kinerja Indeks Kompas100 Setelah Musim Rilis Laporan Keuangan Kelar Indeks Kospi Korea Selatan dibuka dengan kenaikan 1,20%. Sementara Kosdaq yang berkapitalisasi kecil naik 1,42%. Indeks Futures Hang Seng Hong Kong berada di 17.062, sedikit lebih rendah dari penutupan terakhir HSI di 17.090,23. Pasar Jepang ditutup untuk libur nasional. Baca Juga: Simak Rekomendasi Saham Pilihan untuk Hari Ini (12/8) Di Asia, para pedagang akan memantau data inflasi dan output industri dari India. Ekonom yang disurvei oleh Reuters memperkirakan inflasi CPI tahunan India akan turun tajam menjadi 3,65% pada Juli, dari 5,08% pada bulan sebelumnya. Sementara itu, output industri India untuk Juni diperkirakan mencapai 5,5%, sedikit turun dari 5,9% pada Mei. Futures untuk indeks-indeks acuan di Amerika Serikat (AS) berada di zona merah karena para investor menantikan data inflasi kunci yang akan dirilis akhir pekan ini. Baca Juga: Cek Rekomendasi Sahamnya untuk ISAT, EXCL, dan TLKM Pada Jumat lalu, indeks-indeks utama Wall Street mengalami pemulihan tajam dari penurunan pasar yang volatile pekan lalu. Dow Jones menutup perdagangan dengan turun 0,6%, S&P 500 turun tipis 0,04%, dan Nasdaq Composite yang didominasi saham teknologi mengalami penurunan 0,18%.     Cek Berita dan Artikel yang lain di Google News",investasi
"Inflasi Naik di Juli, Ada Harapan Ekonomi China Pulih",2024-08-21T02:07:15.874Z,"Sabtu, 10 Agustus 2024 / 10:41 WIB",Reporter: Dina Mirayanti Hutauruk | Editor: Dina Hutauruk,https:////internasional.kontan.co.id/news/inflasi-naik-di-juli-ada-harapan-ekonomi-china-pulih,"KONTAN.CO.ID - BEIJING. Inflasi alias indeks harga konsumen China mengalami peningkatan pada bulan Juni melampaui proyeksi analis. Data tersebut memberikan harapan pemulihan permintaan domestik yang telah membebani pertumbuhan ekonomi Negeri Panda tersebut tahun ini. Biro Statistik National China melaporkan indeks harga konsumen China  pada Juli naik 0,5% secara tahunan, lebih tinggi dari bulan sebelumnya yang hanya naik  0,2%. Sebelumnya, konsensus analis yang disurvei Bloomberg hanya memprediksi inflasi mencapai 0,3%. Harga di tingkat pabrik melanjutkan laju deflasi yang dimulai pada akhir tahun 2022, dengan indeks harga produsen (producer price index/PPI) turun 0,8% dari tahun sebelumnya. Konsensus analis sebelumnya memperkirakan penurunan sebesar 0,9%. Baca Juga: Usia Pensiun Ditingkatkan, Pemuda China Resah China berjuang menghadapi deflasi terpanjang sejak tahun 1999 akibat pelemahan konsumsi dan permintaan investasi. Perang harga di berbagai sektor terus berlangsung. Penurunan harga di berbagai sektor menyebabkan pelemahan pertumbuhan nominal produk domestik bruto (PDB) China, menggerus laba perusahaan, dan cenderung mmebuat konsumen menunda pembelian karena berharap akan semakin turun. Upaya memulihkan permintaan domestik mendesak dilakukan karena ekspor China pada Juli secara mengejutkan mengalami perlambatan. Padahal ekspor merupakan tumpuan ekonomi China tahun ini. Perlambatan ekspor menunjukkan bahwa permintaan global turun. Mika ini berlanjut dan konsumsi dalam negeri tidak didongkrak maka bisa membahayakan target pemerintah China untuk mencapai pertumbuhan sekitar 5% pada 2024. Baca Juga: Nilai Perdagangan Jerman dengan AS Salip dengan China Politbiro China, badan penentu keputusan utama Partai Komunis yang berkuasa, berjanji untuk menjadikan peningkatan belanja konsumen sebagai fokus kebijakan yang lebih besar dalam pertemuan baru-baru ini. Pemerintah meluncurkan rencana aksi 20 langkah untuk mendorong lebih banyak belanja jasa, meskipun hanya memberikan sedikit insentif keuangan untuk meningkatkan permintaan domestik.    ",internasional
