Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Lunasi Obligasi Jatuh Tempo, Mandala Multifinance Siapkan Dana Rp 150 Miliar",2024-08-21T01:33:01.570Z,"Rabu, 03 Juli 2024 / 12:17 WIB",Reporter: Aulia Ivanka Rahmana | Editor: Noverius Laoli,https:////keuangan.kontan.co.id/news/lunasi-obligasi-jatuh-tempo-mandala-multifinance-siapkan-dana-rp-150-miliar,"KONTAN.CO.ID - JAKARTA. PT Mandala Multifinance Tbk (MFIN) telah menyiapkan dana untuk pembayaran pokok obligasi yang akan jatuh tempo pada tanggal 6 Agustus 2024. Melansir keterbukaan informasi, Senin (1/7) Direktur Mandala Multifinance Harryjanto Lasmana mengatakan, dana yang disiapkan untuk melunasi pembayaran Obligasi Berkelanjutan IV Mandala Finance Tahap III Tahun 2021 Seri B sebesar Rp 150 miliar. ""Sumber dana yang akan digunakan untuk pembayaran Obligasi tersebut berasal dari dana internal perseroan,"" ujar Harryjanto dalam keterangan resminya, Senin (1/7). Baca Juga: Pembiayaan Haji Sejumlah Perusahaan Multifinance Masih Minim Pelunasan obligasi ini merujuk pada surat keputusan direksi PT Bursa Indonesia Nomor KEP-00015/BEI/01-2021 Perihal Perubahan Peraturan Nomor I-E, tentang kewajiban penyampaian informasi kesiapan dana pelunasan efek. Lebih lanjut, Harryjanto menjelaskan, sampai saat ini, tidak ada keputusan atau hal penting lainnya yang dilakukan oleh manajemen terkait hal-hal tersebut di atas. Cek Berita dan Artikel yang lain di Google News",keuangan
Tumpukan Utang Jatuh Tempo Tahun Depan Bisa Menekan Perekonomian,2024-08-21T01:33:02.559Z,,Premium User Only,https:////insight.kontan.co.id/news/tumpukan-utang-jatuh-tempo-tahun-depan-bisa-menekan-perekonomian,Premium Content - Not Scraped,insight
Menakar Kemampuan Pemerintah Membayar Utang Jatuh Tempo Tahun Depan,2024-08-21T01:33:02.662Z,"Minggu, 30 Juni 2024 / 15:33 WIB",Reporter: Rashif Usman | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/menakar-kemampuan-pemerintah-membayar-utang-jatuh-tempo-tahun-depan,"KONTAN.CO.ID - JAKARTA. Anggaran Pendapatan dan Belanja Negara (APBN) pada tahun depan akan dialokasikan untuk pembayaran bunga utang yang diperkirakan cukup besar. Kementerian Keuangan (Kemenkeu) mencatat utang jatuh tempo pemerintah Indonesia pada tahun 2025 mencapai Rp 800 triliun. Utang jatuh tempo tersebut menjadi rekor tertinggi yang akan dibebankan di pundak pemerintahan selanjutnya. Dalam rinciannya, utang jatuh tempo pada 2025 sebesar Rp 800,33 triliun ini terdiri dari jatuh tempo Surat Berharga Negara (SBN) sebesar Rp 705,5 triliun dan jatuh tempo pinjaman sebesar Rp 94,83 triliun. Adapun pembayaran bunga utang dialokasikan sebesar Rp 561 triliun. Baca Juga: Proyek IKN Jokowi Masuk APBN 2025, Ekonom Wanti-Wanti Kenaikan Utang Pemerintah Tahun depan, pemerintah  tampaknya akan membayar bunga utang melalui penerbitan utang baru. Hal ini terindikasi dari keseimbangan primer yang ditargetkan mencatat defisit 0,14%-0,61%. Staf Bidang Ekonomi, Industri, dan Global Markets dari Bank Maybank Indonesia, Myrdal Gunarto, menilai keseimbangan primer yang jadi defisit tahun depan karena imbas pembayaran utang jatuh tempo yang tinggi lantaran strategi utang pada era Covid-19 lalu. Ia menilai keseimbangan primer masih dalam kondisi aman karena pemerintah memasang batas atas untuk defisit fiskal sebesar 2,8% terhadap Produk Domestik Bruto (PDB). ""Apalagi, tahun depan juga kemungkinan era suku bunga lebih rendah, sehingga itu membuat biaya utang juga lebih murah dan investor global juga memandang pasar SUN (Surat Utang Negara) kita juga lebih menarik,"" kata Myrdal kepada Kontan, Minggu (30/6). Baca Juga: Program Makan Gratis Prabowo-Gibran Berpotensi Bebani Keuangan Negara Sementara itu, Direktur Eksekutif Institute for Development of Economics and Finance (Indef) Esther Sri Astuti menyoroti besarnya cicilan utang pemerintah hingga tahun 2030 masih sangat besar. Apalagi rasio utang terhadap PDB sudah mencapai sekitar 38%. ""Ini jelas menjadi beban APBN. Apalagi jika rupiah terdepresiasi maka akan semakin membuat nilai utang menjadi bengkak,"" kata Esther kepada Kontan, Rabu (26/6). Ia menjelaskan beban belanja pembayaran utang tersebut berdampak ada APBN, yang menyebabkan ruang fiskal akan menyempit. ""Semakin kecil pengeluaran pemerintah mengakibatkan ekonomi terkontraksi dan lesu,"" ucapnya. Cek Berita dan Artikel yang lain di Google News",nasional
"Bayar Utang Jatuh Tempo, Adhi Karya (ADHI) Bakal Rilis Obligasi Rp 1 Triliun",2024-08-21T01:33:02.781Z,"Sabtu, 22 Juni 2024 / 05:10 WIB",Reporter: Avanty Nurdiana | Editor: Avanty Nurdiana,https:////investasi.kontan.co.id/news/bayar-utang-jatuh-tempo-adhi-karya-adhi-bakal-rilis-obligasi-rp-1-triliun,"KONTAN.CO.ID - JAKARTA. PT Adhi Karya Tbk (ADHI) berencana menerbitkan obligasi senilai Rp 1 triliun. Berdasarkan prospektus ringkas, ADHI memaparkan jika penerbitan obligasi tersebut merupakan bagian dari obligasi berkelanjutan IV dengan total target Rp 5 triliun. Pada obligasi berkelanjutan IV tahap I tahun 2024 kali ini, Adhi Karya menawarkan tiga seri obligasi. Seri A bertenor tiga tahun, seri B berjangka waktu lima tahun dan seri C bertenor tujuh tahun. Tiga seri obligasi yang memiliki peringkat idA- dari PT Pemeringkat Efek Indonesia (Pefindo) belum ditentukan nilai dan bunganya. Baca Juga: ADHI Belum Terdampak Pelemahan Nilai Tukar Rupiah Dari prospektus ringkas yang dikutip pada Jumat (21/6) menjelaskan jika obligasi ini saat ini masih dalam masa penawaran awal. Adapun jadwal lengkap penerbitan obligasi berkelanjutan IV Adhi Karya tahap I tahun 2024 ini sebagai berikut:  Adhi Karya menjelaskan, penerbitan obligasi ini 45% akan digunakan untuk melunasi obligasi berkelanjutan III Adhi Karya tahap II tahun 2021. Sisanya akan digunakan sebagai modal kerja sesuai dengan bidang usaha Adhi Karya yakni di bidang jasa konstruksi. ""Penerbitan obligasi adalah untuk mendanai kegiatan usaha jasa konstruksi terutama untuk pembayaran upah pekerja, supplier dan vendor subkontraktor,"" terang manajemen Adhi Karya dalam prospektus ringkas. Berdasarkan data KSEI, obligasi berkelanjutan III Adhi Karya tahap II tahun 2021 yang akan jatuh tempo pada tahun ini senilai Rp 473,5 miliar. Obligasi ini akan jatuh tempo pada 24 Agustus 2024. Obligasi seri B ini memberi bunga 9,55% per tahun. Baca Juga: Menanti Efek IKN ke Emiten BUMN Karya ADHI juga memiliki obligasi jatuh tempo lain dalam waktu dekat. Obligasi tersebut adalah Obligasi Berkelanjutan Adhi Karya Tahap II tahun 2019 seri B. Surat utang korporasi ini bernilai pokok Rp 473,5 miliar dan akan jatuh tempo pada 25 Juni 2024. Obligasi yang dirilis pada tahun 2019 ini membayar bunga tetap 9,75% per tahun. Cek Berita dan Artikel yang lain di Google News",investasi
"Jatuh Tempo Juli, Barito Pacific (BRPT) Siap Lunasi Obligasi Sebesar Rp 561,1 Miliar",2024-08-21T01:33:02.957Z,"Jumat, 14 Juni 2024 / 12:58 WIB",Reporter: Ridwan Nanda Mulyana | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/jatuh-tempo-juli-barito-pacific-brpt-siap-lunasi-obligasi-sebesar-rp-5611-miliar,"KONTAN.CO.ID - JAKARTA. PT Barito Pacific Tbk (BRPT) mengumumkan telah memiliki dan menyiapkan dana untuk pelunasan penuh atas pokok Obligasi Berkelanjutan II Barito Pacific Tahap I Tahun 2021 Seri A. Jumlahnya sebesar Rp 561,1 miliar. Obligasi tersebut memiliki tingkat bunga tetap sebesar 8,80% per tahun yang akan jatuh tempo pada 8 Juli 2024. ""Dana untuk pelunasan obligasi tersebut akan kami setorkan ke rekening pembayaran yang telah ditentukan,"" ungkap Sekretaris Perusahaan dan Direktur BRPT David Kosasih dalam keterbukaan informasi, Kamis (13/6). Sekadar mengingatkan, pada Juli 2021 lalu BRPT menerbitkan Obligasi Berkelanjutan II Tahap I Tahun 2021 dengan pokok sebesar Rp 750 miliar. Obligasi itu terdiri dari Rp 561,1 miliar obligasi Seri A dan Rp 188,9 miliar Seri B. Obligasi Seri A memiliki tingkat bunga tetap sebesar 8,80% per tahun, dengan jangka waktu tiga tahun sejak tanggal emisi. Sedangkan Seri B memiliki tingkat bunga tetap 9,50% per tahun dengan jangka waktu lima tahun. Baca Juga: RUPS Hari Ini (14/6), Barito Pacific (BRPT) Siap Bagi Saham Bonus dan Gelar MESOP Dalam prospektus penerbitan obligasi tersebut, setelah dikurangi biaya-biaya emisi, seluruh dana yang diperoleh dari hasil penawaran umum obligasi digunakan untuk pembayaran sebagian utang pokok berdasarkan facility agreement. Informasi aktual mengenai BRPT, pada hari ini, Jum'at (14/6) emiten milik konglomerat Prajogo Pangestu ini akan menggelar Rapat Umum Pemegang Saham Tahunan (RUPST) dan Luar Biasa (RUPSLB). Dalam RUPST, BRPT akan meminta persetujuan terkait penggunaan laba bersih tahun buku 2023, dimana BRPT meraih laba bersih senilai US$ 26,11 juta. Sedangkan dalam RUPSLB ada dua agenda yang akan dibahas. Pertama, BRPT akan meminta persetujuan sehubungan rencana pengalihan saham hasil pembelian kembali (buyback) atau refloat melalui program kepemilikan saham bagi manajemen dan karyawan alias Management & Employee Stock Option Plan (MESOP). Kedua, dalam RUPSLB hari ini BRPT akan meminta persetujuan terkait pembagian saham bonus. Estimasi jumlah saham yang akan dibagikan BRPT dalam aksi ini adalah 150 juta saham. Dengan memperhatikan jumlah saham treasuri yang akan dibagikan, BRPT mengusulkan pembagian saham bonus dengan rasio setiap 625 lembar saham lama akan memperoleh 1 lembar saham bonus. Pembagian saham bonus dilakukan dengan pembulatan ke bawah dan BRPT tidak akan membagikan saham dengan kepemilikan saham di bawah rasio pembagian yang telah ditentukan.    Dari sisi pergerakan saham, pada Sesi I perdagangan Jum'at (14/6) BRPT mengalami pelemahan 1,02% ke level harga Rp 970 per saham. Secara year to date, harga saham BRPT mengakumulasi pelemahan 27,07%. Cek Berita dan Artikel yang lain di Google News",investasi
Sri Mulyani Ungkap Cara Tuntaskan Utang Jatuh Tempo Rp 800 Triliun Tahun Depan,2024-08-21T01:33:03.064Z,"Selasa, 11 Juni 2024 / 05:40 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/sri-mulyani-ungkap-cara-tuntaskan-utang-jatuh-tempo-rp-800-triliun-tahun-depan,"KONTAN.CO.ID - JAKARTA  Kementerian Keuangan (Kemenkeu) akan melakukan koordinasi dengan Bank Indonesia (BI) untuk mencari solusi terbaik terkait utang jatuh tempo yang mencapai Rp 800 triliun pada tahun 2025. Direktur Surat Utang Negara (SUN) Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kemenkeu Deni Ridwan mengatakan, koordinasi tersebut dibutuhkan dalam rangka menjaga keberlanjutan fiskal. ""Jadi ini sesuatu hal yang bisa dibicarakan, sudah ada timnya dari pemerintah dengan BI untuk kita mendiskusikan bagaimana kita menangani SBN yang jatuh tempo tahun depan, yang sebetulnya diterbitkan dalam rangka untuk penanganan pandemi supaya nanti bisa mendapatkan solusi terbaik, di satu sisi juga dalam rangka menjaga untuk sustainabilitas fiskal kita,"" ujar Deni kepada awak media di Jakarta, Senin (10/6). Baca Juga: Tuntaskan Utang Jatuh Tempo Rp 800 Triliun di 2025, Sri Mulyani Koordinasi dengan BI Namun Deni menegaskan, selama pasar keuangan baik maka utang yang jatuh tempo pada tahun depan bukanlah menjadi sebuah masalah. ""Ibu (Menkeu) menyampaikan kemarin kan selama pasar keuangan kita baik, selama confident dari masyarakat, dari investor bagus itu sesuatu yang masih bisa kita manage,"" katanya. Deni menyebut, rata-rata pemerintah membayar utang jatuh tempo per tahun pada kisaran Rp 600 triliun hingga Rp 700 triliun. Nah, utang jatuh tempo yang tembus Rp 800 triliun pada tahun depan dikarenakan ada penarikan utang yang diterbitkan dalam rangka penanganan pandemi Covid-19. ""Biasanya itu sekitar Rp 600 triliun sampai Rp 700 triliun. Cuma tahun depan itu kan jatuh tempo karena ada SBN yang diterbitkan dalam rangka penanganan pandemi Covid, jadi sebagian sekitar Rp 100 triliun yang dimiliki oleh BI,"" imbuhnya. Baca Juga: DPR RI Soroti APBN 2025 Hanya Untuk Bayar Utang Jatuh Tempo Rp 782 Triliun",nasional
"Tuntaskan Utang Jatuh Tempo Rp 800 Triliun di 2025, Sri Mulyani Koordinasi dengan BI",2024-08-21T01:33:03.269Z,"Senin, 10 Juni 2024 / 17:26 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/tuntaskan-utang-jatuh-tempo-rp-800-triliun-di-2025-sri-mulyani-koordinasi-dengan-bi,"KONTAN.CO.ID - JAKARTA  Kementerian Keuangan (Kemenkeu) akan melakukan koordinasi dengan Bank Indonesia (BI) untuk mencari solusi terbaik terkait utang jatuh tempo yang mencapai Rp 800 triliun pada tahun 2025. Direktur Surat Utang Negara (SUN) Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kemenkeu Deni Ridwan mengatakan, koordinasi tersebut dibutuhkan dalam rangka menjaga keberlanjutan fiskal. ""Jadi ini sesuatu hal yang bisa dibicarakan, sudah ada timnya dari pemerintah dengan BI untuk kita mendiskusikan bagaimana kita menangani SBN yang jatuh tempo tahun depan, yang sebetulnya diterbitkan dalam rangka untuk penanganan pandemi supaya nanti bisa mendapatkan solusi terbaik, di satu sisi juga dalam rangka menjaga untuk sustainabilitas fiskal kita,"" ujar Deni kepada awak media di Jakarta, Senin (10/6). Baca Juga: Banyak Peminat, Pemerintah Pertimbangkan Penerbitan Euro Bond Namun Deni menegaskan, selama pasar keuangan baik maka utang yang jatuh tempo pada tahun depan bukanlah menjadi sebuah masalah. ""Ibu (Menkeu) menyampaikan kemarin kan selama pasar keuangan kita baik, selama confident dari masyarakat, dari investor bagus itu sesuatu yang masih bisa kita manage,"" katanya. Deni menyebut, rata-rata pemerintah membayar utang jatuh tempo per tahun pada kisaran Rp 600 triliun hingga Rp 700 triliun. Nah, utang jatuh tempo yang tembus Rp 800 triliun pada tahun depan dikarenakan ada penarikan utang yang diterbitkan dalam rangka penanganan pandemi Covid-19. ""Biasanya itu sekitar Rp 600 triliun sampai Rp 700 triliun. Cuma tahun depan itu kan jatuh tempo karena ada SBN yang diterbitkan dalam rangka penanganan pandemi Covid, jadi sebagian sekitar Rp 100 triliun yang dimiliki oleh BI,"" imbuhnya. Baca Juga: Utang Pemerintah Naik Lagi, Kini Tembus Rp 8.319,2 Triliun Sebelumnya, Menteri Keuangan Sri Mulyani Indrawati mengatakan bahwa risiko dari profil utang jatuh tempo yang tinggi pada tahun 2025 sangat kecil apabila kondisi perekonomian Indonesia membaik, Anggaran Pendapatan dan Belanja Negara (APBN) kredibel dan kondisi politiknya stabil. ""Sehingga jatuh tempo yang seperti kelihatan tinggi itu tidak menjadi masalah selama persepsi terhadap APBN, kebijakan fiskal ekonomi dan politik tetap sama,"" ujar Sri Mulyani dalam Rapat Kerja Komisi XI DPR RI, Kamis (6/6). Berdasarkan paparannya, utang jatuh tempo pada 2025 sebesar Rp 800,33 triliun ini terdiri dari jatuh tempo Surat Berharga Negara (SBN) sebesar Rp 705,5 triliun dan jatuh tempo pinjaman sebesar Rp 94,83 triliun. Sri Mulyani berdalih, jatuh tempo utang pemerintah yang tinggi pada tahun depan disebabkan oleh penarikan utang yang jumlahnya besar pada saat pandemi Covid-19. Baca Juga: Menko Airlangga Ungkap Hasil Aturan Bawa Masuk DHE di Forum Bank Dunia ""Jangan lupa pandemi Covid-19 yang waktu itu hampir membutuhkan Rp 1.000 triliun belanja tambahan dana untuk menambah belanja sebesar itu pada saat penerimaan negara turun 19% karena ekonominya berhenti waktu itu,"" katanya. Ia menjelaskan, penarikan utang yang tinggi ini berasal dari skema burden sharing bersama dengan Bank Indonesia (BI). ""Burden sharing itu menggunakan Surat Utang Negara yang maturitasnya maksimal 7 tahun. Jadi kalau maksimum jatuh tempo dari pandemi kita itu semua di 7 tahun.  Dan memang ini sekarang konsentrasi di 3 tahun,"" kata Menkeu. Baca Juga: Utang Pemerintah Bengkak Menjadi Rp 8.253 Triliun pada Awal Tahun 2024 ""Ini yang kemudian menimbulkan persepsi kok banyak sekali utang numpuk karena itu adalah biaya pandemi yang mayoritas kita issue surat utangnya berdasarkan agreement  waktu itu Komisi XI dengan BI untuk melakukan burden sharing,"" imbuh Menkeu. Cek Berita dan Artikel yang lain di Google News",nasional
Siap-Siap! Utang Jatuh Tempo Pemerintahan Prabowo-Gibran Tembus Rp 3.748 Triliun,2024-08-21T01:33:03.495Z,"Kamis, 06 Juni 2024 / 19:47 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/siap-siap-utang-jatuh-tempo-pemerintahan-prabowo-gibran-tembus-rp-3748-triliun,"KONTAN.CO.ID- JAKARTA.  Pemerintahan baru yang dipimpin oleh Prabowo Subianto dan Gibran Rakabuming Raka harus bersiap menghadapi tantangan besar berupa pembayaran utang jatuh tempo yang menumpuk. Berdasarkan data dari Kementerian Keuangan (Kemenkeu), total utang jatuh tempo dari tahun 2025 hingga 2029 mencapai Rp 3.748 triliun. Rinciannya adalah Rp 800,33 triliun pada tahun 2025, Rp 803,19 triliun pada tahun 2026, Rp 802,61 triliun pada tahun 2027, Rp 719,81 triliun pada tahun 2028, dan Rp 622,3 triliun pada tahun 2029. Mayoritas utang tersebut berbentuk Surat Berharga Negara (SBN). Baca Juga: Sri Mulyani Ingin Rating Kredit Indonesia Naik Jadi Single A, Tax Ratio Kuncinya Menteri Keuangan Sri Mulyani Indrawati menegaskan bahwa risiko dari utang jatuh tempo yang tinggi pada tahun 2025 dapat diminimalisir jika kondisi ekonomi Indonesia membaik, Anggaran Pendapatan dan Belanja Negara (APBN) tetap kredibel, dan situasi politik stabil. ""Sehingga jatuh tempo yang terlihat tinggi itu tidak menjadi masalah selama persepsi terhadap APBN, kebijakan fiskal, ekonomi, dan politik tetap sama,"" ujar Sri Mulyani dalam Rapat Kerja Komisi XI DPR RI, Kamis (6/6). Sri Mulyani menjelaskan bahwa utang jatuh tempo yang tinggi pada tahun depan disebabkan oleh besarnya penarikan utang selama pandemi Covid-19. ""Pandemi Covid-19 waktu itu hampir membutuhkan Rp 1.000 triliun dana tambahan untuk belanja, sementara penerimaan negara turun 19% karena ekonomi berhenti,"" katanya. Baca Juga: Utang Jatuh Tempo 2025 Tembus Rp 800 Triliun, Sri Mulyani Beri Penjelasan Penarikan utang yang besar ini dilakukan melalui skema burden sharing dengan Bank Indonesia (BI). ""Burden sharing menggunakan Surat Utang Negara yang maturitasnya maksimal 7 tahun. Jadi, jika maksimum jatuh tempo dari pandemi adalah 7 tahun, maka konsentrasi utang ada di 3 tahun,"" jelas Sri Mulyani. Hal ini menimbulkan persepsi bahwa utang menumpuk, padahal itu adalah biaya pandemi yang mayoritas diterbitkan melalui surat utang berdasarkan kesepakatan Komisi XI dengan BI. Sebelumnya, Wakil Ketua Komisi XI DPR RI, Dolfie OFP, menyoroti besarnya utang jatuh tempo dalam lima tahun ke depan. ""Jika dihitung, lima tahun ke depan jatuh tempo utangnya mencapai Rp 3.783 triliun,"" kata Dolfie. Baca Juga: Punya Target Defisit APBN yang Berbeda dengan Sri Mulyani, Menteri PPN Dicecar DPR Pemerintahan Prabowo-Gibran perlu strategi dan kebijakan yang tepat untuk mengelola pembayaran utang ini agar tidak mengganggu stabilitas ekonomi dan pembangunan nasional. Cek Berita dan Artikel yang lain di Google News",nasional
"Utang Jatuh Tempo 2025 Tembus Rp 800 Triliun, Sri Mulyani Beri Penjelasan",2024-08-21T01:33:03.657Z,"Kamis, 06 Juni 2024 / 18:14 WIB",Reporter: Dendi Siswanto | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/utang-jatuh-tempo-2025-tembus-rp-800-triliun-sri-mulyani-beri-penjelasan,"KONTAN.CO.ID-JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat utang jatuh tempo pemerintah Indonesia pada tahun depan atau 2025 mencapai Rp 800 triliun. Utang jatuh tempo tersebut menjadi rekor tertinggi yang akan dibebankan di pundak pemerintahan selanjutnya yakni Prabowo Subianto. Kendati begitu, Menteri Keuangan Sri Mulyani Indrawati mengatakan bahwa risiko dari profil utang jatuh tempo yang tinggi pada tahun 2025 sangat kecil apabila kondisi perekonomian Indonesia membaik, Anggaran Pendapatan dan Belanja Negara (APBN) kredibel dan kondisi politiknya stabil. ""Sehingga jatuh tempo yang seperti kelihatan tinggi itu tidak menjadi masalah selama persepsi terhadap APBN, kebijakan fiskal ekonomi dan politik tetap sama,"" ujar Sri Mulyani dalam Rapat Kerja Komisi XI DPR RI, Kamis (6/6). Baca Juga: Belanja Perpajakan Tahun 2025 Diproyeksi Rp 421,82 Triliun, Ini Kata Pengamat Berdasarkan paparannya, utang jatuh tempo pada 2025 sebesar Rp 800,33 triliun ini terdiri dari jatuh tempo Surat Berharga Negara (SBN) sebesar Rp 705,5 triliun dan jatuh tempo pinjaman sebesar Rp 94,83 triliun. Sri Mulyani berdalih, jatuh tempo utang pemerintah yang tinggi pada tahun depan disebabkan oleh penarikan utang yang jumlahnya besar pada saat pandemi Covid-19. ""Jangan lupa pandemi Covid-19 yang waktu itu hampir membutuhkan Rp 1.000 triliun belanja tambahan dana untuk menambah belanja sebesar itu pada saat penerimaan negara turun 19% karena ekonominya berhenti waktu itu,"" katanya. Ia menjelaskan, penarikan utang yang tinggi ini berasal dari skema burden sharing bersama dengan Bank Indonesia (BI). Baca Juga: Menghadap Jokowi, Prabowo Lapor Hasil Pertemuan Bilateral di Singapura ""Burden sharing itu menggunakan Surat Utang Negara yang maturitasnya maksimal 7 tahun. Jadi kalau maksimum jatuh tempo dari pandemi kita itu semua di 7 tahun.  Dan memang ini sekarang konsentrasi di 3 tahun,"" kata Menkeu. ""Ini yang kemudian menimbulkan persepsi kok banyak sekali utang numpuk karena itu adalah biaya pandemi yang mayoritas kita issue surat utangnya berdasarkan agreement  waktu itu Komisi XI dengan BI untuk melakukan burden sharing,"" imbuh Menkeu. Cek Berita dan Artikel yang lain di Google News",nasional
DPR RI Soroti APBN 2025 Hanya Untuk Bayar Utang Jatuh Tempo Rp 782 Triliun,2024-08-21T01:33:03.804Z,"Rabu, 05 Juni 2024 / 16:28 WIB",Reporter: Dendi Siswanto | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/dpr-ri-soroti-apbn-2025-hanya-untuk-bayar-utang-jatuh-tempo-rp-782-triliun,"KONTAN.CO.ID - JAKARTA. Wakil Ketua Komisi XI DPR dari Fraksi PDI Perjuangan Dolfie Othniel Frederic Palit mempertanyakan pemerintah terkait besarnya utang jatuh tempo yang harus dibayarkan pada tahun depan. Pasalnya, pada tahun depan pemerintah harus membayar utang jatuh tempo sebesar Rp 782 triliun. Jika dihitung, pembayaran utang pada tahun depan ini memiliki porsi 22% dari belanja negara sekitar Rp 3.500 triliun. ""Apakah ini seluruhnya diserap di APBN 2025? Atau enggak? Kalau diserapkan berarti APBN yang Rp 3.500 triliun itu untuk bayar utang saja sudah Rp 782 triliun,"" ujar Dolfie dalam Rapat Kerja Komisi XI, Rabu (5/6). Baca Juga: Porsi Kepemilikan Asing di SBN Menyusut Jadi 14% Dalam 10 Tahun Terakhir Mengutip paparan Kemenkeu, utang jatuh tempo pada tahun depan menjadi rekor yang tingi setidaknya hingga tahun 2034. Ekonom Center of Reform on Economics (CORE) Indonesia Yusuf Rendy Manilet mengatakan bahwa utang jatuh tempo yang relatif besar pada tahun depan belum memasukkan potensi penambahan utang baru yang akan muncul terutama dalam beberapa tahun ke depan imbas dari rencana kebijakan pemerintahan baru. Oleh karena itu, peningkatan utang jatuh tempo ini perlu menjadi faktor lain dari pertimbangan pemerintah ketika menyusun rancangan belanja terutama dalam tiga hingga lima tahun ke depan. ""Karena tentu dengan jatuh tempo utang yang besar ini berpotensi akan mendorong pemerintah untuk menerbitkan surat utang kembali dalam rangka membayar jatuh utang tempo tersebut,"" ujar Yusuf kepada Kontan.co.id, Minggu (2/6). Pasalnya, Yusuf bilang, pemerintah belum mampu sepenuhnya untuk mendanai utang jatuh tempo dari pembiayaan utama, baik dari pos pajak maupun pos non pajak. Baca Juga: Starlink Beroperasi di Indonesia, Kinerja Sarana Menara (TOWR) Diramal Tetap Tumbuh Di sisi lain, ketika pemerintahan harus menerbitkan surat utang baru, maka potensi penerbitan dengan ongkos pendanaan yang lebih tinggi masih berpeluang akan terjadi mengingat tren dari inflasi masih bisa meningkat seiring dengan harga komoditas yang sangat berfluktuasi dalam jangka pendek. Selain itu, kata dia, dalam konteks mendanai utang jatuh tempo tersebut maka keberlanjutan reformasi perpajakan akan menjadi kunci dalam proses tersebut. ""Mengingat jatuh tempo utang akan terjadi beriringan dengan kebutuhan belanja yang juga relatif tidak kecil di pemerintahan berikutnya,"" katanya. Cek Berita dan Artikel yang lain di Google News",nasional
