Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Kepemilikan Asing di Pasar Obligasi Menipis, Rupiah Tetap Kokoh",2024-08-21T01:41:17.706Z,"Selasa, 13 September 2022 / 11:50 WIB",Reporter: Aris Nurjani | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/kepemilikan-asing-di-pasar-obligasi-menipis-rupiah-tetap-kokoh,"KONTAN.CO.ID - JAKARTA. Dana asing di surat utang negara (SUN) terus turun. Merujuk data Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR), pada 8 September, total kepemilikan investor asing pada Surat Berharga Negara (SBN) sebesar Rp 748,20 triliun. Padahal di akhir Agustus 2022, kepemilikan asing di SBN masih Rp 759,51 triliun. Artinya, hingga 8 September, tercatat outflow sebesar Rp 11,31 triliun. Dengan penurunan kepemilikan asing ini, porsi investor asing di SBN juga turun menjadi 14,94%. Padahal di akhir Agustus 2022 lalu masih 15,24%. Penurunan kepemilikan asing di SBN ini dinilai tidak akan membuat rupiah berfluktuasi. Buktinya, pergerakan rupiah saat ini cenderung stabil dan lebih banyak digerakkan oleh faktor eksternal. Head of Fixed Income Avrist Asset Management Zaki Aulia mengatakan, kepemilikan asing yang mengecil, terutama di pasar obligasi, membuat efeknya ke rupiah tidak sebesar sebelumnya. Baca Juga: Rupiah Spot Dibuka Melemah ke Rp 14.853 Per Dolar AS Pada Hari Ini (13/9) Asal tahu saja, di awal tahun 2020 lalu, kepemilikan asing di SBN masih mencapai 40%. Namun, perlahan tapi pasti, porsi asing di pasar obligasi dalam negeri menipis dan kini tinggal di kisaran 16%-14%, ""Sehingga efek dari terjadinya foreign outflow terhadap rupiah tidak akan sebesar sebelumnya,"" tutur Zaki kepada kontan, Senin (12/9). Pelemahan rupiah yang terjadi saat ini lebih disebabkan karena menguatnya dolar Amerika Serikat (AS) Sejak Federal Reserve melakukan tightening policy dan menaikkan tingkat suku bunga secara agresif, dolar AS menguat terhadap mata uang lainnya, termasuk rupiah. Menurut Zaki, faktor yang dapat membantu penguatan rupiah antara lain kenaikan tingkat suku bunga, inflasi yang terjaga dan inflow dari asing. Kenaikan suku bunga yang dilakukan Bank Indonesia sebesar 25 bps pada pertemuan bulan lalu menjadi sentimen positif terhadap rupiah. ""Dengan menaikkan suku bunga, maka BI memperlebar spread antara tingkat bunga dalam negeri dengan tingkat bunga di luar negeri khususnya Amerika Serikat, dan dapat menjaga terjadinya foreign outflow sehingga stabilitas rupiah menjadi lebih terjaga,"" Imbuhnya. Baca Juga: Menkeu Sri Mulyani Optimistis Otot Rupiah Tetap Kuat, Ini Alasannya Zaki pun memprediksi, rupiah akan bergerak stabil untuk beberapa hari ke depan, seiring investor yang masih akan menunggu rilis data inflasi AS. ""Rupiah pada akhir tahun akan berada di kisaran Rp 15.000 per dolar AS,"" kata dia. Faktor pergerakan rupiah masih akan didominasi oleh faktor eksternal yaitu pergerakan dolar AS, dengan pasar mengantisipasi data inflasi AS dan kebijakan The Fed dalam menaikan suku bunga. Dari sisi domestik, kondisi ekonomi yang masih relatif stabil mampu menjadi menjaga rupiah sehingga tidak terkoreksi terlalu dalam. Cek Berita dan Artikel yang lain di Google News",investasi
"Kepemilikan Asing di SBN Tersisa 15%, LPS Beberkan Dampak Positifnya",2024-08-21T01:41:17.797Z,"Rabu, 17 Agustus 2022 / 15:12 WIB",Reporter: Maizal Walfajri | Editor: Noverius Laoli,https:////keuangan.kontan.co.id/news/kepemilikan-asing-di-sbn-tersisa-15-lps-beberkan-dampak-positifnya,"KONTAN.CO.ID -  JAKARTA. Kepemilikan investor asing terhadap surat berharga negara (SBN) terus susut tersisa berkisar 15%. Menanggapi hal ini, Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa mengatakan,  ada dua sisi yang dapat dilihat dari perkembangan tersebut. Ia bilang, sisi baik dari hal tersebut adalah ketergantungan terhadap dana asing untuk pembangunan semakin kecil, lebih banyak uang yang bersumber dari dalam negeri yang dapat digunakan untuk membiayai pembangunan infrastruktur nasional. ""Keuntungan lainnya adalah stabilitas pasar SBN menjadi lebih mudah dijaga karena kita tidak terlalu terpengaruh lagi oleh pergerakan investor asing di pasar obligasi,"" ujarnya dalam keterangan tertulis. Baca Juga: Minat Investor Naik, Penawaran Masuk dalam Lelang SUN Selasa (16/8) Capai Rp 72,16 T Purbaya menilai dengan jumlah kepemilikan asing yang lebih sedikit, maka akan relatif lebih memudahkan Bank Sentral maupun pemerintah dalam mengendalikan gejolak di pasar obligasi sehingga stabilitas pasar finansial relatif lebih mudah dijaga. Ia membandingkan dengan Jepang, dimana hampir 90% surat berharganya dikuasai oleh domestik. “Jadi jika ada gonjang ganjing di pasar dunia yield government Jepang tetap stabil, dan stabilitas sistem finansial mereka tetap terjaga,” ucapnya. Kemudian terkait risikonya jika kepemilikan asing yang semakin kecil. Ia menjelaskan jika modal asing banyak yang keluar, hal tersebut juga akan membuat stabilitas rupiah menjadi terganggu, dan rupiah akan terkoreksi. Baca Juga: Utang Luar Negeri RI Turun Menjadi US$ 403 Miliar “Namun mereka juga investor yang mencari return. Kalau pertumbuhan ekonomi suatu negara itu kuat, hal itu juga akan menarik investasi di pasar surat utang negara juga. Pertumbuhan ekonomi yang kuat akan mengundang investasi di sektor riil maupun di sektor finansial, sehingga nilai tukar menguat dan yield surat utang negara pun cenderung turun,"" paparnya. Hal tersebut akan menguntungkan investor di pasar surat utang negara.  Jadi, kuncinya harus terus menjaga pertumbuhan dan sustainability dari pertumbuhan ekonomi Indonesia. Cek Berita dan Artikel yang lain di Google News",keuangan
"Memasuki Bulan Kelima, Investor Asing Pangkas Kepemilikan Obligasi Yuan",2024-08-21T01:41:18.172Z,,Premium User Only,https:////insight.kontan.co.id/news/memasuki-bulan-kelima-investor-asing-pangkas-kepemilikan-obligasi-yuan,Premium Content - Not Scraped,insight
Kepemilikan Asing di SBN Meningkat pada Awal Kuartal Kedua,2024-08-21T01:41:18.425Z,"Senin, 11 April 2022 / 19:27 WIB",Reporter: Aris Nurjani | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/kepemilikan-asing-di-sbn-meningkat-pada-awal-kuartal-kedua,"KONTAN.CO.ID - JAKARTA. Kepemilikan asing pada Surat Berharga Negara (SBN) Indonesia meningkat. Berdasakran data Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan (DJPPR), pada periode 31 Maret-7 April 2022, tercatat kepemilikan dana asing masuk di SBN sebesar Rp 8,94 triliun. Sehingga per 7 April, kepemilikan asing di SBN mencapai Rp 857,23 triliun. Head of Fixed Income Bank Negara Indonesia (BNI) Fayadri mengatakan per tanggal 31 Maret 2022, porsi kepemilikan asing pada SBN menyentuh titik terendahnya pada angka 17,57%. ""Namun, sejak tanggal 1 April sampai tanggal 7 April, selama 5 hari berturut-turut investor asing kembali mencatatkan posisi net-buy sehingga porsi kepemilikan asing pada SBN kembali naik dan sudah berada pada angka 17,73%,"" ujar Fayadri kepada Kontan.co.id, Senin (11/4). Hal ini dapat diartikan bahwa mulai adanya peningkatan minat dari investor asing untuk mulai masuk ke SBN meskipun belum terlihat agresif. Baca Juga: Rekor IHSG Bisa Turut Menarik Minat Investor Reksadana Analis PT Kanaka Hita Solvera Raditya Pradana mengatakan karena ekonomi di Indonesia yang stabil membuat para investor asing mulai melirik SBN di Indonesia. Outlook makroekonomi Indonesia saat ini solid, sehingga memberikan rasa aman terhadap investor asing untuk masuk ke SBN. Menurut Fayadri secara historis investor asing memiliki peran yang cukup penting dalam pasar SBN. Walaupun dalam beberapa hari terakhir investor asing sudah mulai mencatatkan beli bersih pada SBN, tapi nominalnya masih sangat kecil. ""Sehingga belum terlihat adanya agresivitas pembelian karena secara umum pasar obligasi masih dibayangi oleh rencana kenaikan suku bunga acuan global dan domestik untuk meredam tekanan inflasi serta dampak dari perang Rusia-Ukraina,"" kata Fayadri. Baca Juga: Ini 7 Seri SUN yang Dilelang Pemerintah Pekan Depan Raditya mengatakan yang terpenting di kondisi saat ini adalah keamanan berinvestasi yang lebih ditekankan oleh investor, baik itu investor asing ataupun lokal. Di sisi lain, yield saat ini menjadi nilai tambah untuk menarik minat investor asing masuk ke SBN selain rasa aman dalam berinvestasi. Sejauh ini, Fayadri melihat aksi beli yang dilakukan investor asing di awal bulan April ini masih belum mampu menggerakkan yield SBN. ""Yield SBN saat ini memang lebih menarik kalau dibanding yield pada akhir tahun lalu, sehingga beberapa investor mulai mencoba untuk masuk,"" ujar Fayadri. Raditya menyebut, katalis positif yang dapat mempengaruhi investor asing masuk ke Indonesia bisa berasal dari pemulihan perekonomian Indonesia dari dampak pandemi covid-19 berjalan baik, kondisi makroekonomi yang solid dan rencana pemerintah mengubah status pandemi menjadi endemi. ""Sementara katalis negatif yang dapat mempengaruhi berasal dari rencana kenaikan suku bunga oleh Bank Indonesia pada semester kedua tahun ini,"" ucap Raditya. Dia mengatakan, yield SBN acuan berpotensi naik ke 7,65%. Cek Berita dan Artikel yang lain di Google News",investasi
Kepemilikan Asing atas Treasury Per Oktober Mencapai Rekor Tertinggi,2024-08-21T01:41:18.614Z,,Premium User Only,https:////insight.kontan.co.id/news/kepemilikan-asing-atas-treasury-per-oktober-mencapai-rekor-tertinggi,Premium Content - Not Scraped,insight
Senat Filipina Loloskan RUU yang Izinkan 100% Kepemilikan Asing di Telekomunikasi,2024-08-21T01:41:18.799Z,,Premium User Only,https:////insight.kontan.co.id/news/senat-filipina-loloskan-ruu-yang-izinkan-100-kepemilikan-asing-di-telekomunikasi,Premium Content - Not Scraped,insight
"Kepemilikan asing di SBN kembali susut, ini penyebabnya",2024-08-21T01:41:18.999Z,"Jumat, 19 November 2021 / 08:50 WIB",Reporter: Hikma Dirgantara | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/kepemilikan-asing-di-sbn-kembali-susut-ini-penyebabnya,"KONTAN.CO.ID - JAKARTA. Tren investor asing yang keluar dari Surat Berharga Negara (SBN) terus berlanjut. Berdasarkan data Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu), pada periode 1-15 November 2021, tercatat investor asing yang menarik dananya keluar dari SBN capai Rp 23,35 triliun. Alhasil, per 15 November, jumlah kepemilikan asing di SBN hanya Rp 925,92 triliun. Secara persentase, porsi asing di SBN susut menjadi 20,71%. Padahal di awal tahun ini, porsi asing masih mencapai 25,23%. Head of Fixed Income Trimegah Asset Management Darma Yudha mengatakan, aksi jual ini memang tidak bisa dihindari seiring adanya tapering dan ekspektasi akan terjadinya stagflasi. Alhasil, investor asing keluar dari emerging market untuk kembali masuk ke pasar obligasi Amerika Serikat (AS) ataupun memegang cash. “Yield US Treasury saja juga bergerak volatil. Jadi, investor asing wait and see terlebih dahulu dan ingin memastikan apakan kenaikan inflasi baru-baru ini hanya sementara atau bersifat struktural yang ditakutkan membuat Federal Reserve (The Fed) menaikkan suku bunga lebih cepat dari perkiraan,” jelas Yudha kepada Kontan.co.id, Kamis (18/11). Baca Juga: Per 16 November 2021, BI sudah beli SBN di pasar perdana sebesar Rp 143,32 triliun Kendati begitu, dia menyoroti investor domestik yang mampu mengisi pasar SBN ketika investor asing berbondong-bondong pergi. Hal ini tercermin dari pergerakan yield SBN acuan 10 tahun yang stabil, meskipun terjadi aksi jual dari investor asing. Apalagi, supply SBN di pasar primer melalui lelang sudah ditutup hingga akhir tahun. Jadi, ketika investor asing menjual SBN di pasar sekunder, para investor domestik yang masih punya likuiditas tinggi siap menyerap supply tersebut, Berdasarkan pengamatan Yudha, secara umum, seri yang dijual investor asing adalah seri-seri menengah panjang. Sementara seri yang pendek atau panjang relatif minim dijual mengingat yield-nya relatif minim terdampak dengan volatilitas yang terjadi saat ini. “Jika melihat trennya, seharusnya capital outflow sudah tidak akan lagi signifikan ya ke depannya. Sisa kepemilikan asing di SBN saat ini dimiliki oleh investor dengan time horizon jangka panjang,” imbuh Yudha. Baca Juga: Penjualan Sukuk Tabungan ST008 secara nasional sudah mencapai Rp 4,89 triliun Namun, untuk menarik investor asing bisa masuk ke SBN lagi, Yudha menyebut salah satu syaratnya adalah penguatan rupiah. Ia meyakini, hal ini akan segera terjadi mengingat data-data ekonomi Indonesia belakangan sudah makin membaik. Apalagi Bank Indonesia juga akomodatif serta punya cadangan devisa yang kuat. Menurutnya, ini akan bisa memberikan kepercayaan bagi para investor bahwa BI menjaga stabilitas rupiah di level saat ini, atau bahkan cenderung menguat. Terlebih, yield SBN Indonesia terlalu seksi untuk diabaikan oleh para investor asing, jadi menurutnya hanya perkara waktu saja sebelum investor asing kembali masuk ke SBN.  Cek Berita dan Artikel yang lain di Google News",investasi
India Berniat Membuka Peluang Kepemilikan Asing Atas Life Insurance Corporation (LIC),2024-08-21T01:41:19.307Z,,Premium User Only,https:////insight.kontan.co.id/news/india-berniat-membuka-peluang-kepemilikan-asing-atas-life-insurance-corporation-lic,Premium Content - Not Scraped,insight
"Laju Pertumbuhan Melambat, Kepemilikan Asing atas Obligasi China Cetak Rekor Baru",2024-08-21T01:41:19.546Z,,Premium User Only,https:////insight.kontan.co.id/news/laju-pertumbuhan-melambat-kepemilikan-asing-atas-obligasi-china-cetak-rekor-baru,Premium Content - Not Scraped,insight
Kepemilikan Obligasi Pemerintah China Oleh Asing Agustus 2021 Rekor Sepanjang Masa,2024-08-21T01:41:19.788Z,,Premium User Only,https:////insight.kontan.co.id/news/kepemilikan-obligasi-pemerintah-china-oleh-asing-agustus-2021-rekor-sepanjang-masa,Premium Content - Not Scraped,insight
