Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Pemerintah Tarik Pinjaman Lebih Banyak, Ekonom: Mungkin untuk Jaga Imbal Hasil SBN",2024-08-20T04:20:09.047Z,"Jumat, 12 Juli 2024 / 14:43 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pemerintah-tarik-pinjaman-lebih-banyak-ekonom-mungkin-untuk-jaga-imbal-hasil-sbn,"KONTAN.CO.ID - JAKARTA. Pemerintah memutuskan untuk meningkatkan penarikan pinjaman dan mengurangi penerbitan surat berharga negara (SBN). Dalam APBN 2024, pinjaman hanya ditargetkan sebesar Rp 18,4 triliun, namun target tersebut naik menjadi Rp 101,3 triliun. Sementara itu, target penerbitan SBN justru turun, dari semula sebesar Rp 666,4 triliun menjadi Rp 451,9 triliun. Ekonom Bank Danamon Hosianna Evalia Situmorang menilai, pemerintah lebih memilih opsi menaikkan pinjaman dan menurunkan penerbitan SBN, kemungkinan karena bunga pinjaman lebih murah dibandingkan dengan pembayaran kupon ke investor pemegang SBN. Baca Juga: Pemerintah Pilih Opsi Tingkatkan Pinjaman dan Kurangi Penerbitkan Surat Utang Disamping itu, ia juga menilai kemungkinan keputusan tersebut dipilih lantaran pemerintah ingin menjaga kestabilan imbal hasil SBN. Sebab lanjutnya, jika penerbitan SBN naik, menjadi salah satu faktor yang menyebabkan imbal hasil SBN menjadi naik. Imbasnya bisa menyebabkan harga obligasi turun, dan akan merugikan para investor. “Jadi alasannya lebih ke oportunitas dan menjaga kestabilan yield SBN,” tutur Ana sapaan akrab Hosianna kepada Kontan, Jumat (12/7). Ia juga menyampaikan, dengan pengurangan penerbitan SBN, harapannya imbal hasil SBN bisa stabil. Hal tersebut juga berkaitan dengan antisipasi dari kenaikan imbal hasil SBN akibat imbal hasil dari Sekuritas Rupiah Bank Indonesia (SRBI) yang tinggi di kisaran 7,3% hingga 7,5%.     Cek Berita dan Artikel yang lain di Google News",nasional
Pemerintah Pilih Opsi Tingkatkan Pinjaman dan Kurangi Penerbitkan Surat Utang,2024-08-20T04:20:09.171Z,"Jumat, 12 Juli 2024 / 14:12 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pemerintah-pilih-opsi-tingkatkan-pinjaman-dan-kurangi-penerbitkan-surat-utang,"KONTAN.CO.ID - JAKARTA. Pemerintah memutuskan untuk meningkatkan penarikan pinjaman dibandingkan dengan menerbitkan surat berharga negara (SBN), sebagai upaya optimalisasi pembiayaan anggaran. Dalam APBN 2024, pinjaman hanya ditargetkan sebesar Rp 18,4 triliun, namun target tersebut naik menjadi Rp 101,3 triliun. sementara itu, target penerbitan SBN justru turun, dari semula sebesar Rp 666,4 triliun menjadi Rp 451,9 triliun. Pinjaman tersebut terdiri dari pinjaman dalam negeri yang semula ditargetkan sekitar Rp 600 miliar, kini naik menjadi Rp 20,1 triliun. Kemudian, pinjaman luar negeri sebelumnya ditargetkan Ro 17,7 triliun kini naik menjadi  Rp 81,2 triliun. Baca Juga: Pemerintah Sudah Tarik Utang Baru Rp 214,7 Triliun di Semester I-2024 Melansir laporan pelaksanaan APBN Semester I 2024 disebutkan, pinjaman luar negeri naik secara signifikan karena pemerintah memanfaatkan opsi fleksibilitas pembiayaan utang, yaitu dengan mengoptimalkan pinjaman program dari ekuivalen US$ 2,0 miliar menjadi US$ 3,0 miliar. “Optimalisasi pinjaman program dilakukan untuk mengendalikan biaya dan risiko utang, mengurangi tekanan pasar keuangan dengan menurunkan target penerbitan SBN, dan menghindari crowding out effect,” tulis laporan tersebut, dikutip pada Jumat (12/7). Untuk diketahui, realisasi penarikan pinjaman pada semester I tahun 2024 telah mencapai Rp 8,5 triliun, yang terdiri dari pinjaman dalam negeri sebesar Rp 1,8 triliun dan pinjaman luar negeri sebesar Rp 6,6 triliun. Dalam penyiapan penarikan pinjaman, pemerintah secara konsisten melakukan koordinasi internal seperti Kementerian Keuangan, Kementerian PPN/Bappenas, Kemenko Perekonomian, Kemenkumham, dan K/L terkait agar penyiapan data pendukung dapat dilaksanakan lebih cepat dan terintegrasi. Baca Juga: Mantap! Cadangan Devisa Indonesia di Juni 2024 Naik Jadi US$ 140,2 Miliar Koordinasi dengan pemberi pinjaman juga dilaksanakan terutama dalam negosiasi, penyiapan dokumen, serta penentuan timing penarikan yang tepat, baik untuk pemerintah maupun pemberi pinjaman. “Dalam pelaksanaan pinjaman kegiatan, Pemerintah senantiasa melakukan pemantauan dan evaluasi atas pelaksanaan kegiatan dan progres penarikannya,” tulis laporan tersebut. Sejalan dengan itu, pemerintah juga berencana meningkatkan penggunaan saldo anggaran lebih (SAL) yang semula hanya dicanangkan sebesar Rp 51,4 triliun, kini meningkat menjadi Rp 151,4 triliun. Cek Berita dan Artikel yang lain di Google News",nasional
Pemerintah Spanyol Tawarkan Pinjaman Tunai Senilai Rp 1.015 Triliun,2024-08-20T04:20:09.593Z,,Premium User Only,https:////insight.kontan.co.id/news/pemerintah-spanyol-tawarkan-pinjaman-tunai-senilai-rp-1015-triliun,Premium Content - Not Scraped,insight
"Ada Penarikan Pinjaman Luar Negeri Pemerintah, Cadev Akhir Tahun 2023 Tambun",2024-08-20T04:20:09.722Z,"Senin, 08 Januari 2024 / 16:48 WIB",Reporter: Bidara Pink | Editor: Handoyo .,https:////nasional.kontan.co.id/news/ada-penarikan-pinjaman-luar-negeri-pemerintah-caddev-akhir-tahun-2023-tambun,"KONTAN.CO.ID - JAKARTA. Ada kenaikan cadangan devisa yang signifikan pada akhir tahun 2023, bila dibandingkan dengan November 2023. Bank Indonesia (BI) mencatat, cadangan devisa pada akhir tahun 2023 sebesar US$ 146,4 miliar atau naik 6,01% bila dibandingkan akhir November 2023 yang sebesar US$ 138,1 miliar. Selain itu, realisasi cadangan devisa pada akhir tahun lalu juga naik bila dibandingkan dengan realisasi cadangan devisa pada akhir tahun 2022 yang sebesar US$ 137,2 miliar. Baca Juga: Cadangan Devisa Akhir Tahun 2023 Tumbuh 6% Menjadi US$ 146,4 miliar Dari laporan BI, kenaikan cadangan devisa tersebut disebabkan oleh berbagai faktor, seperti penerimaan pajak dan jasa, serta penarikan pinjaman luar negeri oleh pemerintah. Kepala Ekonom Bank Permata Josua Pardede mengungkapkan, data sementara realisasi Anggaran Pendapatan dan Belanja Negara (APBN) 2023 mencatat ada peningkatan pinjaman neto. “Mengutip data APBN 2023, ada peningkatan pinjaman neto sebesar Rp 58,3 triliun pada Desember 2023 atau setara dengan US$ 3,8 miliar,” tutur Josua kepada Kontan.co.id, Senin (8/1). Dengan demikian, pinjaman pemerintah tercatat menjadi sebesar Rp 98,2 triliun, atau meningkat dari posisi pada November 2023 yang sebesar Rp 39,9 triliun. “Jadi, hal ini yang menjadi proksi peningkatan cadangan devisa yang signifikan pada akhir tahun 2023,” tambah Josua. Baca Juga: Cadangan Devisa Diprediksi Naik, Rupiah Berpotensi Tertekan Pemilu & Pasar Global Ke depan, Josua yakin tren peningkatan cadangan devisa akan berlanjut pada tahun 2024, terutama di semester II-2024. Kemungkinan ini seiring dengan berakhirnya sikap wait and see dari investor terkait pemilihan umum (Pemilu) 2024 dan terbukanya ruang penurunan suku bunga global. “Situasi tersebut mampu memicu arus masuk baik di penanaman modal asing maupun pasar portofolio,” tandas Josua. Cek Berita dan Artikel yang lain di Google News",nasional
Kemenkeu: Pinjaman Pemerintah Digunakan Membangun Jalan Tol Hingga Rumah Sakit,2024-08-20T04:20:09.833Z,"Kamis, 14 Desember 2023 / 12:32 WIB",Reporter: Siti Masitoh | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/kemenkeu-pinjaman-pemerintah-digunakan-membangun-jalan-tol-hingga-rumah-sakit,"KONTAN.CO.ID – JAKARTA. Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu) menyatakan, pembiayaan utang melalui pinjaman baik dalam negeri maupun luar negeri digunakan untuk hal yang memberikan manfaat bagi masyarakat, seperti pembangunan jalan tol hingga rumah sakit. Direktur Pinjaman dan Hibah, DJPPR Kementerian Keuangan, Dian Lestari, mencontohkan beberapa proyek yang dibiayai dari pinjaman, dan telah memberikan dampak luas bagi masyarakat, di antaranya pembangunan jalan tol Cisumdawu, jalan tol Medan-Kualanamu, jalan tol Solo-Kertosono, pembangunan Pelabuhan Patimban, MRT Jakarta, PLTA Asahan III, RSAU Sutomo Pontianak, dan Pamsimas II. “Kita selalu pastikan bahwa pinjaman itu memberikan manfaat bagi Indonesia, sehingga pembiayaannya dari pinjaman itu mendorong produktivitas atau memberikan multiplier effect yang manfaat ekonominya melebihi cost yang dikeluarkan,” tutur Dian dalam keterangan tertulisnya, Kamis (14/12). Baca Juga: Kemitraan Transisi Energi yang Berkeadilan Dian menyampaikan, pembangunan jalan tol sangat bermanfaat bagi masyarakat karena dapat memperkuat konektivitas antar daerah sehingga akan mempercepat jalur distribusi. Hal ini akan merangsang pertumbuhan perekonomian di daerah-daerah sekitarnya. Adapun Ia menyampaikan, pinjaman yang dilakukan oleh pemerintah karena memang dibutuhkan. Hal ini karena pemerintah tengah menerapkan APBN yang ekspansif untuk meniti jalan menuju negara maju, sehingga ada ruang defisit yang harus ditutup melalui strategi pembiayaan. Adapun saat ini terdapat dua skema yang digunakan, yaitu melalui Surat Berharga Negara (SBN) dan Pinjaman. Berdasarkan data Kemenkeu per 31 Oktober 2023, posisi utang Indonesia mencapai Rp 7.950,52 triliun, atau setara 37,68% dari Produk Domestik Bruto (PDB). Kondisi utang ini masih jauh di bawah batas rasio utang yang diperbolehkan UU No. 1/2003, yaitu 60% dari PDB. “Utang kita juga telah turun bila dibanding posisi Desember 2022 yang mencapai 39,70%,” terangnya. Baca Juga: Memperbesar Portofolio Hijau Ia menambahkan, dari total utang tersebut, SBN menempati urutan pertama sebanyak 89%, lalu Pinjaman 11%. Oleh karena itu, kondisi pinjaman pemerintah dikatakan cukup aman dan terkendali. Lebih lanjut, Kemenkeu sendiri menerapkan standar yang ketat untuk setiap pinjaman, terutama pinjaman dari luar negeri. Untuk hal ini, perlu dibedakan ada dua jenis pinjaman luar negeri, yaitu pinjaman tunai dan pinjaman kegiatan. “Untuk pinjaman tunai, kami selalu mengutamakan sumber dari pemberi pinjaman bilateral atau multilateral, memperhatikan tingkat bunga dan masa tenornya,” terangnya. Kemudian untuk pinjaman kegiatan, lanjut Dian, pihaknya selalu mempertimbangkan aspek perencanaan, kualitas penganggaran, monitoring dan evaluasi, serta tingkat bunga dari pemberi pinjaman. Baca Juga: Rupiah Melemah, Kemenperin Optimalkan Penyerapan Produk Manufaktur dalam Negeri Pihaknya juga menerapkan kriteria layak untuk mempertimbangkan manfaat dari setiap pinjaman proyek, seperti output yang baik, teknologi terkini, persiapan matang, kontrak yang multiyears, dan pengawasan yang ketat. “Sehingga, pembiayaan melalui pinjaman luar negeri dimanfaatkan secara optimal untuk kegiatan prioritas yang memberikan multiplier effect dan memerlukan transfer teknologi, berjangka panjang, dan belum dapat dipenuhi dari sumber-sumber dari dalam negeri dengan tetap mempertimbangkan biaya yang favorable,” imbuhnya. Cek Berita dan Artikel yang lain di Google News",nasional
Pemerintah Mulai Ancang-Ancang Tarik Pinjaman di 2024,2024-08-20T04:20:10.646Z,,Premium User Only,https:////insight.kontan.co.id/news/pemerintah-mulai-ancang-ancang-tarik-pinjaman-di-2024,Premium Content - Not Scraped,insight
"Pemerintah Berencana Tarik Pinjaman Luar Negeri Rp 30,22 Triliun di 2024",2024-08-20T04:20:10.766Z,"Selasa, 13 Juni 2023 / 16:56 WIB",Reporter: Siti Masitoh | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/pemerintah-berencana-tarik-pinjaman-luar-negeri-rp-3022-triliun-di-2024,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana menarik pinjaman luar negeri senilai US$ 2 miliar atau setara Rp 30,22 triliun pada tahun 2024. “Pada 2024 kami akan melakukan pengadaan pinjaman tunai setara US$ 2 miliar atau  Rp 30,22 triliun,” tutur Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto saat melakukan rapat kerja bersama Komisi XI DPR RI, Selasa (13/6). Dia memerinci, penarikan utang tunai ini rencananya akan berasal dari Bank Dunia sebesar US$  701 juta, Asian Development Bank (ADS) US$ 1.035 miliar, Japan International Cooperation Agency (JICA) JPY 300 juta, dan dari Kanada senilai CAD 100 juta. Suminto mengatakan penarikan pinjaman tersebut rencananya akan digunakan untuk 11 program. Terdiri dari pembiayaan dan asuransi risiko bencana hingga reformasi Badan Usaha Milik Negara (BUMN). Baca Juga: Hingga 10 Juni 2023, Realisasi Pemberian Hibah Mencapai Rp 91,92 Miliar Berdasarkan rinciannya, pagu pinjaman tersebut diberikan kepada program pembiayaan dan asuransi risiko bencana sebesar US$ 155 juta, mangrove untuk pesisir sebesar US$ 146 juta, transfer antar pemerintah dan keuangan daerah sebesar US$ 100 juta, pembiayaan program transformasi hijau US$  100 juta. Kemudian akan digunakan untu program gizi tahap II sebesar US$ 100 juta, reformasi jaminan kesehatan nasional US$ 100 juta, dan program mendukung aksi kesehatan esensial untuk transformasi sehat sebesar US$ 35 juta. Selanjutnya, reformasi BUMN sebesar US$ 500 juta, mobilisasi sumber daya domestik US$ 500 juta, program percepatan lingkungan hidup bersih JYP 30.000, dan mempromosikan program inklusi keuangan inovatif 2 CAD 100 juta. Cek Berita dan Artikel yang lain di Google News",nasional
VinFast Cari Pinjaman Pemerintah AS untuk Ekspansi Pabrik,2024-08-20T04:20:11.174Z,"Minggu, 10 April 2022 / 10:58 WIB",Reporter: Adrianus Octaviano | Editor: Anna Suci Perwitasari,https:////internasional.kontan.co.id/news/vinfast-cari-pinjaman-pemerintah-as-untuk-ekspansi-pabrik,"KONTAN.CO.ID - HANOI. Unit mobil perusahaan Vingroup, VinFast, sedang mencoba mencari pembiayaan dari pemerintah Amerika Serikat (AS). Upaya tersebut dilakukan untuk mendukung ekspansi dengan pabrik yang direncanakan dibangun di North Carolina. VinFast telah berjanji untuk menciptakan 7.500 pekerjaan di pabrik yang direncanakan di North Carolina, di mana perusahaan akan membangun SUV VF8 dan VF9 bertenaga baterai. Perusahaan telah mengatakan berencana untuk memulai pembangunan pabrik segera setelah izin diberikan dengan tujuan memulai produksi pada tahun 2024. “Ini juga merupakan salah satu opsi pembiayaan kami, tetapi kami perlu membuktikan kepada mereka bahwa kami memenuhi syarat,” kata Ketua Vingroup Pham Nhat Vuong dikutip dari Reuters, Minggu (11/4). Tak hanya itu, VinFast pada pekan ini juga melaporkan bahwa perusahaan induknya yang berbasis di Singapura telah mengajukan penawaran umum perdana (IPO) dengan regulator sekuritas AS, karena perusahaan tersebut menyiapkan investasi US$ 4 miliar untuk membangun pabrik di Negeri Paman Sam. Baca Juga: Vinfast Vietnam akan Membangun Pabrik Kendaraan Listrik Senilai US$ 2 Miliar di AS VinFast, yang mulai beroperasi pada 2019, bertaruh besar di pasar AS, di mana ia berharap dapat bersaing dengan produsen mobil dan perusahaan rintisan lama dengan dua SUV listrik dan model sewa baterai yang akan mengurangi harga pembelian. Vuong mengatakan, VinFast berkomitmen untuk IPO yang akan membantu membangun pembuat kendaraan listrik sebagai merek global, tetapi menambahkan jika kondisinya tidak tepat, pihaknya bakal menunggu. ""Kami sendiri bertekad untuk mendorong dan berkomitmen untuk IPO ini, tetapi target tertinggi untuk IPO bukanlah pembiayaan tetapi untuk menyiapkan VinFast di pasar global,"" katanya. Pinjaman dari program pinjaman Advanced Technology Vehicles Manufacturing (AVTM) pemerintah AS adalah opsi lain yang sedang dijajaki VinFast, kata Vuong. Ia berencana untuk mulai mengekspor dua kendaraan listrik ke Amerika Serikat akhir tahun ini dari pabrik yang ada di Vietnam.",internasional
"Resolusi Pinjaman, Evergrande Akan Kembalikan Tanah Jaminan ke Pemerintah Guangzhou",2024-08-20T04:20:12.162Z,,Premium User Only,https:////insight.kontan.co.id/news/resolusi-pinjaman-evergrande-akan-kembalikan-tanah-jaminan-ke-pemerintah-guangzhou,Premium Content - Not Scraped,insight
"Penarikan Pinjaman Luar Negeri oleh Pemerintah Tembus Rp 47,3 Triliun",2024-08-20T04:20:12.466Z,,Premium User Only,https:////insight.kontan.co.id/news/penarikan-pinjaman-luar-negeri-oleh-pemerintah-tembus-rp-473-triliun,Premium Content - Not Scraped,insight
