Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Penawaran Masuk Sebesar Rp 56,38 Triliun pada Lelang SUN, Selasa (25/6)",2024-08-21T01:27:41.871Z,"Rabu, 26 Juni 2024 / 15:47 WIB",Reporter: Akmalal Hamdhi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/penawaran-masuk-sebesar-rp-5638-triliun-pada-lelang-sun-selasa-256,"KONTAN.CO.ID – JAKARTA. Pemerintah telah melaksanakan lelang Surat Utang Negara (SUN) pada Selasa, (26/5). Lelang SUN kali ini masih berada dalam target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, total penawaran yang masuk pada lelang SUN tanggal 26 Juni 2024 sebesar Rp 56,38 triliun. Sementara, nominal yang dimenangkan pada lelang SUN kali ini sebesar Rp 23 triliun. Dalam lelang kali ini, terdapat tujuh (7) seri SUN yang ditawarkan yakni SPN03240925, SPN12250612, FR0101, FR0100, FR0098, FR0097 dan FR0102. Seri FR0100 merupakan seri dengan jumlah penawaran masuk tertinggi, sekaligus seri dengan penawaran yang paling banyak dimenangkan. Baca Juga: Pemerintah Targetkan Rp 33 Triliun Pada Lelang Surat Utang Negara, Selasa (11/6) Berikut rincian hasil lelang Surat Utang Negara yang digelar Selasa (25/6). Simak ulasannya.  Cek Berita dan Artikel yang lain di Google News",investasi
"Sun Life Gandeng CIMB Niaga Luncurkan Produk X-Tra Proteksi Tepat, Ini Kelebihannya",2024-08-21T01:27:41.915Z,"Jumat, 07 Juni 2024 / 15:46 WIB",Reporter: Tendi Mahadi | Editor: Tendi Mahadi,https:////keuangan.kontan.co.id/news/sun-life-gandeng-cimb-niaga-luncurkan-produk-x-tra-proteksi-tepat-ini-kelebihannya,"KONTAN.CO.ID - JAKARTA. PT Sun Life Financial Indonesia dan PT Bank CIMB Niaga Tbk melalui kemitraan bancassurance meluncurkan produk asuransi terbaru, yakni X-Tra Proteksi Tepat, yang disesuaikan khusus bagi nasabah CIMB Niaga. Produk ini menjadi jawaban atas kebutuhan generasi muda Indonesia terhadap solusi perlindungan dan pengelolaan finansial yang tepat dengan nilai lebih berupa kepastian premi kembali, manfaat pertanggungan yang berlipat, dan premi yang terjangkau. Kehadiran X-Tra Proteksi Tepat relevan dengan situasi saat ini di mana generasi muda dihadapkan pada beragam tantangan pengelolaan keuangan di tengah meningkatnya gaya hidup konsumerisme dan kurangnya kesadaran berinvestasi untuk masa pensiun. Dalam hal ini, X-Tra Proteksi Tepat dapat menjadi solusi asuransi tradisional dwiguna yang ekonomis untuk generasi muda Indonesia, sehingga dapat merencanakan masa depan finansial yang lebih mapan sejak dini. Baca Juga: CIMB Niaga Syariah Salurkan Program Idul Adha 1445 H, Berbagi Kebaikan untuk Semua Sebagai produk perlindungan, X-Tra Proteksi Tepat juga membantu keluarga Indonesia agar tetap terjaga dalam situasi yang tidak terduga. Produk ini menawarkan berbagai keunggulan, mulai dari proteksi yang terjangkau, pembayaran premi singkat selama 5 tahun dengan pelindungan maksimal hingga 20 tahun, serta fleksibilitas melalui dua pilihan plan pelindungan. Pertama, TEPAT 100 yang membantu perencanaan dana pensiun dan finansial jangka menengah seperti membeli rumah, biaya pendidikan, modal usaha, dengan manfaat meninggal dunia hingga 9,5 kali premi tahunan dan manfaat akhir kontrak hingga 190% total premi yang dibayarkan. Kedua, TEPAT 200 yang membantu memastikan agar keluarga tetap terproteksi dalam situasi yang tidak terduga dengan manfaat meninggal dunia hingga 19 kali premi tahunan dan manfaat akhir kontrak hingga 190% total premi yang dibayarkan. Chief Distribution Officer & Sharia Director Sun Life Indonesia, Danning Wikanti menyatakan pihaknya sangat senang bisa bekerja sama dengan CIMB Niaga dalam menghadirkan X-Tra Proteksi Tepat kepada nasabah. Dia bilang produk ini merupakan pilihan tepat untuk memastikan pelindungan finansial yang komprehensif bagi nasabah CIMB Niaga dari segala usia, pekerjaan, dan total penghasilan melalui fleksibilitas yang dihadirkan. ""Dengan X-Tra Proteksi Tepat, nasabah juga bisa memiliki perencanaan tujuan finansial yang lain, seperti keperluan usaha, perencanaan biaya pendidikan, bahkan untuk memulai perencanaan warisan,” kata dia dalam keterangannya, Jumat (7/6). Dalam konteks kemitraan ini, Danning juga menambahkan kerja sama ini adalah langkah konkret Sun Life dalam memperluas akses masyarakat Indonesia terhadap solusi pelindungan dan pengelolaan finansial yang sesuai dengan kebutuhannya. ""Kami percaya bahwa dengan produk X-Tra Proteksi Tepat, nasabah CIMB Niaga dapat merencanakan masa depan finansialnya dengan lebih baik dan mendapatkan ketenangan pikiran,"" ujarnya. Baca Juga: AAJI Optimistis Tertanggung Kumpulan dan Perorangan Tetap Bakal Bertumbuh Sementara itu, Head of Preferred, Wealth and Insurance Business CIMB Niaga, Ariteguh Arief menyambut baik kehadiran X-Tra Proteksi Tepat sebagai wujud dari kemitraan yang berkelanjutan. “Tidak ada yang lebih penting bagi kami di CIMB Niaga selain memastikan kesejahteraan finansial nasabah. Karena itu, kami senang dapat menghadirkan produk asuransi terbaru, X-Tra Proteksi Tepat, yang kami percaya akan memberikan pelindungan finansial yang penting bagi para nasabah,"" paparnya. ""Produk ini merupakan pilihan yang tepat untuk melindungi masa depan finansial Anda dan keluarga, sesuai dengan komitmen kami untuk memberikan layanan terbaik dan solusi yang relevan bagi kebutuhan nasabah #YangUtama,” kata dia. Cek Berita dan Artikel yang lain di Google News",keuangan
"Dana Kelolaan BPJS Ketenagakerjaan Capai Rp 735 Triliun, 70% Ditempatkan di SUN",2024-08-21T01:27:42.110Z,"Senin, 03 Juni 2024 / 18:46 WIB",Reporter: Nova Betriani Sinambela | Editor: Noverius Laoli,https:////nasional.kontan.co.id/news/dana-kelolaan-bpjs-ketenagakerjaan-capai-rp-735-triliun-70-ditempatkan-di-sun,"KONTAN.CO.ID - JAKARTA. BPJS Ketenagakerjaan mencatat dana kelolaan yang berhasil dihimpun mencapai Rp 735 triliun hingga April 2023. Adapun nilai tersebut meningkat 12% dibandingkan periode yang sama tahun lalu. ""Saat ini kami telah melindungi 40 juta pekerja dengan total dana kelolaan mencapai Rp 735 triliun,"" kata Direktur Keuangan BPJS Ketenagakerjaan, Asep Rahmat Suwandha di Jakarta, Senin (3/6). Adapun nilai total dana kelolaan itu meliputi program JHT yang sebesar Rp 463.41 triliun, program JKK sebanyak Rp 61,87 triliun, program JKM sebesar Rp 16,54 Triliun, program JP sebesar Rp 167,74 Triliun, kemudian program JKP mencapai Rp13,35 triliun, dan yang terakhir dari program BPJS sebanyak Rp13,08 triliun. Baca Juga: Tapera Beda dengan Program Manfaat Pembiayaan Perumahan BPJS Ketenagakerjaan Sementara terkait penempatannya, sebagian besar dananya dialokasikan ke instrumen investasi Surat Utang Negara (SUN). Selain SUN, ditempatkan juga di saham, reksadana, properti, hingga di deposito untuk kepentingan likuiditas.  ""Proporsi SUN saat ini kita sudah hampir mencapai 70% dari dana kelolaan kita,” lanjut Asep. Untuk hasil investasi, Asep menuturkan bahwa BPJS Ketenagakerjaan berhasil membukukan hasil investasi sebesar Rp16,34 triliun per April 2024. Sayangnya ia tidak menjelaskan akan digunakan untuk apa saja, namun ia menegaskan hasilnya akan tetap dikembalikan kepada peserta. Baca Juga: Hati-hati! Dewan Pengawas Ingatkan Potensi Defisit BPJS Kesehatan di 2024 ""Tentunnya seluruh hasil investasi akan dikembalikan kepada peserta dalam bentuk manfaat,"" tegas Asep. Ke depannya, kata Asep, BPJS Ketenagakerjaan memiliki target untuk total dana kelola mencapai Rp 1.001 triliun pada 2026 dengan jumlah peserta menjadi 70 juta orang. Cek Berita dan Artikel yang lain di Google News",nasional
Sun Life dan Beyond Sport Gelar Program Hoops + Health di Depok,2024-08-21T01:27:42.425Z,,,https:////lifestyle.kontan.co.id/news/sun-life-dan-beyond-sport-gelar-program-hoops-health-di-depok,,lifestyle
"Penawaran Masuk Sebesar Rp 47,11 Triliun pada Lelang SUN, Selasa (28/5)",2024-08-21T01:27:42.556Z,"Selasa, 28 Mei 2024 / 22:32 WIB",Reporter: Akmalal Hamdhi | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/penawaran-masuk-sebesar-rp-4711-triliun-pada-lelang-sun-selasa-285,"KONTAN.CO.ID – JAKARTA. Pemerintah telah melaksanakan lelang Surat Utang Negara (SUN) pada Selasa, (28/5). Lelang SUN kali ini masih berada dalam target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, total penawaran yang masuk pada lelang SUN tanggal 28 Mei 2024 sebesar Rp 47,11 triliun. Sementara, nominal yang dimenangkan pada lelang SUN kali ini sebesar Rp 22 triliun. Baca Juga: Pemerintah Lelang Delapan Seri SUN Pada Selasa (28/5), Ini Daftar Lengkapnya Dalam lelang kali ini, terdapat delapan (8) seri SUN yang ditawarkan yakni SPN03240828, SPN12250529, FR0101, FRSDG001, FR0100, FR0098, FR0097, dan FR0102. Seri FR0101 merupakan seri dengan jumlah penawaran masuk tertinggi, sementara seri dengan penawaran yang paling banyak dimenangkan pada seri FR0100. Adapun berikut rincian hasil lelang Surat Utang Negara yang digelar Selasa (28/5). Simak ulasannya. 1.     SPN03240828 akan jatuh tempo pada 28 Agustus 2024 dengan tingkat imbalan diskonto. Seri ini mencatatkan penawaran masuk sebesar Rp 2,46 triliun dengan jumlah nominal dimenangkan Rp 0,25 triliun, disertai yield rata-rata tertimbang yang dimenangkan sebesar 6,56%. 2.     SPN12250529 akan jatuh tempo pada 29 Mei 2025 dengan tingkat imbalan diskonto. Seri ini mencatatkan penawaran masuk Rp 4,19 triliun dengan jumlah nominal dimenangkan Rp 0,40 triliiun, disertai yield rata-rata tertimbang yang dimenangkan sebesar 6,79%. Baca Juga: Pemerintah Lelang Delapan Seri SUN Pada Selasa (28/5) Target Indikatif Rp 33 Triliun 3.     FR0101 akan jatuh tempo pada 15 April 2029 dengan tingkat imbalan 6,87%. Seri ini mencatatkan penawaran masuk sebesar Rp14,73 triliun dengan jumlah nominal dimenangkan Rp 6,95 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,88%. 4.     FRSDG001 akan jatuh tempo pada 15 Oktober 2030 dengan tingkat imbalan sebesar 7,37%. Seri ini mencatatkan penawaran masuk sebesar Rp 1,62 triliun dengan jumlah nominal dimenangkan sebesar Rp 0,85 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,85%. 5.     FR0100 akan jatuh tempo pada 15 Februari 2034 dengan tingkat imbalan sebesar 6,62%. Seri ini mencatatkan penawaran masuk sebesar Rp 14,08 triliun dengan jumlah nominal dimenangkan sebesar Rp 9,40 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,91%. Baca Juga: Imbal Hasil Tak Kalah Menarik, Dana Asing Mulai Masuk Lagi ke SBN 6.     FR0098 akan jatuh tempo pada 15 Juni 2038 dengan tingkat imbalan sebesar 7,12%. Seri ini mencatatkan penawaran masuk sebesar Rp 3,29 triliun dengan jumlah nominal dimenangkan sebesar Rp 0,75 triliun disertai yield rata-rata tertimbang yang dimenangkan 6,97%. 7.     FR0097 akan jatuh tempo pada 15 Juni 2043 dengan tingkat imbalan sebesar 7,12%. Seri ini mencatatkan penawaran masuk sebesar Rp 3,98 triliun dengan jumlah nominal dimenangkan sebesar Rp 2,05 triliun disertai yield rata-rata tertimbang yang dimenangkan 7,01%. 8.       FR0102 akan jatuh tempo pada 15 Juli 2054 dengan tingkat imbalan 6,87%. Seri ini mencatatkan penawaran masuk sebesar Rp 2,73 triliun dengan jumlah nominal dimenangkan sebesar Rp 1,35 triliun disertai yield rata-rata tertimbang yang dimenangkan sebesar 7,02%. Cek Berita dan Artikel yang lain di Google News",investasi
"Pemerintah Lelang Delapan Seri SUN Pada Selasa (28/5), Ini Daftar Lengkapnya",2024-08-21T01:27:42.735Z,"Selasa, 28 Mei 2024 / 07:00 WIB",Reporter: Akmalal Hamdhi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/pemerintah-lelang-delapan-seri-sun-pada-selasa-285-ini-daftar-lengkapnya,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (28/5). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat delapan seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari delapan seri SUN yang akan ditawarkan pada lelang Selasa (28/5): Baca Juga: Imbal Hasil Tak Kalah Menarik, Dana Asing Mulai Masuk Lagi ke SBN 1. SPN03240828 (New Issuance) akan jatuh tempo pada tanggal 28 Agustus 2024 dengan tingkat imbalan diskonto 2. SPN12250529 (New Issuance)) akan jatuh tempo pada tanggal 29 Mei 2025 dengan tingkat imbalan diskonto 3. FR0101 akan jatuh tempo pada tanggal 15 April 2029 dengan tingkat imbalan sebesar 6,87% 4. FRSDG001 akan jatuh tempo pada tanggal 15 Oktober 2030 dengan tingkat imbalan sebesar 7,37% 5. FR0100 akan jatuh tempo pada tanggal 15 Februari 2034 dengan tingkat imbalan sebesar 6,62% 6. FR0098 akan jatuh tempo pada tanggal 15 Juni 2038 dengan tingkat imbalan sebesar 7,12% 7. FR0097 akan jatuh tempo pada tanggal 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 8. FR0102 akan jatuh tempo pada tanggal 15 Juli 2054 dengan tingkat imbalan sebesar 6,87% Pada lelang ini kembali ditawarkan Seri FRSDG001 yang merupakan seri Sustainable Development Goals (SDGs) Bond pertama yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri SDGs Bond melalui lelang ini melengkapi program penerbitan Sustainable Development Goals (SDGs) Bond yang sudah dilakukan di pasar global tahun 2021. Baca Juga: Lelang SUN, Selasa (30/4), Penawaran Masuk Mencapai Rp 50,2 Triliun Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Lelang SBN akan dibuka pada hari Selasa, tanggal 28 Mei 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 30 Mei 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Cek Berita dan Artikel yang lain di Google News",investasi
Pemerintah Lelang Delapan Seri SUN Pada Selasa (28/5) Target Indikatif Rp 33 Triliun,2024-08-21T01:27:42.928Z,"Senin, 27 Mei 2024 / 12:27 WIB",Reporter: Akmalal Hamdhi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/pemerintah-lelang-delapan-seri-sun-pada-selasa-285-target-indikatif-rp-33-triliun,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (28/5). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat delapan seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari delapan seri SUN yang akan ditawarkan pada lelang Selasa (28/5): Baca Juga: Imbal Hasil Tak Kalah Menarik, Dana Asing Mulai Masuk Lagi ke SBN 1. SPN03240828 (New Issuance) akan jatuh tempo pada tanggal 28 Agustus 2024 dengan tingkat imbalan diskonto 2. SPN12250529 (New Issuance)) akan jatuh tempo pada tanggal 29 Mei 2025 dengan tingkat imbalan diskonto 3. FR0101 akan jatuh tempo pada tanggal 15 April 2029 dengan tingkat imbalan sebesar 6,87% 4. FRSDG001 akan jatuh tempo pada tanggal 15 Oktober 2030 dengan tingkat imbalan sebesar 7,37% 5. FR0100 akan jatuh tempo pada tanggal 15 Februari 2034 dengan tingkat imbalan sebesar 6,62% 6. FR0098 akan jatuh tempo pada tanggal 15 Juni 2038 dengan tingkat imbalan sebesar 7,12% 7. FR0097 akan jatuh tempo pada tanggal 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 8. FR0102 akan jatuh tempo pada tanggal 15 Juli 2054 dengan tingkat imbalan sebesar 6,87% Pada lelang ini kembali ditawarkan Seri FRSDG001 yang merupakan seri Sustainable Development Goals (SDGs) Bond pertama yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri SDGs Bond melalui lelang ini melengkapi program penerbitan Sustainable Development Goals (SDGs) Bond yang sudah dilakukan di pasar global tahun 2021. Baca Juga: Lelang SUN, Selasa (30/4), Penawaran Masuk Mencapai Rp 50,2 Triliun Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Lelang SBN akan dibuka pada hari Selasa, tanggal 28 Mei 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 30 Mei 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Cek Berita dan Artikel yang lain di Google News",investasi
Simak Prospek Pasar Obligasi Saat Yield SUN Tenor Acuan Kembali di Bawah 7%,2024-08-21T01:27:43.145Z,"Selasa, 21 Mei 2024 / 14:42 WIB",Reporter: Sugeng Adji Soenarso | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/simak-prospek-pasar-obligasi-saat-yield-sun-tenor-acuan-kembali-di-bawah-7,"KONTAN.CO.ID - JAKARTA. Meski masih bergerak volatile, imbal hasil (yield) Surat Utang Negara (SUN) tenor acuan 10 tahun kembali berada di bawah 7%. Chief Economist Pefindo Suhindarto mengatakan, perbaikan pada yield memberikan efek positif terhadap penerbitan karena membuka peluang untuk menurunkan kupon. Sehingga, perusahaan berpotensi untuk mengurangi beban keuangan dengan menerbitkan surat utang pada biaya yang lebih murah. Perbaikan yield SUN juga membantu mendorong turun yield obligasi korporasi. Di mana, yield obligasi tenor 3 tahun turun cukup dalam di pekan lalu. Penurunan relatif seragam untuk masing-masing peringkat. Di mana, yield untuk obligasi dengan peringkat AAA turun sebesar 23bps menjadi 7,394%, lalu yield obligasi untuk rating AA turun 24bps menjadi 7,933%. Sementara yield obligasi untuk perusahaan dengan rating A dan BBB, masing-masing turun 26 bps dan 24 bps menjadi 9,661% dan 11,317%. Baca Juga: Meski Masih Volatile, Yield SUN Acuan 10 Tahun Kembali ke Bawah 7% ""Selain penurunan tajam pada yield benchmark, penurunan premi juga menjadi faktor lainnya. Adapun, penurunan premi di pekan lalu berkisar antara 3bps hingga 6bps,"" ujarnya kepada Kontan.co.id, Senin (20/5). Sejauh ini, kata Darto, berdasarkan yang telah direalisasikan hingga April 2024, ia melihat penerbitan surat utang masih relatif terjaga cukup baik. Total penerbitan selama Januari-April 2024 mencapai Rp 39,02 triliun. Meski baru sekitar sepertiga dari yang direalisasikan selama 2023, namun nominal tersebut sedikit lebih tinggi daripada yang direalisasikan pada periode yang sama tahun sebelumnya sebesar Rp 34,97 triliun. Cek Berita dan Artikel yang lain di Google News",investasi
"Kenali Revenge Porn, Kasus Pornografi di Dokumenter Burning Sun",2024-08-21T01:27:43.388Z,"Selasa, 21 Mei 2024 | 07:00 WIB","Christ Penthatesia, Christ Penthatesia",https:////momsmoney.kontan.co.id/news/kenali-revenge-porn-kasus-pornografi-di-dokumenter-burning-sun-1,"MOMSMONEY.ID - Jadi salah satu kasus kriminal mencuat bersama dokumenter Burning Sun, simak beberapa penjelasan singkat tentang revenge porn dan dampaknya bagi korban. Istilah revenge porn merupakan istilah yang muncul dalam dokumenter skandal besar Korea, Burning Sun. Aksi kejahatan kriminal online ini jadi perhatian sendiri, lantaran sudah banyak memakan korban. Lalu apa sebenarnya pengertian dari revenge porn? Bagaimana aksi tersebut bisa terjadi? Dan, adakah dampak bagi korbannya? Simak rangkuman Momsmoney berikut ini. Baca Juga: Bukan Cuma Ketagihan, Ini 4 Efek Samping Sering Nonton Film Porno Secara harfiah, menurut laman Gov UK, revenge porn diartikan sebagai tindakan penyebaran konten seksual yang bersifat privat secara digital dengan maksud dan tujuan tertentu. Tak jauh beda, Komnas Anti Kekerasan terhadap pPerempuan juga menjelaskan revenge porn sebagai tindakan penyebaran konten privat digital dengan tujuan atau motif balas dendam. Penyebaran konten privat yang dimaksud bisa dalam rupa foto atau video seksual dan disebar tanpa ada persetujuan dari orang yang ada di dalam foto atau video tersebut. Motif terbanyak dari tindakan kriminal ini adalah karena ingin balas dendam pada mantan pasangan yang tak jarang juga diikuti dengan ancaman. Baca Juga: 6 Tanda Anda dan Pasangan Ada di Hubungan Sehat, Salah Satunya Mau Berkompromi Sedangkan motif lain seperti cemburu dan rasa tak terima juga menjadi penyebab mengapa seseorang nekat melakukan aksi revenge porn. Tujuannya adalah karena ingin mempemalukan, mengintimidasi, dan melecehkan orang yang ada dalam foto atau video. Revenge porn sendiri bisa menyerang laki-laki dan perempuan juga, loh, yang menyebabkan beberapa dampak pada korbannya. Laman Help Guide menyatakan, korban revenge porn memiliki kemungkinan mengalami dampak pada kehidupan sosial dan juga kehidupan pribadinya. Beberapa dampak atau efek yang mungkin dirasakan oleh korban revenge porn adalah, kecemasan, depresi, trauma, hingga bahkan harus kehilangan reputasinya. Baca Juga: 8 Arti Warna Aura dari Tubuh Ini Jelaskan Kepribadian Anda lo Tak hanya itu, biasanya korban revenge porn juga mengalami dampak lain seperti merasa rendah diri, mengisolasi diri, hingga merasa berkecil hati. Ada beberapa cara untuk menghadapi revenge porn bagi korbannya. Cobalah untuk memperbaiki sistem keamanan pada akun sosial media. Jangan lupa juga untuk menyimpan bukti jika masih memilikinya yang bisa digunakan sebagai laporan pada pihak berwajib. Setelah itu, cobalah minta perlindungan pada komisi perlindungan agar bisa mendapat perlindungan hukum sebagai korban revenge porn. Itulah tadi penjelasan singkat tentang apa itu revenge porn, dampak, dan bagaimana cara untuk mengatasinya. Jika ingin tahu lebih jelas tentang kasus revenge porn di Burning Sun, cek link ini: https://www.youtube.com/watch?v=9EEp1q_iMYc&ab_channel=BBCWorldService Tetap berhati-hati dalam bermain sosial media, ya. Cek Berita dan Artikel yang lain di Google News",momsmoney.id
"Yield SUN Tenor 10 Tahun Kembali Ke Bawah 7%, Intip Prospek Pasar Obligasi",2024-08-21T01:27:43.571Z,"Senin, 20 Mei 2024 / 20:45 WIB",Reporter: Sugeng Adji Soenarso | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/yield-sun-tenor-10-tahun-kembali-ke-bawah-7-intip-prospek-pasar-obligasi,"KONTAN.CO.ID - JAKARTA. Meski masih bergerak volatile, imbal hasil (yield) Surat Utang Negara (SUN) tenor acuan 10 tahun kembali berada di bawah 7%. Chief Economist Pefindo Suhindarto mengatakan, perbaikan pada yield memberikan efek positif terhadap penerbitan karena membuka peluang untuk menurunkan kupon. Sehingga, perusahaan berpotensi untuk mengurangi beban keuangan dengan menerbitkan surat utang pada biaya yang lebih murah. Perbaikan yield SUN juga membantu mendorong turun yield obligasi korporasi. Di mana, yield obligasi tenor 3 tahun turun cukup dalam di pekan lalu. Penurunan relatif seragam untuk masing-masing peringkat. Di mana, yield untuk obligasi dengan peringkat AAA turun sebesar 23bps menjadi 7,394%, lalu yield obligasi untuk rating AA turun 24bps menjadi 7,933%. Sementara yield obligasi untuk perusahaan dengan rating A dan BBB, masing-masing turun 26 bps dan 24 bps menjadi 9,661% dan 11,317%. Baca Juga: Meski Masih Volatile, Yield SUN Acuan 10 Tahun Kembali ke Bawah 7% ""Selain penurunan tajam pada yield benchmark, penurunan premi juga menjadi faktor lainnya. Adapun, penurunan premi di pekan lalu berkisar antara 3bps hingga 6bps,"" ujarnya kepada Kontan.co.id, Senin (20/5). Sejauh ini, kata Darto, berdasarkan yang telah direalisasikan hingga April 2024, ia melihat penerbitan surat utang masih relatif terjaga cukup baik. Total penerbitan selama Januari-April 2024 mencapai Rp 39,02 triliun. Meski baru sekitar sepertiga dari yang direalisasikan selama 2023, namun nominal tersebut sedikit lebih tinggi daripada yang direalisasikan pada periode yang sama tahun sebelumnya sebesar Rp 34,97 triliun. Cek Berita dan Artikel yang lain di Google News",investasi
