Title,Scrapping Date,Article Date,Author,Link,Content,Category
Reksadana dan Surat Berharga Negara Bisa Jadi Pilihan Investasi Bagi Pemula,2024-08-21T01:12:46.114Z,"Kamis, 03 Februari 2022 / 22:19 WIB",Reporter: Sugeng Adji Soenarso | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/reksadana-dan-surat-berharga-negara-bisa-jadi-pilihan-investasi-bagi-pemula,"KONTAN.CO.ID -  JAKARTA. Perayaan Tahun Baru Imlek 2573 dinilai bisa menjadi kesempatan generasi muda untuk berinvestasi. Lead PR & Communication Bibit.id William mengatakan momen Tahun Baru Imlek saat anak-anak muda mendapatkan angpao, berinvestasi adalah pilihan yang sangat bijaksana. ""Berinvestasi disarankan dengan cara-cara yang tepat di produk investasi yang tepat melalui platform yang telah mendapatkan legalitas dari Otoritas Jasa Keuangan [OJK],"" kata William dalam siaran pers, Kamis (3/2). Dia menilai reksadana bisa menjadi pilihan untuk pemula untuk berinvestasi. Menurutnya, ada beberapa alasan mengapa para investor pemula perlu mempertimbangkan untuk berinvestasi reksadana. Baca Juga: Suku Bunga Acuan Belum Naik, Korporasi Kompak Terbitkan Surat Utang di Awal Februari Pertama, pengelolaan investasi reksadana dilakukan oleh manajer investasi yang diseleksi berdasarkan profesionalitas dan rekam jejak yang baik. Kedua, keuntungan dari investasi reksadana tidak dikenakan pajak. Ketiga, investasi reksadana dapat langsung dilakukan di aplikasi Bibit dengan sederhana karena pembukaan rekening hanya perlu beberapa menit dan prosesnya 100% online. Di sisi lain, Bibit yang dikenal sebagai aplikasi reksa dana untuk pemula juga telah ditunjuk oleh Kementerian Keuangan Republik Indonesia pada awal 2022 sebagai Mitra Distribusi penjualan Surat Berharga Negara (SBN). Menurutnya, berinvestasi di SBN dapat menjadi salah satu alternatif investasi yang cukup menguntungkan. Baca Juga: Penyebaran Kasus Covid-19 Jadi Faktor Penentu Kinerja Reksadana di Februari",investasi
Surat Berharga Negara (SBN) Dilanda Aksi Jual Bank dan Asing,2024-08-21T01:12:46.424Z,,Premium User Only,https:////insight.kontan.co.id/news/surat-berharga-negara-sbn-dilanda-aksi-jual-bank-dan-asing,Premium Content - Not Scraped,insight
Bank parkirkan dana ke surat berharga negara di tengah melimpahnya likuiditas,2024-08-21T01:12:46.752Z,"Senin, 22 November 2021 / 06:30 WIB",Reporter: Ferrika Sari | Editor: Noverius Laoli,https:////newssetup.kontan.co.id/news/bank-parkirkan-dana-ke-surat-berharga-negara-di-tengah-melimpahnya-likuiditas,"KONTAN.CO.ID -  JAKARTA. Di tengah likuiditas yang melimpah, bank memilih memarkirkan dananya ke surat berharga. Hal ini sebagai strategi bank untuk mengoptimalkan simpanan nasabah ketika penyaluran kredit masih rendah. PT Bank Tabungan Negara (Persero) Tbk (BBTN) misalnya, mengambil momen ini untuk menekan rasio dana mahal agar beban dana (cost of fund) bisa turun. Salah satunya, dengan memarkirkan dana pihak ketiga (DPK) ke surat berharga negara (SBN). ""Kelebihan likuiditas kami tempatkan di SBN yang likuid, sehingga bisa siap setiap saat jika dikonversi untuk pembayaran kredit,"" kata Direktur Finance, Planning, & Treasury Bank BTN, Nofry Rony Poetra, pada Jumat (19/11). Hingga September 2021, rasio pinjaman terhadap simpanan (LDR) Bank BTN mencapai 92,79%. Dengan rasio likuiditas yang kuat, bank pelat merah ini akan jaga LDR di level 92% - 95% hingga akhir tahun. Baca Juga: BTN akan terbitkan EB-SP dan obligasi tahun depan, bidik investor ritel Nofry memperkirakan, likuiditas akan mulai berkurang karena jumlah penyaluran kredit bertambah seiring membaiknya kondisi perekonomian. Hal ini terlihat dari peningkatan kredit BTN sebesar 6,03% year on year (yoy) menjadi Rp 270,27 triliun pada September 2021. Tak hanya Bank BTN, strategi penempatan dana nasabah ke obligasi juga diikuti  PT Bank Panin Tbk. Namun bank komersil ini tak hanya memarkirkan dananya ke obligasi pemerintah, tapi juga obligasi korporasi yang memberikan marjin menarik. Selain itu, Bank Panin juga meningkatkan permintaan kredit sebagai salah satu strategi untuk mengelola likuiditas yang berlebih agar beban tetap terjaga. Melalui strategi itu, Presiden Direktur Bank Panin Herwidayatmo berharap, kondisi ekonomi membaik sehingga permintaan kredit meningkat. ""Untuk itu, Panin telah mempersiapkan semua kantor cabang agar kembali siap meningkatkan portofolio kredit,"" terang Herwidayatmo. Baca Juga: Permintaan kredit perbankan diprediksi akan terus naik, ini pendorongnya",newssetup
"Likuiditas melimpah, bank parkirkan dana ke surat berharga negara",2024-08-21T01:12:46.846Z,"Minggu, 21 November 2021 / 18:08 WIB",Reporter: Ferrika Sari | Editor: Noverius Laoli,https:////keuangan.kontan.co.id/news/likuiditas-melimpah-bank-parkirkan-dana-ke-surat-berharga-negara,"KONTAN.CO.ID -  JAKARTA. Di tengah likuiditas yang melimpah, bank memilih memarkirkan dananya ke surat berharga. Hal ini sebagai strategi bank untuk mengoptimalkan simpanan nasabah ketika penyaluran kredit masih rendah. PT Bank Tabungan Negara (Persero) Tbk (BBTN) misalnya, mengambil momen ini untuk menekan rasio dana mahal (CASA) agar beban dana (cost of fund) bisa turun. Salah satunya, dengan memarkirkan dana pihak ketiga (DPK) ke surat berharga negara (SBN). ""Kelebihan likuiditas kami tempatkan di SBN yang likuid, sehingga bisa siap setiap saat jika dikonversi untuk pembayaran kredit,"" kata Direktur Finance, Planning, & Treasury Bank BTN, Nofry Rony Poetra, pada Jumat (19/11). Hingga September 2021, rasio pinjaman terhadap simpanan (LDR) Bank BTN mencapai 92,79%. Dengan rasio likuiditas yang kuat, bank pelat merah ini akan jaga LDR di level 92% - 95% hingga akhir tahun. Baca Juga: BTN akan terbitkan EB-SP dan obligasi tahun depan, bidik investor ritel Nofry memperkirakan, likuiditas akan mulai berkurang karena jumlah penyaluran kredit bertambah seiring membaiknya kondisi perekonomian. Hal ini terlihat dari peningkatan kredit BTN sebesar 6,03% year on year (yoy) menjadi Rp 270,27 triliun pada September 2021. Tak hanya Bank BTN, strategi penempatan dana nasabah ke obligasi juga diikuti  PT Bank Panin Tbk. Namun bank komersil ini tak hanya memarkirkan dananya ke obligasi pemerintah, tapi juga obligasi korporasi yang memberikan marjin menarik. Selain itu, Bank Panin juga meningkatkan permintaan kredit sebagai salah satu strategi untuk mengelola likuiditas yang berlebih agar beban tetap terjaga. Melalui strategi itu, Presiden Direktur Bank Panin Herwidayatmo berharap, kondisi ekonomi membaik sehingga permintaan kredit meningkat. ""Untuk itu, Panin telah mempersiapkan semua kantor cabang agar kembali siap meningkatkan portofolio kredit,"" terang Herwidayatmo. Baca Juga: Permintaan kredit perbankan diprediksi akan terus naik, ini pendorongnya",keuangan
"Hasil lelang Surat Berharga Syariah Negara (SBSN) hari ini, Selasa (19/10)",2024-08-21T01:12:47.124Z,"Selasa, 19 Oktober 2021 / 16:13 WIB",Reporter: Hikma Dirgantara | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/hasil-lelang-surat-berharga-syariah-negara-sbsn-hari-ini-selasa-1910,"KONTAN.CO.ID -  JAKARTA. Pemerintah melalui Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan menggelar lelang Surat Berharga Syariah Negara (SBSN) pada hari ini, Selasa (19/10). Pada lelang kali ini, jumlah penawaran yang masuk mengalami kenaikan dibanding lelang SBSN terakhir. Berdasarkan data DJPPR, total penawaran yang masuk sebesar pada lelang kali ini mencapai sebesar Rp 53,42 triliun. Jumlah ini naik dibandingkan lelang SBSN yang digelar sebelumnya, yakni Selasa (5/10), di mana penawaran yang masuk mencapai Rp 46,07 triliun. Dari total penawaran yang masuk, pemerintah menyerap sebanyak Rp 5 triliun pada lelang kali ini. Jumlah ini sesuai dengan target indikatif yang ditetapkan pemerintah. Baca Juga: Penawaran masuk pada lelang sukuk Selasa (19/10) diproyeksi mencapai Rp 40 triliun Dalam lelang SBSN kali ini, seri PBS029 yang akan jatuh tempo pada 15 Maret 2034 menjadi seri yang paling banyak diburu investor dengan jumlah penawaran masuk hingga Rp 14,475 triliun. Namun, seri PBS 031 yang jatuh tempo pada 15 Juli 2024 menjadi seri yang paling banyak dimenangkan dengan nominal yang diserap pemerintah mencapai Rp 1,4 triliun, dengan yield rata-rata yang dimenangkan sebesar 4,08%. Berikut besaran rincian serapan masing-masing seri sekaligus besaran yield rata-rata tertimbangnya: 1. Seri SPN-S 06042022 yang jatuh tempo pada 6 APril 2022. Seri ini mendapatkan nilai penawaran Rp 9,01 triliun. Pemerintah menyerap sebanyak Rp 800 miliar dengan yield rata-rata yang dimenangkan 2,76%. Baca Juga: Pemerintah akan gelar lelang sukuk pada Selasa (19/10), target indikatif Rp 5 triliun",investasi
"Tak bisa optimalkan kredit, bank memarkir dana di surat berharga negara (SBN)",2024-08-21T01:12:47.168Z,"Jumat, 18 Desember 2020 / 06:15 WIB",Reporter: Laurensius Marshall Sautlan Sitanggang | Editor: Wahyu T.Rahmawati,https:////keuangan.kontan.co.id/news/tak-bisa-optimalkan-kredit-bank-memarkir-dana-di-surat-berharga-negara-sbn,"KONTAN.CO.ID - JAKARTA. Perkembangan kredit perbankan terus mengalami kontraksi. Terbaru, Bank Indonesia mengumumkan per November 2020 kredit perbankan turun sebesar 1,39% secara year on year (yoy). Kontraksi itu melanjutkan perlambatan di bulan sebelumnya yang juga minus 0,47% yoy. Bank Sentral memandang bahwa rendahnya pertumbuhan kredit lebih disebabkan oleh sisi permintaan dari dunia usaha dan juga adanya persepsi risiko dari sisi penawaran perbankan. Melihat kondisi itu, perbankan pun mau tidak mau harus mengalokasikan sebagian likuiditasnya ke instrumen investasi atau biasa disebut secondary reserve. Salah satu yang paling menjadi incaran adalah Surat Berharga Negara (SBN). Data terbaru menunjukkan total kepemilikan SBN perbankan saat ini telah menembus Rp 1.497,05 triliun per 16 Desember 2020 menurut data Kementerian Keuangan (Kemenkeu). Porsinya juga terus meningkat, pada periode itu sebanyak 38,77% SBN dipegang oleh perbankan. Porsi terbesar ada di surat utang negara (SUN) dengan nilai mencapai Rp 1.185,11 triliun. Baca Juga: Era suku bunga rendah bisa menggairahkan saham sektor properti dan perbankan Beberapa bank yang dihubungi Kontan.co.id pun mengamini kondisi tersebut. Direktur PT Bank Tabungan Negara Tbk (BTN) Nixon Napitupulu menjelaskan pihaknya sudah memarkir sekitar Rp 44 triliun likuiditasnya ke instrumen SUN. Nilai itu menurut dia merupakan yang terbesar dalam sejarah BTN. ""BTN saat ini sudah lebih dari Rp 44 triliun diparkir di obligasi, baik valas ataupun Rupiah. Kita belum (pernah) punya bonds sebesar itu,"" kata dia belum lama ini. Wajar, menurut Nixon hal itu memang menjadi alternatif seluruh industri perbankan di tengah belum menggeliatnya permintaan kredit baru. ""Likuiditas sangat tebal. Mau tidak mau bank akan menaruh di secondary reserve,"" imbuh dia. Hal itu rupanya juga dilakukan oleh bank kecil. Ambil contoh PT Bank Ina Perdana Tbk (BINA) yang menyebut per November 2020 total outstanding surat berharga perseroan sudah mencapai Rp 2,4 triliun. Direktur Utama Bank Ina Daniel Budirahayu menjelaskan, kendati terbilang kecil faktanya nilai tersebut meningkat 215% dari posisi akhir tahun 2019 atau year to date (ytd). Baca Juga: Kredit perbankan kian melambat, terkontraksi 1,39% per November 2020",keuangan
Inilah Surat Berharga Negara Ritel yang Telah Diterbitkan di Tahun Ini,2024-08-21T01:12:47.393Z,,Premium User Only,https:////insight.kontan.co.id/news/inilah-surat-berharga-negara-ritel-yang-telah-diterbitkan-di-tahun-ini,Premium Content - Not Scraped,insight
Pegadaian membidik bisnis gadai surat berharga negara (SBN),2024-08-21T01:12:47.434Z,"Selasa, 20 Oktober 2020 / 08:00 WIB",Reporter: Maizal Walfajri | Editor: Yudho Winarto,https:////keuangan.kontan.co.id/news/pegadaian-membidik-bisnis-gadai-surat-berharga-negara-sbn,"KONTAN.CO.ID - JAKARTA. PT Pegadaian (Persero) menambahkan produk baru dalam meningkatkan bisnis gadai. Setelah menggarap gadai saham, kini perusahaan pelat merah ini juga membidik bisnis gadai surat berharga negara (SBN). Direktur Pemasaran dan Pengembangan Produk Pegadaian Harianto Widodo hal ini dapat dilakukan lantaran Pegadaian tengah melakukan uji coba gadai efek dari Otoritas Jasa Keuangan. Ia berharap regulator dapat segera memberikan izin penuh untuk bisnis ini. “Jaminan dengan bentuk saham atau obligasi tanpa warkat yang tercatat dan diperdagangkan di Bursa Efek Indonesia (BEI). Kriteria agunannya untuk saham harus indeks LQ45 dengan haicut KPEI kecil dari 30%. Sedangkan untuk obligasi berupa Surat Utang Negara maupun ORI,” jelas Harianto dalam diskusi virtual pada Senin (19/10). Baca Juga: Kapan saat yang tepat menabung emas? Ini jawaban Pegadaian Pembiayaan ini memungkinkan bagi nasabah pegadaian mendapatkan pembiayaan mulai dari Rp 1 juta dengan maksimal pembiayaan untuk inividu hingga Rp 5 miliar sedangkan institusi senilai Rp 20 miliar. “Mitigasi risiko yang kami lakukan dengan memberikan pemberitahuan jatuh tempo berupa grace period. Kemudian pada saat harga bergerak dan rasio pinjaman mencapai lebih 75% dari market value kami beritahu untuk tambah jaminan atau mencicil uang pinjaman,” papar Harianto. Lebih lanjut, bila saat grace period utang pinjaman mencapai lebih dari 80% dari market value, perusahaan akan memberi tahu nasabah untuk segera meng-top up. Bila tidak akan aset yang digadai akan dijual (force sell). Kelebihan dana dari penjualan ini akan dikembalikan kepada nasabah.",keuangan
"Peminat lelang surat berharga syariah negara (SBSN) mencapai Rp 25,85 triliun",2024-08-21T01:12:47.713Z,"Rabu, 14 Oktober 2020 / 10:21 WIB",Reporter: Danielisa Putriadita | Editor: Handoyo .,https:////investasi.kontan.co.id/news/peminat-lelang-surat-berharga-syariah-negara-sbsn-mencapai-rp-2585-triliun,"KONTAN.CO.ID - JAKARTA. Minat investor pada lelang Surat Berharga Syariah Negara (SBSN) yang ditawarkan hari ini (13/10) masih tinggi. Berdasarkan rilis Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan (DJPPR), total penawaran yang masuk dari lelang tersebut sebesar Rp 25,85 triliun. Sebagai perbandingan, total penawaran yang masuk di lelang SBSN dua pekan sebelumnya hanya Rp 19,85 triliun. Pemerintah juga menambah lelang SBSN di 30 September dan menerima penawaran masuk sebesar Rp 6,27 triliun. Maka, total lelang SBSN dua pekan lalu mendapat penawaran masuk Rp 26,12 triliun dan tidak berbeda jauh dari penawaran yang masuk di lelang kali ini. Associate Director Fixed Income Anugerah Sekuritas Indonesia Ramdhan Ario Maruto mengatakan, minat investor tetap tinggi pada lelang menunjukkan bahwa pasar obligasi saat ini likuid. Pergerakan yield obligasi tenor acuan 10 tahun yang cenderung stabil di sekitar 6,9% juga membuat investor tertarik untuk memburu surat utang. Baca Juga: Penawaran yang masuk dalam lelang SBSN mencapai Rp 25,85 triliun Dalam lelang kali ini, dia masih melihat investor domestik yang menjadi penyokong terbesar pada permintaan. ""Kekuatan investor domestik baik untuk menopang pasar sambil saat ini pasar surat utang pemerintah masih menunggu investor asing masuk lebih signifikan,"" kata Ramdhan, Selasa (13/10). Seri PBS025 yang jatuh tempo di 15 Mei 2033 mendapat total penawaran masuk terbesar dengan nilai Rp 8,13 triliun. Seri ini memiliki yield rata-rata tertimbang yang dimenangkan sebesar 7,09%. Pemerintah menyerap Rp 3,75 triliun dari seri ini. Tenor panjang seperti seri PBS028 yang jatuh tempo di 15 Oktober 2046 juga mendapat penawaran tertinggi kedua, sebesar Rp 7,16 triliun. Seri ini memiliki yield rata-rata yang dimenangkan sebesar 7,47%. Pemerintah menyerap Rp 2,35 triliun dari seri ini. Di urutan ketiga, seri SPNS14042021 menerima penawaran masuk sebesar Rp 4,92 triliun. Seri ini memiliki yiled rata-rata tertimbang sebesar 3,13%. Sementara, pemerintah menyerap Rp 2,2 triliun dari seri yang jatuh tempo pada 14 April 2021 ini. Sementara, seri PBS026 mendapat penawaran Rp 2,91 triliun. Seri yang jatuh tempo pada 15 Oktober 2024 ini memiliki yield rerata tertimbang di 5,3%. Pemerintah menyerap Rp 2 triliun dari seri ini. Sedangkan, seri PBS027 mendapat total penawaran yang paling kecil sebesar Rp 2,73 triliun. Seri ini memilik yield rerata tertimbang di 4,5% dan jatuh tempo di 15 Mei 2023. Pemerintah menyerap Rp 1,18 triliun dari seri ini. Ramdhan mengatakan, institusi seperti dana pensiun dan asuransi memang cenderung memburu lebih banyak di tenor panjang. Baca Juga: Inilah 9 negara terkaya di dunia, Indonesia urutan berapa? Secara keseluruhan pemerintah menyerap Rp 11,9 triliun dari kelima seri yang dilelang hari ini. Penyerapan tersebut melebihi target indikatif pemerintah yang sebesar Rp 10 triliun. Ramdhan bilang, penyerapan yang melebihi target menandakan yield yang para investor tawarkan sesuai dengan ekspektasi pemerintah dan tidak melebihi yield wajar di pasar. Dia pun memproyeksikan, prospek lelang surat utang selanjutnya masih akan ramai karena yield surat utang Indonesia menarik dibanding yield negara tetangga. Apalagi jika kondisi ekonomi ke depan membaik, maka investor asing akan lebih banyak masuk ke pasar obligasi pemerintah.  Cek Berita dan Artikel yang lain di Google News",investasi
Trimegah Panen Berkah dari Transaksi Surat Berharga Negara (SBN),2024-08-21T01:12:48.225Z,,Premium User Only,https:////insight.kontan.co.id/news/trimegah-panen-berkah-dari-transaksi-surat-berharga-negara-sbn,Premium Content - Not Scraped,insight
