Title,Scrapping Date,Article Date,Author,Link,Content,Category
"Investor Wait And See, Lelang Surat Utang Negara Jadi Sepi",2024-08-21T01:58:08.245Z,,Premium User Only,https:////insight.kontan.co.id/news/investor-wait-and-see-lelang-surat-utang-negara-jadi-sepi,Premium Content - Not Scraped,insight
Diversifikasi dan Melaju dengan Surat Utang Negara,2024-08-21T01:58:08.498Z,,Premium User Only,https:////insight.kontan.co.id/news/diversifikasi-dan-melaju-dengan-surat-utang-negara,Premium Content - Not Scraped,insight
"Utang Pemerintah Naik Jadi Rp 7.855,53 Triliun, Didominasi Surat Utang Negara",2024-08-21T01:58:08.813Z,"Senin, 21 Agustus 2023 / 05:30 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////newssetup.kontan.co.id/news/utang-pemerintah-naik-jadi-rp-785553-triliun-didominasi-surat-utang-negara,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat posisi utang pemerintah pada Juli 2023 sebesar Rp 7.855,53 triliun, dengan rasio mencapai 37,78% terhadap PDB. Posisi utang tersebut naik tipis 0,64% jika dibandingkan dengan bulan sebelumnya yang mencapai Rp 7.805,19 triliun. Sementara itu, Kemenkeu menyatakan rasio utang pada Juli 2032 menurun jika dibandingkan dengan bulan sebelumnya yang sebesar 37,93%. “Rasio utang ini juga turun dari posisi Desember 2022 sebesar 39,70% (LKPP),” tutur  Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto kepada Kontan.co.id, Jumat (18/8). Baca Juga: Kemenkeu akan Dorong Belanja Berkualitas, Demi Kejar Target Pertumbuhan Ekonomi 2024 Komposisi utang pemerintah didominasi oleh utang domestik, yaitu 72,42%. Sementara berdasarkan instrumen, komposisi utang pemerintah mayoritas berupa Surat Berharga Negara (SBN) yang mencapai 88,92%. Posisi SBN mencapai Rp 6.985,2 triliun, terdiri dari SBN domestik Rp 5.663,46 triliun dan valuta asing (valas) Rp 1.321,7 triliun. Sementara itu, pembiayaan utang melalui pinjaman mencapai Rp 870,3 triliun, terdiri dari pinjaman dalam negeri Rp 25,2 triliun dan pinjaman luar negeri Rp 845 triliun. Suminto menyampaikan, pemerintah terus mengelola utang dengan sangat hati-hati dan akuntabel. Sesuai dengan Undang-Undang Keuangan Negara, utang Pemerintah dijaga maksimal 60% dari PDB dan defisit APBN maksimal 3% dari PDB. Dia membandingkan, rasio utang terhadap PDB Indonesia sebesar 37,78% per Juli 2023 tergolong rendah di antara negara-negara peers, sebagai contoh Malaysia 60,4%, Filipina 60,9%, Thailand 60,96%, Argentina 85%, Brazil 72,87%, dan Afrika Selatan 67,4%. Selain itu, Pemerintah juga menjaga risiko portofolio utang dengan baik, yang lebih mengandalkan penerbitan utang dalam Rupiah, yang mana per akhir Juli 2023 sebesar 72,4% outstanding utang dalam mata uang Rupiah. Rata-rata jatuh tempo utang Indonesia juga cukup panjang yaitu 8,15 tahun. Dalam rangka mendukung pembiayaan domestik, Pemerintah terus melakukan upaya-upaya pendalaman pasar keuangan, baik melalui literasi maupun inklusi keuangan. Dengan pasar keuangan domestik yang lebih dalam dan basis investor domestik yang lebih luas akan memperkuat ketahanan (resilient) dan stabilitas pasar dalam negeri. “Pengelolaan makro ekonomi dan fiskal Indonesia, termasuk pengelolaan utang mendapatkan apresiasi dari pasar dan investor. Hal ini terlihat dari hasil asesmen lembaga-lembaga pemeringkat kredit utama, termasuk R&I yang pada tanggal 25 Juli 2023 mengafirmasi rating Indonesia BBB+ dan menaikkan outlook menjadi positif,” jelasnya. Lebih lanjut, Suminto menjelaskan, utang adalah salah satu instrumen dalam pengelolaan keuangan dalam membiayai APBN untuk mencapai tujuan pembangunan. Utang dilakukan untuk membiayai prioritas pembangunan yang tidak bisa ditunda, menjaga momentum pertumbuhan, dan menghindari opportunity loss. Pengadaan utang dilakukan dengan filosofi utang sebagai alat, bukan tujuan. Agar utang optimal, penarikan utang dilakukan secara terukur dan terencana dengan mengedepankan prinsip kehati-hatian. Baca Juga: Nyaris Tembus Rp 500 Triliun, Pembayaran Bunga Utang Tahun 2024 Melonjak Utang difokuskan untuk memaksimalkan aktivitas perekonomian dan kesejahteraan rakyat dan disalurkan untuk belanja prioritas seperti infrastruktur dan sumber daya manusia seperti di bidang Pendidikan dan kesehatan. Berdasarkan berbagai penelitian, diyakini bahwa investasi di bidang pendidikan akan menghasilkan return sekitar 22%, sementara itu di bidang infrastruktur akan menghasilkan return sekitar 20%. “Tentunya ini semua dalam rangka mendukung transformasi Indonesia menuju negara maju,” imbuhnya. Cek Berita dan Artikel yang lain di Google News",newssetup
"Utang Pemerintah Naik Jadi Rp 7.855,53 Triliun, Mayoritas dari Surat Utang Negara",2024-08-21T01:58:09.343Z,"Minggu, 20 Agustus 2023 / 11:42 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/utang-pemerintah-naik-jadi-rp-785553-triliun-mayoritas-dari-surat-utang-negara,"KONTAN.CO.ID - JAKARTA. Kementerian Keuangan (Kemenkeu) mencatat posisi utang pemerintah pada Juli 2023 sebesar Rp 7.855,53 triliun, dengan rasio mencapai 37,78% terhadap PDB. Posisi utang tersebut naik tipis 0,64% jika dibandingkan dengan bulan sebelumnya yang mencapai Rp 7.805,19 triliun. Sementara itu, Kemenkeu menyatakan rasio utang pada Juli 2032 menurun jika dibandingkan dengan bulan sebelumnya yang sebesar 37,93%. “Rasio utang ini juga turun dari posisi Desember 2022 sebesar 39,70% (LKPP),” tutur  Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Kemenkeu Suminto kepada Kontan.co.id, Jumat (18/8). Baca Juga: Kemenkeu akan Dorong Belanja Berkualitas, Demi Kejar Target Pertumbuhan Ekonomi 2024 Komposisi utang pemerintah didominasi oleh utang domestik, yaitu 72,42%. Sementara berdasarkan instrumen, komposisi utang pemerintah mayoritas berupa Surat Berharga Negara (SBN) yang mencapai 88,92%. Posisi SBN mencapai Rp 6.985,2 triliun, terdiri dari SBN domestik Rp 5.663,46 triliun dan valuta asing (valas) Rp 1.321,7 triliun. Sementara itu, pembiayaan utang melalui pinjaman mencapai Rp 870,3 triliun, terdiri dari pinjaman dalam negeri Rp 25,2 triliun dan pinjaman luar negeri Rp 845 triliun. Suminto menyampaikan, pemerintah terus mengelola utang dengan sangat hati-hati dan akuntabel. Sesuai dengan Undang-Undang Keuangan Negara, utang Pemerintah dijaga maksimal 60% dari PDB dan defisit APBN maksimal 3% dari PDB. Dia membandingkan, rasio utang terhadap PDB Indonesia sebesar 37,78% per Juli 2023 tergolong rendah di antara negara-negara peers, sebagai contoh Malaysia 60,4%, Filipina 60,9%, Thailand 60,96%, Argentina 85%, Brazil 72,87%, dan Afrika Selatan 67,4%. Selain itu, Pemerintah juga menjaga risiko portofolio utang dengan baik, yang lebih mengandalkan penerbitan utang dalam Rupiah, yang mana per akhir Juli 2023 sebesar 72,4% outstanding utang dalam mata uang Rupiah. Rata-rata jatuh tempo utang Indonesia juga cukup panjang yaitu 8,15 tahun. Dalam rangka mendukung pembiayaan domestik, Pemerintah terus melakukan upaya-upaya pendalaman pasar keuangan, baik melalui literasi maupun inklusi keuangan. Dengan pasar keuangan domestik yang lebih dalam dan basis investor domestik yang lebih luas akan memperkuat ketahanan (resilient) dan stabilitas pasar dalam negeri. “Pengelolaan makro ekonomi dan fiskal Indonesia, termasuk pengelolaan utang mendapatkan apresiasi dari pasar dan investor. Hal ini terlihat dari hasil asesmen lembaga-lembaga pemeringkat kredit utama, termasuk R&I yang pada tanggal 25 Juli 2023 mengafirmasi rating Indonesia BBB+ dan menaikkan outlook menjadi positif,” jelasnya. Lebih lanjut, Suminto menjelaskan, utang adalah salah satu instrumen dalam pengelolaan keuangan dalam membiayai APBN untuk mencapai tujuan pembangunan. Utang dilakukan untuk membiayai prioritas pembangunan yang tidak bisa ditunda, menjaga momentum pertumbuhan, dan menghindari opportunity loss. Pengadaan utang dilakukan dengan filosofi utang sebagai alat, bukan tujuan. Agar utang optimal, penarikan utang dilakukan secara terukur dan terencana dengan mengedepankan prinsip kehati-hatian. Baca Juga: Nyaris Tembus Rp 500 Triliun, Pembayaran Bunga Utang Tahun 2024 Melonjak Utang difokuskan untuk memaksimalkan aktivitas perekonomian dan kesejahteraan rakyat dan disalurkan untuk belanja prioritas seperti infrastruktur dan sumber daya manusia seperti di bidang Pendidikan dan kesehatan. Berdasarkan berbagai penelitian, diyakini bahwa investasi di bidang pendidikan akan menghasilkan return sekitar 22%, sementara itu di bidang infrastruktur akan menghasilkan return sekitar 20%. “Tentunya ini semua dalam rangka mendukung transformasi Indonesia menuju negara maju,” imbuhnya. Cek Berita dan Artikel yang lain di Google News",nasional
Pemerintah Akan Lelang 8 Seri Surat Utang Negara (SUN) pada Selasa (8/8),2024-08-21T01:58:09.813Z,"Senin, 07 Agustus 2023 / 13:55 WIB",Reporter: Akmalal Hamdhi | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/pemerintah-akan-lelang-8-seri-surat-utang-negara-sun-pada-selasa-88,"KONTAN.CO.ID -  JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang Rupiah pada Selasa (8/8). Pada lelang kali ini, pemerintah menetapkan target indikatif sebesar Rp 14 triliun – Rp 21 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat tujuh (8) seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2023. Baca Juga: Pemerintah Resmi Batalkan PMN Waskita Karya (WSKT) Rp 3 Triliun Berikut rincian dari kedelapan seri SUN yang akan ditawarkan pada Selasa (8/8) : 1.    SPN12231109 akan jatuh tempo pada 9 November 2023 dengan tingkat imbalan diskonto. 2.    SPN12240529 memiliki tanggal jatuh tempo pada 25 Mei 2024 dengan tingkat imbalan diskonto 3.   Seri FR0095 yang akan jatuh tempo pada 15 Agustus 2028 memiliki tingkat imbalan sebesar 6,37% 4.    FRSDG001 akan jatuh tempo pada 15 Oktober 2030 memiliki tingkat imbalan sebesar 7,37% 5.    FR0096 yang akan jatuh tempo pada 15 Februari 2033 disertai tingkat imbalan sebesar 7,00% Baca Juga: Utang Pemerintah Tembus Rp 7.805 Triliun, Ekonom BSI: Masih Low to Moderate 6.    FR0098 akan jatuh tempo pada 15 Juni 2038 memiliki tingkat imbalan sebesar 7,12% 7.    Seri FR0097 memiliki tanggal jatuh tempo pada 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 8.    FR0089 akan jatuh tempo pada 15 Agustus 2051 disertai tingkat imbalan sebesar 6,87% Pada lelang ini kembali ditawarkan Seri FRSDG001 yang merupakan seri (SDGs) Bond pertama yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri SDGs Bond melalui lelang ini melengkapi program penerbitan Sustainable Development Goals (SDGs) Bond yang sudah dilakukan di pasar global tahun 2021. Baca Juga: Utang Pemerintah Tembus Rp 7.805 Triliun, Ekonom BSI: Masih Low to Moderate Penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Cek Berita dan Artikel yang lain di Google News",investasi
Ekonom Sarankan Pemerintah Kurangi Porsi Penerbitan Surat Utang Negara Tahun Ini,2024-08-21T01:58:09.927Z,"Rabu, 05 Juli 2023 / 19:26 WIB",Reporter: Siti Masitoh | Editor: Handoyo .,https:////nasional.kontan.co.id/news/ekonom-sarankan-pemerintah-kurangi-porsi-penerbitan-surat-utang-negara-tahun-ini,"KONTAN.CO.ID - JAKARTA. Pemerintah berencana mengurangi pembiayaan utang tahun ini sebesar Rp Rp 289,9 triliun, atau menurun 41,6% dari target yang sebesar Rp 696,3 triliun. Untuk diketahui, pembiayaan utang pemerintah biasanya berasal dari dua sumber, yakni penerbitan surat berharga negara (SBN) atau berupa pinjaman. Ekonom Center of Reform on Economic (CORE) Yusuf Rendy Manilet menilai, baiknya pemerintah lebih mengutamakan porsi penerbitan SBN. Alasannya karena penerbitan SBN sifatnya lebih fleksibel. Baca Juga: Penerbitan SBN Tembus Rp 144,5 Triliun Hingga Mei 2023 Fleksibel yang dimaksud adalah,  pemerintah bisa memutuskan akan mengurangi atau menambah penerbitan SBN dengan menyesuaikan kondisi penerimaan negara. Sehingga penerimaan negara relatif cukup untuk membiayai beragam beragam belanja negara sampai akhir tahun, maka penerbitan SBN bisa dikurangi. “Sementara pinjaman merupakan kontrak ataupun komitmen jangka menengah sampai dengan Panjang, yang ketika pinjaman luar negeri disepakati maka relatif sulit untuk kemudian mengubah jumlah ataupun peruntukan dari pinjaman tersebut,” tutur Yusuf kepada Kontan.co.id, Rabu (5/7). Di sisi lain, Yusuf menilai meskipun Bank Indonesia sudah beberapa kali menahan suku bunga acuan yang sama, namun secara tren sebenarnya Indonesia berada pada tren suku bunga yang relatif tinggi apalagi jika dibandingkan dengan kondisi ketika pandemi. Baca Juga: Penawaran Masuk Rp 34 Triliun di Lelang Sukuk, Investor Lokal Mendominasi Maka dari itu, dengan suku bunga yang masih relatif tinggi, imbal hasil yang ditawarkan pada surat hutang yang diterbitkan pemerintah berpotensi juga menjadi lebih tinggi. Sehingga porsi utang pemerintah juga akan mengalami peningkatan. “Utang ini ada hubungannya dengan bunga utang yang akan mengalami peningkatan terutama dalam konteks yang menengah sampai panjang. Sehingga ketika ada peluang untuk tidak menerbitkan surat utang pada era suku bunga tinggi pemerintah tentu perlu mengambil peluang tersebut,” jelasnya. Cek Berita dan Artikel yang lain di Google News",nasional
Pembeli Surat Utang Negara Kebanyakan Mahasiswa dan Ibu Rumah Tangga,2024-08-21T01:58:10.293Z,"Sabtu, 04 Februari 2023 / 05:30 WIB",Reporter: Dendi Siswanto | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/pembeli-surat-utang-negara-kebanyakan-mahasiswa-dan-ibu-rumah-tangga-1,"KONTAN.CO.ID - JAKARTA. Investor surat utang negara (SUN) ternyata paling banyak kalangan mahasiswa dan ibu rumah tangga. Ini karena harga pembelian SUN ritel yang makin terjangkau masyarakat. Menteri Keuangan Sri Mulyani Indrawati mengatakan, kalangan mahasiswa yang di bawah usia 20 tahun, mereka bisa membeli Surat Berharga Negara (SBN) dengan nilai Rp 500.000. ""Ibu-ibu rumah tangga ini sekarang mayoritas. Jadi kalau lihat gender, ibu-ibu cukup banyak mereka sekarang. Bapak-bapak kayaknya entah sibuk apa, tapi anak-anak dan ibu-ibu itu kayaknya banyak yang investasi di surat berharga negara kita,"" ujar Sri Mulyani dalam acara yang dipantau secara daring, Jumat (3/2). ""Anak-anak mahasiswa sekarang sudah banyak. Di bawah 20 tahun sekarang menjadi investor, mereka bisa beli dengan Rp 500.000 dan mereka makin safey,"" tambahnya. Baca Juga: Sri Mulyani: Kondisi Perekonomian Global Makin Positif di Semester II 2023 Untuk diketahui, SBN merupakan produk investasi yang dihadirkan negara untuk masyarakat yang pengolahannya langsung melalui Kementerian Keuangan dan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPP). Sebab itu, jenis investasi ini dijamin keamanannya lantaran diterbitkan langsung oleh pemerintah. ""Kalau saya stop mengeluarkan SBN, Anda yang punya tabungan bingung taruh dimana. Akhirnya masuk ke pinjol-pinjol yang itu. Jadi mereka butuh instrumen yang baik, yang dipercaya dan menjaga nilai tabungan mereka. Makanya pemerintah makin banyak SBN di dalam negeri,"" tutur Menkeu. Oleh karena itu, Sri Mulyani yakin dengan banyak investor lokal yang membeli SUN maka perekonomian Indonesia akan terjaga dan tidak terpengaruh kondisi global lantaran sumber utang didominasi di dalam negeri. ""Jadi kita investor based-nya dalam negeri, curency-nya kita jaga antara rupiah dengan yang forex. Kalau kita lihat jatuh temponya harus cukup panjang sehingga jangan sampai kemudian akan jatuh tempo besok kita gak punya untuk membayarnya. Itu adalah manajemen utang yang kita kelola secara prudent,"" imbuh Sri Mulyani. Baca Juga: Menkeu: Revisi Aturan DHE akan Rampung Februari 2023 Cek Berita dan Artikel yang lain di Google News",investasi
Sri Mulyani: Mahasiswa dan Ibu Rumah Tangga Pembeli Terbanyak Surat Utang Negara,2024-08-21T01:58:10.423Z,"Jumat, 03 Februari 2023 / 14:20 WIB",Reporter: Dendi Siswanto | Editor: Khomarul Hidayat,https:////nasional.kontan.co.id/news/sri-mulyani-mahasiswa-dan-ibu-rumah-tangga-pembeli-terbanyak-surat-utang-negara,"KONTAN.CO.ID - JAKARTA. Kalangan mahasiswa hingga ibu rumah tangga mendominasi pembelian surat utang negara (SUN). Hal ini disampaikan langsung Menteri Keuangan Sri Mulyani Indrawati saat menghadiri acara Kuliah Umum Media Indonesia, Jumat (3/2). Ia mencontohkan, untuk kalangan mahasiswa yang di bawah 20 tahun, mereka bisa membeli Surat Berharga Negara (SBN) dengan nilai Rp 500.000 misalnya. ""Ibu-ibu rumah tangga ini sekarang mayoritas. Jadi kalau lihat gender, ibu-ibu cukup banyak mereka sekarang. Bapak-bapak kayaknya entah sibuk apa, tapi anak-anak dan ibu-ibu itu kayaknya banyak yang investasi di surat berharga negara kita,"" ujar Sri Mulyani dalam acara yang dipantau secara daring, Jumat (3/2). ""Anak-anak mahasiswa sekarang sudah banyak. Di bawah 20 tahun sekarang menjadi investor, mereka bisa beli dengan Rp 500.000 dan mereka makin safey,"" tambahnya. Baca Juga: Sri Mulyani: Kondisi Perekonomian Global Makin Positif di Semester II 2023 Untuk diketahui, SBN merupakan produk investasi yang dihadirkan negara untuk masyarakat yang pengolahannya langsung melalui Kementerian Keuangan dan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPP). Sebab itu, jenis investasi ini dijamin keamanannya lantaran diterbitkan langsung oleh pemerintah. ""Kalau saya stop mengeluarkan SBN, Anda yang punya tabungan bingung taruh dimana. Akhirnya masuk ke pinjol-pinjol yang itu. Jadi mereka butuh instrumen yang baik, yang dipercaya dan menjaga nilai tabungan mereka. Makanya pemerintah makin banyak SBN di dalam negeri,"" tutur Menkeu. Oleh karena itu, Sri Mulyani yakin dengan banyak investor lokal yang membeli SUN maka perekonomian Indonesia akan terjaga dan tidak terpengaruh kondisi global lantaran sumber utang didominasi di dalam negeri. ""Jadi kita investor based-nya dalam negeri, curency-nya kita jaga antara rupiah dengan yang forex. Kalau kita lihat jatuh temponya harus cukup panjang sehingga jangan sampai kemudian akan jatuh tempo besok kita gak punya untuk membayarnya. Itu adalah manajemen utang yang kita kelola secara prudent,"" imbuh Sri Mulyani. Baca Juga: Menkeu: Revisi Aturan DHE akan Rampung Februari 2023 Cek Berita dan Artikel yang lain di Google News",nasional
"Likuiditas Masih Tinggi, Lelang Surat Utang Negara (SUN) pada Selasa (31/1) Ramai",2024-08-21T01:58:10.597Z,"Selasa, 31 Januari 2023 / 20:41 WIB",Reporter: Akmalal Hamdhi | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/likuiditas-masih-tinggi-lelang-surat-utang-negara-sun-pada-selasa-311-ramai,"KONTAN.CO.ID - JAKARTA. Lelang Surat Utang Negara (SUN) pada Selasa 31 Januari 2023 terpantau ramai. Jumlah penawaran masuk lelang SUN kali ini naik dibanding lelang dua pekan lalu. Berdasarkan keterangan resmi Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, total penawaran yang masuk pada lelang SUN tanggal 31 Januari 2023 mencapai Rp 67,08 triliun. Angka itu lebih tinggi dibandingkan jumlah penawaran masuk pada hasil lelang SUN sebelumnya yang senilai Rp 59,05 triliun. Sementara, nominal yang dimenangkan pada lelang SUN kali ini jumlahnya sama dengan hasil penyerapan di lelang SUN dua pekan lalu. Pemerintah menyerap sebanyak Rp 23 triliun. Baca Juga: Penawaran Masuk Rp 67,8 T, Pemerintah Serap Rp 23 Triliun Pada Lelang SUN (31/1) Senior Vice President Head of Retail Product Research & Distribution Division Henan Putihrai Asset Management Reza Fahmi menilai tingginya permintaan obligasi pemerintah pada lelang kali ini dipengaruhi oleh masih tingginya likuiditas perbankan yang diperkirakan naik menjadi Rp 185 triliun. Di lelang sebelumnya likuiditas perbankan hanya Rp 107 triliun. Selain itu, seri obligasi yang ditawarkan juga lebih banyak dan mencakup semua tenor benchmark, ditambah seri Sustainable Development Goals (SDGs). Obligasi dengan jumlah permintaan tertinggi masih pada obligasi benchmark bertenor 10 tahun dan benchmark bertenor 5 tahun. ""Hal ini menandakan tingkat risiko investor masih medium, tentunya mengingat The Fed pada FOMC masih akan menaikkan tingkat suku bunganya di awal Februari, ucap Reza kepada Kontan.co.id, Selasa (31/1). Terkhusus seri FRSDG001, minat investor cukup tinggi yakni sebesar 6,17 triliun penawaran yang masuk. Ini lebih tinggi dari perkiraan Henan Putihrai sebelumnya diangka Rp 5 triliun. Baca Juga: Seri SDGs Bond Akan Menarik Investor dalam Lelang SUN Hari Ini (31/1) Reza bilang, hal ini menandakan tingginya minat investor untuk berpartisipasi dalam program Sustainable Developmnet Goals. Kelebihan dari SDG ini tentunya dari tujuan penerbitan obligasi tersebut, walaupun dari rata-rata sisi imbal hasil yang dimenangkan masih berada level yang wajar untuk tenor 7 tahun dengan yield rata-rata 6,55%. Sementara, lanjut Reza, imbal hasil (yield) yang dimenangkan masih berada pada level pasar, mengingat beberapa minggu terakhir dipasar sekunder masih terjadi aksi ambil untung (profit taking). Sebagai gambaran, FR0095 sebagai seri paling banyak diburu investor memiliki tingkat yield yang dimenangkan rata-rata sebesar 6,35% pada lelang kali ini. Di lelang SUN dua pekan sebelumnya, yield rata-rata yang dimenangkan FR0095 di kisaran 6,47%. Menurut Reza, kondisi pasar obligasi secara umum masih menarik. Pertumbuhan ekonomi Indonesia diperkirakan berada pada level 4,9%- 5,3%, dan inflasi yang diperkirakan 3,5%-4,5% lebih rendah dari tahun 2022. Dari sisi tingkat imbal hasil SUN 10 tahun pada saat ini 6,6% – 6,7% masih lebih atraktif dibandingkan negara-negara regional. Namun faktor risiko dari eksternal seperti kenaikan The Fed Rate akan menjadi sentimen negatif sementara. Direktur Panin Asset Management (Panin AM) Rudiyanto memproyeksikan yield SUN diperkirakan akan turun ke level 6,25% - 6,5% hingga akhir tahun ini. Hal tersebut seiring dengan tingkat inflasi yang semakin menurun. ""Yield memang agak menurun dari awal tahun karena berita inflasi yang terkendali,"" imbuh Rudiyanto kepada Kontan.co.id, Selasa (31/1). Cek Berita dan Artikel yang lain di Google News",investasi
Lelang Surat Utang Negara (SUN) pada Selasa (17/1) Diserbu Investor,2024-08-21T01:58:10.819Z,"Selasa, 17 Januari 2023 / 19:27 WIB",Reporter: Akmalal Hamdhi | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/lelang-surat-utang-negara-sun-pada-selasa-171-diserbu-investor,"KONTAN.CO.ID - JAKARTA. Lelang Surat Utang Negara pada Selasa (17/1) diserbu investor. Lelang SUN yang lebih ramai hari ini karena terdorong ekspektasi kenaikan suku bunga yang lebih lambat. Mengutip laman resmi Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan (Kemenkeu), total penawaran yang masuk pada lelang SUN tanggal 17 Januari 2023 adalah sebesar Rp 59,05 triliun. Pemerintah menyerap sebanyak Rp 23 triliun pada lelang kali ini. Direktur Surat Utang Negara DJPPR Kemenkeu Deni Ridwan mengatakan bahwa investor antusias pada lelang SUN kali ini, tercermin dari naiknya penawaran masuk yang lebih tinggi daripada lelang sebelumnya sebanyak Rp 28,32 triliun. Hal tersebut didorong oleh rilis data ekonomi Amerika Serikat (AS) yang cenderung mendukung ekspektasi kebijakan the Fed untuk mengurangi agresivitas pada Federal Open Market Committee (FOMC) bulan Februari. Data ekonomi domestik juga menunjukkan kinerja positif yakni rilis data neraca perdagangan bulan Desember kembali mencatatkan surplus sebesar US$ 3,89 miliar. Baca Juga: Pemerintah Serap Dana Rp 23 Triliun dalam Lelang SUN Selasa (17/1) Deni menambahkan, aliran masuk (capital inflow) investor asing pada lelang SUN terus berlanjut yang ditandai dengan jumlah penawaran naik signifikan menjadi Rp 15,37 triliun. Pada lelang SUN sebelumnya, capital inflow investor asing sebesar Rp 4,31 triliun. Jumlah penawaran masuk dari investor asing tersebut mayoritas pada seri SUN tenor 5 dan 10 tahun yaitu Rp 11,54 triliun atau 75,11% dari total penawaran masuk investor asing. Pemerintah memenangkan sebesar Rp 10,74 triliun atau 46,7% dari total penawaran yang diterima. Deni bilang, permintaan investor masih dominan pada seri SUN tenor 5 dan 10 tahun. Seri SUN dengan jangka waktu tersebut mencatatkan jumlah penawaran masuk dan penawaran diterima masing-masing sebesar 70,99% dari total incoming bids dan 71,0% dari total awarded bids. Penawaran masuk terbesar ialah pada tenor 5 tahun yaitu Rp 22,59 triliun atau setara 38,26% dari total, dengan penawaran dimenangkan sebesar Rp 7,15 triliun atau setara 31,0% dari total yang dimenangkan. Baca Juga: Peserta Lelang Diproyeksi Bakal Meminta Yield Lebih Tinggi Sementara, weighted average yield (WAY) pada lelang SUN kali ini turun sebesar 7-26 basis poin (bps) dibandingkan WAY lelang sebelumnya. Penurunan terbesar pada seri SUN tenor 15 dan 20 tahun yaitu 26 bps. Deni mengatakan bahwa dengan mempertimbangkan yield SBN yang wajar di pasar sekunder dan rencana kebutuhan pembiayaan tahun 2023, pemerintah memutuskan untuk memenangkan permintaan sebesar Rp 23,0 triliun. ""Pemerintah selalu mempertimbangkan kondisi pasar keuangan terkini, kebutuhan pembiayaan, dan kondisi kas negara, sehingga penerbitan SBN dilakukan sesuai kebutuhan dengan biaya yang paling optimal dan risiko yang terukur,"" ungkap Deni kepada Kontan.co.id, Selasa (17/1). Adapun sesuai dengan kalender penerbitan Surat Berharga Negara (SBN) tahun 2023, lelang penerbitan SUN selanjutnya akan dilaksanakan pada tanggal 31 Januari 2023. Cek Berita dan Artikel yang lain di Google News",investasi
