Title,Scrapping Date,Article Date,Author,Link,Content
"Pemerintah Targetkan Rp 33 triliun Pada Lelang Surat Utang Negara, Selasa (6/8)",2024-08-19T13:35:30.303Z,"Senin, 05 Agustus 2024 / 14:20 WIB",Reporter: Akmalal Hamdhi | Editor: Tri Sulistiowati,https:////keuangan.kontan.co.id/news/pemerintah-targetkan-rp-33-triliun-pada-lelang-surat-utang-negara-selasa-68,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (6/8). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 22 triliun – Rp 33 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat delapan (8) seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari delapan seri SUN yang akan ditawarkan pada lelang besok, Selasa (6/8): 1. SPN03241106 (New Issuance) akan jatuh tempo pada tanggal 6 November 2024 dengan tingkat imbalan diskonto 2. SPN12250807 (New Issuance) akan jatuh tempo pada tanggal 7 Agustus 2025 dengan tingkat imbalan diskonto 3. FR0101 akan jatuh tempo pada tanggal 15 April 2029 dengan tingkat imbalan sebesar 6,87% 4. FRSDG001 akan jatuh tempo pada tanggal 15 Oktober 2030 dengan tingkat imbalan sebesar 7,37% 5. FR0103 (New Issuance) akan jatuh tempo pada tanggal 15 Juli 2035 dengan tingkat bunga tetap (fixed rate) dan akan ditetapkan pada tanggal 6 Agustus 2024. Pembayaran kupon seri baru (new issuance) FR0103 adalah semi-annually pada 15 Januari dan 15 Juli dengan pembayaran pertama pada 15 Januari 2025. 6. FR0098 akan jatuh tempo pada tanggal 15 Juni 2038 dengan tingkat imbalan sebesar 7,12% 7. FR0097 akan jatuh tempo pada tanggal 15 Juni 2043 dengan tingkat imbalan sebesar 7,12% 8. FR0102 akan jatuh tempo pada tanggal 15 Juli 2054 dengan tingkat imbalan sebesar 6,87% Pada lelang SUN ini kembali ditawarkan Seri FRSDG001 yang merupakan seri Sustainable Development Goals (SDGs) Bond pertama yang ditawarkan melalui lelang di pasar perdana domestik. Penerbitan seri SDGs Bond melalui lelang ini melengkapi program penerbitan Sustainable Development Goals (SDGs) Bond yang sudah dilakukan di pasar global tahun 2021. Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Lelang SBN akan dibuka pada hari Selasa, tanggal 6 Agustus 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 8 Agustus 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang.     Cek Berita dan Artikel yang lain di Google News"
Duit Nasabah Bank Berpaling ke Surat Utang,2024-08-19T13:35:30.806Z,,,https:////insight.kontan.co.id/news/duit-nasabah-bank-berpaling-ke-surat-utang,
WOM Finance Targetkan Penerbitan Surat Utang Sebesar Rp 2 Triliun pada 2024,2024-08-19T13:35:30.874Z,"Sabtu, 27 Juli 2024 / 19:11 WIB",Reporter: Ferry Saputra | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/wom-finance-targetkan-penerbitan-surat-utang-sebesar-rp-2-triliun-pada-2024,"KONTAN.CO.ID - JAKARTA. PT Wahana Ottomitra Multiartha Tbk (WOM Finance) menargetkan penerbitan obligasi sebesar Rp 2 triliun pada tahun 2024. Direktur Keuangan WOM Finance, Cincin Lisa, menyebut bahwa target ini didasarkan pada rencana bisnis perusahaan untuk tahun depan. ""Namun, saat ini, perusahaan akan melihat lagi perkembangan pasar serta kebutuhan pendanaan yang dibutuhkan oleh perusahaan,"" katanya kepada Kontan, Jumat (26/7). Cincin menjelaskan bahwa WOM Finance telah menerbitkan obligasi melalui Penawaran Umum Berkelanjutan Obligasi Berkelanjutan V WOM Finance Tahun 2024, dengan masa berlaku 2 tahun sejak pernyataan efektif dari Otoritas Jasa Keuangan pada 21 Juni 2024. Penerbitan ini dilaksanakan pada 2 Juli 2024 dengan nominal sebesar Rp 1 triliun. Baca Juga: Perluas Layanan, WOM Finance Resmikan Kantor Cabang Baru ""Seluruh dana yang dihasilkan dari Penawaran Umum Berkelanjutan Obligasi tersebut akan digunakan untuk pembiayaan modal kerja perusahaan,"" ujarnya. Ke depan, Cincin mengungkapkan bahwa perusahaan akan menilai kondisi pasar untuk menentukan strategi pendanaan yang tepat, yang bisa melibatkan penerbitan obligasi atau pendanaan dari perbankan. Sebagai informasi tambahan, PT Pemeringkat Efek Indonesia (Pefindo) melaporkan bahwa nilai penerbitan surat utang oleh industri multifinance mencapai Rp 13,24 triliun selama semester I-2024. Kepala Divisi Riset Ekonomi Pefindo, Suhindarto, menyebutkan bahwa angka ini merupakan yang terbesar dibandingkan dengan industri lainnya, seperti pulp dan kertas yang mencapai Rp 12,75 triliun, serta lembaga keuangan khusus sebesar Rp 7,68 triliun. Pefindo juga memproyeksikan bahwa penerbitan surat utang multifinance akan semakin aktif pada kuartal III-2024. Baca Juga: Ini Strategi WOM Finance untuk Capai Target Pembiayaan Rp 7 Triliun di 2024 Suhindarto mengungkapkan bahwa proyeksi ini didasarkan pada nilai surat utang yang jatuh tempo pada kuartal III dan IV-2024 yang lebih tinggi dibandingkan dengan kuartal I dan II-2024. ""Adapun surat utang jatuh tempo berdasarkan industri multifinance pada kuartal III-2024 sebesar 6,79 triliun dan kuartal IV-2024 sebesar Rp 6,08 triliun,"" ucapnya kepada Kontan, Jumat (26/7). Dia juga mencatat bahwa selama Juli 2024, sudah ada enam perusahaan yang melakukan penerbitan surat utang korporasi dengan total nilai Rp 4,8 triliun, yang setara dengan sepertiga dari total penerbitan pada semester I-2024.    Cek Berita dan Artikel yang lain di Google News"
Pefindo: Penerbitan Surat Utang Multifinance Lebih Semarak pada Kuartal III-2024,2024-08-19T13:35:30.922Z,"Sabtu, 27 Juli 2024 / 18:40 WIB",Reporter: Ferry Saputra | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/pefindo-penerbitan-surat-utang-multifinance-lebih-semarak-pada-kuartal-iii-2024,"KONTAN.CO.ID - JAKARTA. PT Pemeringkat Efek Indonesia (Pefindo) memperkirakan penerbitan surat utang multifinance akan lebih semarak pada kuartal III-2024. Kepala Divisi Riset Ekonomi Pefindo Suhindarto menyebut hal itu berdasarkan pada surat utang jatuh tempo pada kuartal III dan kuartal IV-2024 yang lebih besar, dibandingkan dengan kuartal I dan kuartal II-2024. ""Adapun surat utang jatuh tempo berdasarkan industri multifinance pada kuartal III-2024 sebesar 6,79 triliun dan kuartal IV-2024 sebesar Rp 6,08 triliun,"" ucapnya kepada Kontan, Jumat (26/7). Suhindarto menerangkan realisasi sepanjang Juli 2024, sudah ada 6 perusahaan yang melakukan penerbitan surat utang korporasi dengan nilai sebesar Rp 4,8 triliun. Dia bilang nilai tersebut sudah sepertiga dari penerbitan selama semester I-2024 yang mencapai Rp 13,24 triliun. Baca Juga: Pefindo: Penerbitan Surat Utang Multifinance Capai Rp 13,24 T pada Semester I-2024 ""Kami perkirakan nilai tersebut akan terus meningkat sepanjang kuartal III-2024 dan kuartal IV-2024 seiring dengan nilai jatuh tempo yang juga lebih tinggi tersebut,"" katanya. Mengenai penurunan suku bunga yang diprediksi paling cepat terjadi pada September 2024, Suhindarto menilai bukan menjadi faktor utama bagi multifinance untuk memutuskan menerbitkan surat utang. Dia melihat pola dari penerbitan surat utang korporasi di Indonesia secara umum justru lebih banyak dipengaruhi  nilai jatuh temponya. ""Jadi, sepanjang terdapat nilai jatuh tempo yang besar, perusahaan akan cenderung melakukan penerbitan untuk me-refinancing surat utang yang akan jatuh tempo tersebut,"" tuturnya. Dalam industri multifinance, Suhindarto melihat bahwa penerbitan surat utang dari sektor industri multifinance masih akan memiliki prospek yang baik. Hal itu seiring dengan pertumbuhan industri multifinance yang masih berada di level double digit meskipun mengalami perlambatan dibandingkan periode akhir tahun lalu. ""Pertumbuhan penyaluran pembiayaan yang masih dalam kondisi begitu baik juga membuat penerbitan surat utang dengan tujuan untuk modal kerja dari multifinance masih begitu tinggi,"" katanya. Meskipun demikian, Suhindarto tidak memungkiri bahwa kondisi suku bunga tinggi, seperti saat ini, turut memengaruhi kinerja bisnis multifinance. Kalau dilihat sejak Oktober 2023 hingga Juni 2024, dia menyebut Bank Indonesia sudah menaikkan suku bunga dua kali yang masing-masing sebesar 25 bps. Adapun kenaikan suku bunga itu memengaruhi pendanaan multifinance melalui dua aspek. Pertama, kenaikan biaya pendanaan, yakni suku bunga tinggi meningkatkan kupon yang perlu dibayarkan oleh emiten. Investor juga meminta premi yang lebih tinggi karena suku bunga tinggi meningkatkan leverage keuangan perusahaan multifinance. Baca Juga: Saham Adhi Karya (ADHI) Masuk Konstituen Indeks Pefindo i-Grade Kedua, pelemahan permintaan jasa multifinance, yaitu suku bunga tinggi membuat pinjaman menjadi lebih mahal. Dengan demikian, mendorong rumah tangga dan bisnis yang selama ini mengandalkan pembiayaan dari multifinance untuk menunda pembelian. ""Oleh karena itu, ketika suku bunga lebih tinggi, pendanaan multifinance melalui surat uang juga lebih rendah. Mereka mungkin lebih mengoptimalkan pendanaan melalui modal internal atau mereka menerbitkan surat utang dengan jangka pendek, sehingga ketika jatuh tempo dalam waktu dekat bisa mereka biayai kembali dengan surat utang berkupon yang lebih murah ketika suku bunga mulai diturunkan oleh bank sentral,"" ucap Suhindarto. Cek Berita dan Artikel yang lain di Google News"
"Pefindo: Penerbitan Surat Utang Multifinance Capai Rp 13,24 T pada Semester I-2024",2024-08-19T13:35:30.977Z,"Sabtu, 27 Juli 2024 / 17:11 WIB",Reporter: Ferry Saputra | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/pefindo-penerbitan-surat-utang-multifinance-capai-rp-1324-t-pada-semester-i-2024,"KONTAN.CO.ID - JAKARTA. PT Pemeringkat Efek Indonesia (Pefindo) melaporkan bahwa nilai penerbitan surat utang oleh industri multifinance mencapai Rp 13,24 triliun sepanjang semester I-2024. Kepala Divisi Riset Ekonomi Pefindo, Suhindarto, mengungkapkan bahwa nilai ini adalah yang terbesar dibandingkan dengan industri lainnya, seperti pulp dan kertas dengan nilai Rp 12,75 triliun, serta lembaga keuangan khusus yang mencapai Rp 7,68 triliun. Meskipun menjadi yang terbesar, nilai penerbitan surat utang oleh industri multifinance mengalami penurunan sebesar 12,35% dibandingkan periode yang sama pada tahun sebelumnya. ""Pada semester I-2023, nilainya mencapai Rp 15,11 triliun,"" katanya kepada Kontan, Jumat (26/7). Baca Juga: Multifinance Berhati-hati Biayai Kendaraan Listrik Suhindarto menjelaskan bahwa sepanjang semester I-2024, terdapat delapan perusahaan multifinance yang melakukan penerbitan surat utang. Penerbitan terbesar dilakukan oleh Indomobil Finance Indonesia dengan total surat utang korporasi sekitar Rp 2,83 triliun. Diikuti oleh Astra Sedaya Finance sebesar Rp 2,5 triliun, serta Federal International Finance dan Adira Dinamika Multifinance yang masing-masing menerbitkan Rp 2 triliun. Berdasarkan informasi dari prospektus yang dikumpulkan Pefindo, sebagian besar dana dari penerbitan surat utang digunakan untuk modal kerja, dengan persentase mencapai 89,1%. ""Adapun persentase tujuan penerbitan untuk modal kerja mencapai 89,1%, sedangkan untuk investasi sebesar 3,4%, refinancing sebesar 1,0%, dan lain-lain sebesar 6,6%,"" ujar Suhindarto.     Cek Berita dan Artikel yang lain di Google News"
Begini Kata Pefindo Soal Rating Surat Utang BUMN Karya,2024-08-19T13:35:31.425Z,"Kamis, 18 Juli 2024 / 17:15 WIB",Reporter: Pulina Nityakanti | Editor: Noverius Laoli,https:////investasi.kontan.co.id/news/begini-kata-pefindo-soal-rating-surat-utang-bumn-karya,"KONTAN.CO.ID - JAKARTA - PT Pefindo baru saja merilis pemeringkatan terbaru untuk surat utang emiten Badan Usaha Milik Negara (BUMN) Karya. Salah satu yang mendapat perhatian adalah Obligasi Berkelanjutan III Adhi Tahap II Tahun 2021 Seri B milik PT Adhi Karya (Persero) Tbk (ADHI), yang mendapat rating idA-.  Surat utang senilai Rp 473,5 miliar ini akan jatuh tempo pada 24 Agustus 2024. “ADHI berencana membayar pokok surat utang ini menggunakan kas internal. Per 31 Maret 2024, ADHI memiliki arus kas sebesar Rp 6,4 triliun serta fasilitas kredit Rp 1,7 triliun yang belum digunakan dan akan digunakan untuk kebutuhan umum,” ungkap Pefindo dalam laman resminya. Sementara itu, PT Wijaya Karya Tbk (WIKA) mendapat peringkat idBBB- dengan outlook stabil dari Pefindo. Pemeringkatan ini mencakup perusahaan dan berbagai obligasi serta sukuk mudharabah berkelanjutan. Baca Juga: Wijaya Karya (WIKA) Dapat Rating idBBB- dari Pefindo, Begini Kata Manajemen PT PP (Persero) Tbk (PTPP) juga mendapatkan outlook stabil dari Pefindo untuk perusahaan secara keseluruhan. Sedangkan, PT Waskita Karya (Persero) Tbk (WSKT) mendapat kenaikan rating untuk beberapa obligasinya ke idB dari idD, karena tengah melakukan restrukturisasi utang. Peringkat ini berlaku hingga 1 Oktober 2024, meskipun ada satu obligasi WSKT yang masih berstatus selective default (idD). Menurut Kepala Divisi Pemeringkatan Non Jasa Keuangan 2 Pefindo, Yogie Surya Perdana, pemeringkatan bersifat dinamis dan Pefindo akan terus memantau kesiapan para emiten BUMN Karya dalam membayar surat utang yang jatuh tempo. “Afirmasi ini terkait dengan keyakinan kami bahwa para emiten tersebut memiliki kemampuan yang cukup kuat untuk melunasi kewajiban keuangan mereka secara penuh dan tepat waktu,” ujarnya dalam konferensi pers Pefindo, Kamis (18/7). Baca Juga: Wijaya Karya (WIKA) Groundbreaking Proyek Pengolahan Sampah Terbesar di Indonesia Yogie menjelaskan, Pefindo biasanya memantau dua bulan sebelum surat utang jatuh tempo untuk mengindikasikan kemampuan perusahaan dalam memenuhi kewajiban finansialnya. Terkait peringkat obligasi WSKT, Pefindo mencatat satu seri obligasi yang gagal bayar dan belum direstrukturisasi karena belum ada kesepakatan dalam rapat umum pemegang obligasi (RUPO). “Peringkatnya masih kami pertahankan di selective default,” jelasnya. Untuk WIKA, Pefindo menaikkan rating setelah ada upaya restrukturisasi yang disetujui oleh kreditur, terutama perbankan, serta perpanjangan tenor beberapa seri obligasi. Baca Juga: Kredit Himbara ke BUMN Tetap Tumbuh Kencang “Hal ini mengindikasikan bahwa risiko keuangan sedikit menurun seiring dengan disepakatinya restrukturisasi dengan kreditur dan perpanjangan skema pembayaran dengan pemegang obligasi,” tambah Yogie. Cek Berita dan Artikel yang lain di Google News"
Pemerintah Pilih Opsi Tingkatkan Pinjaman dan Kurangi Penerbitkan Surat Utang,2024-08-19T13:35:31.478Z,"Jumat, 12 Juli 2024 / 14:12 WIB",Reporter: Siti Masitoh | Editor: Herlina Kartika Dewi,https:////nasional.kontan.co.id/news/pemerintah-pilih-opsi-tingkatkan-pinjaman-dan-kurangi-penerbitkan-surat-utang,"KONTAN.CO.ID - JAKARTA. Pemerintah memutuskan untuk meningkatkan penarikan pinjaman dibandingkan dengan menerbitkan surat berharga negara (SBN), sebagai upaya optimalisasi pembiayaan anggaran. Dalam APBN 2024, pinjaman hanya ditargetkan sebesar Rp 18,4 triliun, namun target tersebut naik menjadi Rp 101,3 triliun. sementara itu, target penerbitan SBN justru turun, dari semula sebesar Rp 666,4 triliun menjadi Rp 451,9 triliun. Pinjaman tersebut terdiri dari pinjaman dalam negeri yang semula ditargetkan sekitar Rp 600 miliar, kini naik menjadi Rp 20,1 triliun. Kemudian, pinjaman luar negeri sebelumnya ditargetkan Ro 17,7 triliun kini naik menjadi  Rp 81,2 triliun. Baca Juga: Pemerintah Sudah Tarik Utang Baru Rp 214,7 Triliun di Semester I-2024 Melansir laporan pelaksanaan APBN Semester I 2024 disebutkan, pinjaman luar negeri naik secara signifikan karena pemerintah memanfaatkan opsi fleksibilitas pembiayaan utang, yaitu dengan mengoptimalkan pinjaman program dari ekuivalen US$ 2,0 miliar menjadi US$ 3,0 miliar. “Optimalisasi pinjaman program dilakukan untuk mengendalikan biaya dan risiko utang, mengurangi tekanan pasar keuangan dengan menurunkan target penerbitan SBN, dan menghindari crowding out effect,” tulis laporan tersebut, dikutip pada Jumat (12/7). Untuk diketahui, realisasi penarikan pinjaman pada semester I tahun 2024 telah mencapai Rp 8,5 triliun, yang terdiri dari pinjaman dalam negeri sebesar Rp 1,8 triliun dan pinjaman luar negeri sebesar Rp 6,6 triliun. Dalam penyiapan penarikan pinjaman, pemerintah secara konsisten melakukan koordinasi internal seperti Kementerian Keuangan, Kementerian PPN/Bappenas, Kemenko Perekonomian, Kemenkumham, dan K/L terkait agar penyiapan data pendukung dapat dilaksanakan lebih cepat dan terintegrasi. Baca Juga: Mantap! Cadangan Devisa Indonesia di Juni 2024 Naik Jadi US$ 140,2 Miliar Koordinasi dengan pemberi pinjaman juga dilaksanakan terutama dalam negosiasi, penyiapan dokumen, serta penentuan timing penarikan yang tepat, baik untuk pemerintah maupun pemberi pinjaman. “Dalam pelaksanaan pinjaman kegiatan, Pemerintah senantiasa melakukan pemantauan dan evaluasi atas pelaksanaan kegiatan dan progres penarikannya,” tulis laporan tersebut. Sejalan dengan itu, pemerintah juga berencana meningkatkan penggunaan saldo anggaran lebih (SAL) yang semula hanya dicanangkan sebesar Rp 51,4 triliun, kini meningkat menjadi Rp 151,4 triliun. Cek Berita dan Artikel yang lain di Google News"
"Pemerintah Targetkan Rp 36 triliun Pada Lelang Surat Utang Negara, Selasa (9/7)",2024-08-19T13:35:31.670Z,"Senin, 08 Juli 2024 / 12:42 WIB",Reporter: Akmalal Hamdhi | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/pemerintah-targetkan-rp-36-triliun-pada-lelang-surat-utang-negara-selasa-97,"KONTAN.CO.ID - JAKARTA. Pemerintah akan menggelar lelang Surat Utang Negara (SUN) dalam mata uang rupiah, Selasa (9/7). Pada lelang SUN kali ini, pemerintah menetapkan target indikatif sebesar Rp 24 triliun – Rp 36 triliun. Berdasarkan keterangan Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko (DJPPR) Kementerian Keuangan, terdapat tujuh (7) seri SUN yang akan dilelang mulai pukul 09.00 WIB hingga pukul 11.00 WIB. Lelang bertujuan untuk memenuhi sebagian dari target pembiayaan dalam APBN 2024. Berikut rincian dari delapan seri SUN yang akan ditawarkan pada lelang besok, Selasa (9/7):  Adapun penjualan SUN tersebut akan dilaksanakan dengan menggunakan sistem pelelangan yang diselenggarakan oleh Bank Indonesia (BI). Baca Juga: Penawaran Masuk Sebesar Rp 56,38 Triliun pada Lelang SUN, Selasa (25/6) Lelang bersifat terbuka (open auction), menggunakan metode harga beragam (multiple price). SUN yang akan dilelang mempunyai nominal per unit sebesar Rp 1 juta. Lelang SBN akan dibuka pada hari Selasa, tanggal 9 Juli 2024 pukul 09.00 WIB dan ditutup pukul 11.00 WIB. Hasil lelang akan diumumkan pada hari yang sama. Sementara, setelmen akan dilaksanakan pada tanggal 11 Juli 2024 atau 2 hari kerja setelah tanggal pelaksanaan lelang. Cek Berita dan Artikel yang lain di Google News"
"Penerbitan Surat Utang Multifinance Capai Rp 13,24 Triliun pada Semester I-2024",2024-08-19T13:35:31.723Z,"Kamis, 04 Juli 2024 / 18:20 WIB",Reporter: Aulia Ivanka Rahmana | Editor: Handoyo .,https:////keuangan.kontan.co.id/news/penerbitan-surat-utang-multifinance-capai-rp-1324-triliun-pada-semester-i-2024,"KONTAN.CO.ID - JAKARTA. PT Pemeringkat Efek Indonesia (Pefindo) melaporkan bahwa penerbitan surat utang oleh industri multifinance mencapai Rp 13,24 triliun pada semester pertama tahun 2024. Analis Fixed Income Pefindo, Ahmad Nasrudin, menyebutkan bahwa jumlah tersebut merupakan yang terbesar dibandingkan sektor lainnya. Namun, nilai penerbitan surat utang oleh industri multifinance ini lebih rendah dibandingkan periode yang sama tahun 2023 yang mencapai Rp 15,11 triliun. ""Penurunan tersebut kontras dengan total penerbitan yang direalisasikan secara nasional, yang mana meningkat dari Rp 45,99 triliun di semester I-2023 menjadi Rp 61,29 trillun selama enam bulan pertama tahun ini,"" ujar Nasrudin kepada Kontan.co.id, Kamis (4/7). Baca Juga: Multifinance Genjot Kontribusi dari Captive Market Menurut Nasrudin, terdapat dua faktor utama yang menyebabkan penurunan tersebut, yaitu suku bunga yang lebih tinggi dan jatuh tempo yang lebih rendah. Selain itu, tren pertumbuhan pembiayaan juga cenderung melambat dibandingkan akhir tahun lalu karena permintaan yang melemah. Suku bunga yang tinggi juga meningkatkan kupon yang harus dibayar, dan investor menuntut premi yang lebih tinggi karena peningkatan leverage keuangan perusahaan multifinance akibat suku bunga yang tinggi. ""Ketika suku bunga lebih tinggi, pendanaan multifinance melalui surat uang juga lebih rendah. Mereka mungkin lebih mengoptimalkan pendanaan melalui modal internal. Atau, mereka menerbitkan surat utang dengan jangka pendek sehingga ketika jatuh tempo dalam waktu dekat, bisa mereka biayai kembali dengan lebih murah ketika suku bunga mulai diturunkan oleh bank sentral,"" tambahnya. Pefindo juga mencatat bahwa surat utang multifinance yang jatuh tempo mencapai Rp 26,29 triliun pada tahun 2024. Dari jumlah tersebut, yang paling rendah adalah sebesar Rp 4,26 triliun pada kuartal I-2024. Akibatnya, penerbitan surat utang oleh multifinance selama periode ini relatif sepi. Bahkan, berdasarkan catatan Pefindo, tidak ada multifinance yang menerbitkan surat utang selama kuartal I-2024. Pertumbuhan multifinance juga cenderung melambat. Meskipun masih di atas dua digit, pertumbuhan multifinance hanya mencapai 12,2% YoY pada Maret 2024, lebih lambat dibandingkan periode yang sama tahun sebelumnya yang mencapai 16,4% YoY. Baca Juga: Multifinance Antisipasi Serangan Siber Nasrudin berharap penerbitan surat utang oleh multifinance sepanjang tahun 2024 setidaknya sama atau lebih tinggi dari tahun 2023 yang sebesar Rp 32,77 triliun. Hingga semester pertama tahun 2024, jumlahnya baru mencapai sekitar 40,40% dari total realisasi sepanjang tahun 2023. ""Saya berharap situasi ini akan mendorong penurunan kupon, sehingga menarik minat multifinance untuk mengakses pasar surat utang. Selain itu, suku bunga yang lebih rendah juga diharapkan dapat mendukung peningkatan permintaan terhadap jasa multifinance,"" lanjutnya. Situasi ini akhirnya berdampak pada kenaikan kupon surat utang. Misalnya, untuk tenor favorit 3 tahun, rata-rata kupon surat utang berperingkat AA naik dari 7,08% pada 2023 menjadi 7,25% pada semester I-2024. Sementara itu, untuk tenor satu tahun, persentasenya naik dari 6,08% menjadi 6,70%. Kemudian, untuk peringkat tertinggi, AAA, tenor satu tahun melihat kenaikan kupon dari 5,99% menjadi 6,40% untuk periode perbandingan yang sama. Cek Berita dan Artikel yang lain di Google News"
Jasa Marga (JSMR) Menerbitkan Surat Utang Untuk Pemeliharaan Ruas Tol,2024-08-19T13:35:32.047Z,,,https:////insight.kontan.co.id/news/jasa-marga-jsmr-menerbitkan-surat-utang-untuk-pemeliharaan-ruas-tol,
