Title,Scrapping Date,Article Date,Author,Link,Content,Category
"GLOBAL MARKETS - US Stocks End Mixed on Rising Treasury Yields, Middle East Jitters",2024-08-21T01:46:20.176Z,,,https:////english.kontan.co.id/news/global-markets-us-stocks-end-mixed-on-rising-treasury-yields-middle-east-jitters,,english
Reli Harga Emas Terhenti Kenaikan Imbal US Treasury,2024-08-21T01:46:20.272Z,"Selasa, 16 April 2024 / 20:21 WIB",Reporter: Tendi Mahadi | Editor: Tendi Mahadi,https:////investasi.kontan.co.id/news/reli-harga-emas-terhenti-kenaikan-imbal-us-treasury,"KONTAN.CO.ID - LONDON. Harga emas turun pada hari Selasa, di bawah tekanan dari tingginya imbal hasil Treasury AS. Sementara itu investor juga mulai mengambil untung dari reli yang mendorong harga emas ke rekor puncaknya pada minggu lalu. Harga emas di pasar spot turun 0,3% menjadi US$ 2.375,50 per ons pada 1244 GMT. Sebelumnya harga emas naik 1,7% pada hari Senin dan menyentuh level tertinggi sepanjang masa di level US$ 2.431,29 pada hari Jumat pekan lalu. Imbal hasil US Treasury 10 tahun berada di level 4,63%, setelah melonjak ke level tertinggi dalam lima bulan di 4,66% pada hari Senin setelah penjualan ritel AS meningkat lebih dari perkiraan pada bulan Maret. Hal ini mendorong pasar untuk meningkatkan taruhan terhadap penurunan suku bunga AS yang lebih kecil pada tahun 2024. Baca Juga: Menakar Kilau Harga Emas di Tengah Memanasnya Tensi Geopolitik “Meskipun korelasi jangka panjang antara keduanya (emas dan imbal hasil Treasury) tampaknya telah ditinggalkan, namun dalam jangka pendek, hal tersebut masih berpengaruh,” kata analis independen Ross Norman. Harga emas naik 15% sepanjang tahun ini setelah reli pada bulan Maret-April, didorong oleh ekspektasi inflasi yang berkelanjutan, dan kenaikan permintaan safe-haven di tengah ketegangan geopolitik di Timur Tengah serta kuatnya pembelian oleh bank sentral. “Reli emas ini nampaknya masih jauh dari selesai,” tambah Norman. Analis di Citi memperkirakan harga emas akan secara teratur menguji dan menembus US$ 2.500 per ons pada paruh kedua tahun 2024 dan mencapai US$ 3.000 per ons selama enam-18 bulan ke depan. Cek Berita dan Artikel yang lain di Google News",investasi
"Wall Street Ditutup Melemah, Terseret Ketegangan di Timur Tengah dan US Treasury Naik",2024-08-21T01:46:20.510Z,"Selasa, 16 April 2024 / 08:00 WIB",Sumber: Reuters | Editor: Anna Suci Perwitasari,https:////internasional.kontan.co.id/news/wall-street-ditutup-melemah-terseret-ketegangan-di-timur-tengah-dan-us-treasury-naik,"KONTAN.CO.ID - NEW YORK. Wall Street ditutup melemah tajam dengan tiga indeks utama kompak anjlok. Bursa Saham Amerika Serikat (AS) itu terseret lonjakan imbal hasil US Treasury dan kekhawatiran tentang meningkatnya ketegangan geopolitik antara Iran dan Israel. Senin (15/4), Dow Jones Industrial Average ditutup turun 0,65% menjadi 37.735,11, indeks S&P 500 melemah 1,20% ke 5.061,82 dan indeks Nasdaq Composite anjlok 1,79% ke 15.885,02. Indeks S&P 500 kini sudah melemah 2,64% selama dua sesi terakhir, penurunan dua hari terbesar sejak awal Maret 2023. Indeks juga ditutup di bawah rata-rata pergerakan 50 hari, level dukungan teknis, untuk pertama kalinya sejak 2 November. Dengan indeks S&P 500 keluar dari persentase penurunan satu hari terbesar sejak 31 Januari di sesi sebelumnya, bursa saham AS dibuka menguat sebagian setelah data menunjukkan penjualan ritel meningkat lebih dari perkiraan pada bulan Maret. Baca Juga: Wall Street Dibuka Hijau di Tengah Ketegangan Timur Tengah Sentimen lain yang juga memberikan dukungan di awal perdagangan adalah kenaikan di beberapa saham sektor keuangan setelah hasil kuartalannya. Di mana, saham Goldman Sachs naik 2,92% setelah laba kuartal pertama mengalahkan perkiraan Wall Street, didorong oleh pemulihan dalam penjaminan emisi, transaksi dan perdagangan obligasi yang meningkatkan pendapatannya per saham ke level tertinggi sejak akhir tahun 2021. Saham M&T Bank melonjak 4,74% setelah memperkirakan pendapatan bunga bersih (NII) tahunan yang lebih baik dari perkiraan. Sedangkan saham broker Charles Schwab naik 1,71% meskipun melaporkan penurunan laba kuartalan. Saham-saham tersebut adalah tiga saham yang berkinerja terbaik di sektor keuangan pada indeks S&P 500. Namun kenaikan tersebut memudar karena kekhawatiran permusuhan antara Israel dan Iran akan terus berkobar. Di tambah, imbal hasil Treasury melonjak, dengan obligasi AS dengan tenor acuan 10 tahun mencapai level tertinggi sejak November. ""Anda melihat sedikit kenaikan pagi ini karena mungkin orang berpikir 'OK, sahamnya dijual pada hari Jumat' untuk mengantisipasi sesuatu yang sangat buruk terjadi di Timur Tengah,"" kata Ken Polcari, Managing Partner di Kace Capital Advisors di Boca Raton. Florida. “Semua masalah geopolitik akan menimbulkan ketegangan dan kecemasan di pasar, kesadaran bahwa suku bunga tidak akan turun dalam waktu dekat akhirnya akan menjadi kenyataan, itulah yang dikatakan pasar obligasi kepada Anda, bahwa suku bunga akan naik lebih tinggi,"" tambah dia. Israel menghadapi tekanan yang semakin besar dari sekutunya untuk menahan diri dan menghindari eskalasi konflik di Timur Tengah ketika Israel mempertimbangkan bagaimana menanggapi serangan rudal dan drone Iran pada akhir pekan, yang diluncurkan setelah dugaan serangan Israel terhadap kedutaan besarnya. Pada sesi ini, dari 11 sektor utama indeks S&P  500 melemah, dengan sektor real estat dan utilitas yang sensitif terhadap suku bunga termasuk di antara sektor-sektor dengan kinerja terburuk. Baca Juga: Simak Proyeksi IHSG dan Rekomendasi Saham pada Hari Pertama Usai Libur Lebaran Saham-saham mengalami kesulitan baru-baru ini, dengan indeks S&P 500 mengalami penurunan selama dua minggu berturut-turut dan persentase penurunan mingguan terbesar sejak Oktober di pekan lalu karena investor telah memundurkan ekspektasi mengenai waktu dan ukuran penurunan suku bunga dari Federal Reserve. Saham Apple turun 2,19% sebagai salah satu hambatan terbesar pada indeks S&P 500 setelah data dari firma riset IDC menunjukkan, pengiriman ponsel pintar perusahaan turun sekitar 10% pada kuartal pertama tahun 2024. Saham Tesla juga merosot 5,6% setelah pembuat kendaraan listrik tersebut mengatakan akan memberhentikan lebih dari 10% tenaga kerja globalnya, menurut memo internal yang dilihat oleh Reuters. Sejalan, saham Salesforce ambles 7,28% setelah Reuters melaporkan, mengutip sebuah sumber, bahwa pembuat perangkat lunak hubungan pelanggan sedang dalam pembicaraan lanjutan untuk mengakuisisi Informatica.",internasional
"Imbal Hasil US Treasury Naik, Bursa Wall Street Dibuka Menguat Tipis",2024-08-21T01:46:20.670Z,"Senin, 08 April 2024 / 21:37 WIB",Sumber: Reuters | Editor: Khomarul Hidayat,https:////investasi.kontan.co.id/news/imbal-hasil-us-treasury-naik-bursa-wall-street-dibuka-menguat-tipis,"KONTAN.CO.ID - NEW YORK. Indeks bursa saham Wall Street dibuka naik tipis pada Senin (8/4). Bursa Wall Street menanjak setelah imbal hasil US Treasury naik karena meningkatnya spekulasi bahwa Federal Reserve AS dapat menunda penurunan suku bunga tahun ini. Senin (8/4), Pada pukul 9:49 pagi ET, Dow Jones Industrial Average naik 72,78 poin atau 0,19% ke 38.976,82. Lalu, indeks S&P 500 menguat 0,83 poin atau 0,02% menjadi 5.205,17, dan Nasdaq Composite naik 14,24 poin atau 0,09% ke 16.262,76. Komentar hawkish dari pejabat bank sentral minggu lalu dan laporan manufaktur dan pekerjaan yang lebih kuat dari perkiraan menunjukkan ketahanan ekonomi Amerika Serikat (AS), sehingga mengurangi tekanan pada The Fed untuk menurunkan suku bunga dengan cepat. Saham-saham AS mencatat kerugian mingguan pada hari Jumat karena para trader mengurangi ekspektasi mengenai waktu penurunan suku bunga. Mereka sekarang melihat peluang sekitar 51% bagi The Fed untuk mengumumkan penurunan suku bunga pertamanya pada bulan Juni, menurut CME FedWatch Tool, turun dari sekitar 58% pada awal minggu lalu. Baca Juga: Harga Minyak Dunia Stabil, Perundingan Gencatan Senjata Israel - Hamas Masih Buntu Pasar juga telah mengurangi ekspektasi penurunan suku bunga lebih dari tiga kali pada tahun ini, dari tiga hingga empat kali penurunan suku bunga pada beberapa minggu lalu, menurut data LSEG. “Banyak orang mencoba untuk terlalu optimis dengan penurunan suku bunga The Fed. Itu tidak masuk akal,” kata Michael Matousek, kepala pedagang di US Global Investors Inc seperti dikutip Reuters. ""Kami telah melihat angka-angka perekonomian selama beberapa minggu terakhir. Tidak panas namun masih kuat. Jadi mengapa Anda benar-benar ingin menurunkan suku bunga?"" imbuhnya Imbal hasil obligasi Treasury 10-tahun naik ke level tertinggi sejak November lalu di awal sesi, menekan ekuitas, dan terakhir berada di level 4,417%. Fokus pasar kini beralih ke Indeks Harga Konsumen (CPI) AS bulan Maret, yang akan dirilis minggu ini, yang diperkirakan akan menunjukkan kenaikan inflasi umum menjadi 3,4% tahun-ke-tahun, dari 3,2% di bulan Februari. Yang juga menjadi perhatian adalah rilis risalah pertemuan terbaru The Fed, yang tetap berpegang pada panduan penurunan suku bunga sebanyak tiga kali pada tahun 2024. Cek Berita dan Artikel yang lain di Google News",investasi
"GLOBAL MARKETS - Equities Gain on In-Line US Inflation, Treasury Yields Dip",2024-08-21T01:46:20.882Z,,,https:////english.kontan.co.id/news/global-markets-equities-gain-on-in-line-us-inflation-treasury-yields-dip,,english
"Wall Street Turun Imbas Kenaikan Yield US Treasury, Laporan Pendapatan Jadi Fokus",2024-08-21T01:46:20.927Z,"Senin, 05 Februari 2024 / 21:52 WIB",Sumber: Reuters | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/wall-street-turun-imbas-kenaikan-yield-us-treasury-laporan-pendapatan-jadi-fokus,"KONTAN.CO.ID - NEW YORK. Wall Street dibuka melemah pada perdagangan Senin (5/2), dipicu imbal hasil (yield) US Treasury yang naik setelah Gubernur The Fed Jerome Powell menolak dengan tegas spekulasi pasar tentang penurunan suku bunga dalam waktu dekat. Sementara itu, investor menimbang laporan kinerja pendapatan dari perusahaan AS. Mengutip Reuters, pada bel pembukaan perdagangan, indeks Dow Jones Industrial Average turun 107,65 poin, atau 0,28% ke level 38.546,77. S&P 500 turun 1,42 poin, atau 0,03%, ke level 4,957.19, sedangkan Nasdaq Composite turun 14,96 poin, atau 0,10% ke level 15,613.99. Dalam sebuah wawancara yang disiarkan pada hari Minggu, Powell mengatakan diperlukan lebih banyak bukti untuk menunjukkan tren penurunan inflasi yang berkelanjutan guna menjamin penurunan suku bunga karena kekuatan perekonomian menjaga risiko resesi tetap terkendali. Meskipun data terbaru mengisyaratkan ketahanan pasar tenaga kerja AS dalam menghadapi kondisi kredit yang paling ketat dalam beberapa tahun terakhir, memperkuat harapan akan terjadinya soft landing, ketidakpastian mengenai kapan biaya pinjaman akan diturunkan masih tetap ada. Baca Juga: Wall Street Menguat, S&P 500 Melonjak ke Rekor Penutupan Tertinggi, Jumat (2/2) Imbal hasil Treasury AS bertenor dua tahun melonjak ke level tertinggi dalam satu bulan, yaitu di level 4,4%. “Investor khawatir meskipun perekonomian dalam kondisi baik dan kita tidak menuju resesi, namun (data ekonomi) terlalu kuat sehingga The Fed mungkin akan memangkas suku bunganya nanti dan melakukan lebih sedikit pemotongan secara keseluruhan,” kata Sam Stovall, kepala strategi investasi di CFRA Research. Secara terpisah, Pejabat Fed Minneapolis Neel Kashkari menulis bahwa perekonomian yang tangguh dapat berarti bahwa bank sentral akan butuh waktu untuk menurunkan suku bunga acuan. Menurut CME FedWatch Tool, kini, para pedagang memperkirakan peluang penurunan suku bunga The Fed sebesar 25 basis poin pada Mei sekitar 64%. Sedangkan peluang penurunan suku bunga pada Juni mencapai 95%. Saham Caterpillar melonjak 4,7% dalam perdagangan pre market setelah laba kuartalan lebih tinggi, sementara saham Estee Lauder melonjak 17,4% karena pembuat lipstik MAC tersebut berencana memangkas sekitar 3% hingga 5% tenaga kerjanya, sekaligus memangkas perkiraan laba tahunannya. Baca Juga: Wall Street Mixed, Indeks Nasdaq Naik Ditopang Pendapatan Sektor Teknologi Fokus investor juga tertuju pada laporan pendapatan dari emiten-emiten lama seperti Eli Lilly, Ford dan PepsiCo, yang dijadwalkan sepanjang minggu. Pedagang juga akan menganalisis survei non-manufaktur Institute of Supply Management (ISM) bulan Januari untuk mengukur kesehatan perekonomian. Cek Berita dan Artikel yang lain di Google News",investasi
Wall Street Tergelincir Usai Imbal Hasil US Treasury Naik,2024-08-21T01:46:21.046Z,"Rabu, 17 Januari 2024 / 22:53 WIB",Sumber: Reuters | Editor: Anna Suci Perwitasari,https:////investasi.kontan.co.id/news/wall-street-tergelincir-usai-imbal-hasil-us-treasury-naik,"KONTAN.CO.ID - NEW YORK. Wall Street dibuka melemah karena saham-saham megacaps terpukul oleh kenaikan imbal hasil US Treasury, setelah kenaikan penjualan ritel AS yang lebih tinggi dari perkiraan pada bulan Desember 2023. Hal itu mengurangi harapan penurunan suku bunga lebih awal dari Federal Reserve pada tahun ini. Rabu (17/1), Dow Jones Industrial Average turun 110,22 poin atau 0,30% ke 37,250.90, indeks S&P 500 juga melemah 36,50 poin atau 0,77% ke 4,729.48 dan Nasdaq Composite turun 210,44 poin, atau 1,41%, pada 14.733,90. Dengan posisi tersebut, indeks S&P 500 melemah ke level terendah dalam satu minggu. Sedangkan indeks saham blue-chip Dow Jones turun ke level terendah hampir satu bulan. Pada awal perdagangan, saham megacaps termasuk Apple, Alphabet, Amazon.com dan Meta Platforms turun antara 1,3% dan 2,2%, karena imbal hasil US Treasury tenor 10 tahun naik menjadi lebih dari 4%. Sektor teknologi informasi adalah sektoral yang paling terpukul setelah turun 1,4% dalam indeks S&P 500. Baca Juga: Wall Street Dibuka Melemah Dipengaruhi Penjualan Ritel yang Menguat Data menunjukkan pengecer yang menawarkan diskon dan peningkatan pembelian kendaraan bermotor membantu kenaikan penjualan ritel AS yang lebih tinggi dari perkiraan, sehingga menjaga perekonomian tetap kokoh pada tahun 2024. Ekspektasi para pedagang terhadap penurunan suku bunga sebesar 25 basis poin oleh The Fed pada bulan Maret turun menjadi 55%, dari sekitar 60% sebelum data tersebut dirilis. ""Setelah data penjualan ritel, investor khawatir bahwa The Fed cenderung tidak akan menurunkan suku bunga pada bulan Maret, sehingga menunda penurunan suku bunga pertama,"" kata Sam Stovall, kepala strategi investasi CFRA Research di New York. ""Pasar saat ini sedang melalui fase pencernaan karena menilai kembali waktu dan besarnya penurunan suku bunga pada tahun kalender ini."" Memasuki pertengahan bulan pertama tahun 2024, reli Wall Street yang hampir mencapai 14% dalam dua bulan terakhir tahun 2023 mulai melemah karena para bankir sentral AS terus meremehkan ekspektasi akan segera dimulainya siklus pelonggaran kebijakan, sementara data mengenai kinerja perekonomian tampak bercampur. Indeks Volatilitas Pasar CBOE, yang merupakan ukuran ketakutan pasar, naik ke level tertinggi dalam dua bulan sebesar 14,80 poin pada siang hari. Investor juga akan dengan cermat memantau pernyataan beberapa pejabat Fed pada hari itu, bersamaan dengan rilisnya ""Beige Book"", gambaran perekonomian AS, pada pukul 14.00 waktu setempat. DAN. Sementara itu, saham Tesla melemah 2,5% setelah pembuat kendaraan listrik tersebut memangkas harga mobil Model Y di Jerman, seminggu setelah menurunkan harga untuk beberapa model di China. Baca Juga: IHSG Ditutup Melemah 0,58%, Simak Proyeksi IHSG untuk Kamis (18/1) Sejalan, saham Morgan Stanley turun 1,7% karena penurunan peringkat broker setelah pendapatan kuartal keempat yang lemah pada hari Selasa. Pemberi pinjaman lain seperti Bank of America dan Citigroup juga masing-masing turun lebih dari 1%. Di sisi pendapatan, Charles Schwab turun 5,3%, setelah laba kuartal IV-2023 melemah 47%. Spirit Airlines turun 20,7%, menyusul penurunan di sesi sebelumnya, setelah hakim AS memblokir JetBlue untuk mengakuisisi maskapai tersebut. Ford Motor turun 1,8% karena laporan bahwa UBS telah menurunkan peringkat sahamnya. Di sisi lain, saham Boeing  naik 1,1% setelah Administrasi Penerbangan Federal mengatakan inspeksi kelompok awal pesawat 737 MAX 9 telah selesai.     Cek Berita dan Artikel yang lain di Google News",investasi
"UPDATE Harga Emas Spot Selasa (16/1): Turun 0,7%, Tertekan Dolar dan US Treasury",2024-08-21T01:46:21.261Z,"Selasa, 16 Januari 2024 / 17:47 WIB",Sumber: Reuters | Editor: Yudho Winarto,https:////investasi.kontan.co.id/news/update-harga-emas-spot-selasa-161-turun-07-tertekan-dolar-dan-us-treasury,"KONTAN.CO.ID - Harga emas turun pada hari Selasa (16/1), terpukul oleh penguatan dolar Amerika Serikat (AS) dan imbal hasil US Treasury. Pasar menunggu komentar dari beberapa pejabat The Fed minggu ini untuk mengukur lebih lanjut jalur kebijakan moneter bank sentral. Harga emas di pasar spot turun 0,7% menjadi US$2.041,09 per ons troi pada 0958 GMT. Sedangkan, harga emas berjangka AS turun 0,3% menjadi US$2.045,00. Baca Juga: Harga Emas Spot Sedikit Meredup ke US$2.049,07 pada Selasa (16/1) “Melihat apa yang terjadi di pasar, menurut saya narasinya sangat bergantung pada kekuatan dolar dan ini berdampak buruk pada harga emas,” kata Ricardo Evangelista, analis senior di ActivTrades. ""Saya melihat emas mendapat dukungan tepat di atas level US$2.000, namun saat ini saya tidak melihat banyak kenaikan karena penguatan dolar AS dan kenaikan imbal hasil treasury juga."" Indeks dolar naik 0,5% ke level tertinggi lebih dari satu bulan, membuat emas batangan kurang menarik bagi pemegang mata uang lainnya. Sementara imbal hasil obligasi pemerintah AS bertenor 10 tahun naik di atas 4%. Gubernur The Fed Christopher Waller dijadwalkan menyampaikan pidato mengenai prospek ekonomi di hadapan Brookings Institution pada pukul 1600 GMT, dengan setidaknya enam pejabat lainnya akan berbicara minggu ini. Baca Juga: Harga Emas Antam Hari Ini Naik Rp 4.000 Jadi Rp 1.134.000 Per Gram Pada Selasa (16/1) ""Para pejabat The Fed mungkin akan mempertahankan pedoman netral, menjaga semua opsi berdasarkan data yang masuk. Jadi untuk melihat harga emas bergerak lebih tinggi, kita harus tetap berada pada jalur yang lunak (soft landing),"" kata analis UBS Giovanni Staunovo. Bank sentral AS diperkirakan akan mempertahankan suku bunganya pada akhir pertemuan 30-31 Januari. Pedagang sekarang melihat kemungkinan 70% penurunan suku bunga pada bulan Maret, menurut CME Fedwatch tool. Suku bunga yang lebih rendah meningkatkan daya tarik emas batangan yang tidak memberikan imbal hasil. Di tempat lain, pejabat Bank Sentral Eropa menolak ekspektasi pasar akan penurunan suku bunga yang cepat pada tahun ini. Adapun harga perak di pasar spot turun 0,5% menjadi US$23,09 per ons troi, platinum turun 1,4% menjadi US$902,51, dan paladium turun 1,9% menjadi US$953,38. Cek Berita dan Artikel yang lain di Google News",investasi
"Selisih Yield SBN dan US Treasury 10 Tahun Melebar, Dana Asing Berpotensi Masuk RI",2024-08-21T01:46:21.304Z,"Minggu, 17 Desember 2023 / 17:42 WIB",Reporter: Sugeng Adji Soenarso | Editor: Herlina Kartika Dewi,https:////investasi.kontan.co.id/news/selisih-yield-sbn-dan-us-treasury-10-tahun-melebar-dana-asing-berpotensi-masuk-ri,"KONTAN.CO.ID - JAKARTA. Selisih alias spread yield antara SUN 10 tahun dengan US Treasury 10 tahun yang melebar diperkirakan mampu mendorong minat asing masuk ke pasar surat utang Indonesia. Sebagai gambaran, pada akhir November 2023 yield SUN 10 tahun di level 6,63% dan yield US Treasury 10 tahun di 4,33%. Sehingga selisih yieldnya sekitar 230 bps. Sementara per 14 Desember 2023, selisih yield antara SUN 10 tahun dengan US Treasury 10 tahun sebesar 271 bps. Fixed Income Analyst Pefindo Ahmad Nasrudin mengatakan pelebaran spread karena pada saat US Treasury turun, yield SUN 10 tahun justru naik. ""Anomali itu tidak lepas dari hasil pertemuan terakhir the Fed yang mensinyalkan untuk menurunkan suku bunga tiga kali di tahun depan,"" ujarnya kepada Kontan.co.id, Sabtu (16/12). Baca Juga: Multifinance Bersiap Merilis Obligasi di Tahun Depan Dengan melebarnya selisih yield domestik dengan pasar AS tersebut, Ahmad memperkirakan akan membuat pasar domestik menarik. Sebab spread yang lebar membuat pasar domestik memberikan imbal hasil yang lebih tinggi. ""Sehingga, saya mengharapkan itu akan mendorong aliran modal masuk meski saya lihat akan tetap volatile dalam jangka pendek ini akibat ketidakpastian eksternal masih tinggi,"" sambungnya. Selain melebarnya selisih yield, katalis yang akan mendorong asing masuk ke Indonesia adalah peringkat sovereign yang bertahan di level investment grade dan dukungan kebijakan makroekonomi yang pruden. Meski begitu, ada sejumlah risiko yang perlu diwaspadai, misalnya, ekses suku bunga ekstra tinggi terhadap perekonomian. Lalu skenario jika suku bunga tinggi bertahan hingga mendekati akhir tahun 2024. Baca Juga: Bukan karena Kekurangan Dana, Ini Alasan Otoritas IKN akan Terbitkan Obligasi Kemudian ada risiko geopolitik, pasokan baru yang lebih tinggi, pelemahan pertumbuhan ekonomi Tiongkok, dan semakin intensifnya pengawasan pasar Kripto seperti Binance. ""Kami mengharapkan akan ada sekitar Rp 30 triliun hingga Rp 50 triliun di tahun depan,"" imbuhnya. Adapun hingga 15 Desember 2023, arus modal asing yang masuk tercatat sebesar Rp 73,9 triliun. Cek Berita dan Artikel yang lain di Google News",investasi
"Wall Street Cenderung Turun, Nasdaq Terangkat Penurunan Yield US Treasury",2024-08-21T01:46:21.405Z,"Rabu, 06 Desember 2023 / 06:15 WIB",Reporter: Wahyu Tri Rahmawati | Editor: Wahyu T.Rahmawati,https:////investasi.kontan.co.id/news/wall-street-cenderung-turun-nasdaq-terangkat-penurunan-yield-us-treasury,"KONTAN.CO.ID - JAKARTA. Wall Street bergerak bervariasi pada perdagangan Selasa (5/12). Data ketenagakerjaan baru mendukung spekulasi bahwa Federal Reserve Amerika Serikat (AS) akan memangkas suku bunga paling cepat pada bulan Maret 2024. Selasa (5/12), S&P 500 turun 0,06% mengakhiri sesi pada 4.567,18. Dow Jones Industrial Average turun 0,22% menjadi 36.124,56. Nasdaq Composite menguat 0,31% menjadi 14.229,91. Perusahaan-perusahaan paling berharga di Wall Street menguat karena imbal hasil US Treasury merosot ke posisi terendah dalam beberapa bulan. Nvidia dan Apple naik lebih dari 2%, sementara Amazon.com dan Tesla naik lebih dari 1%. Sebagian besar indeks sektor S&P 500 berakhir melemah setelah data menunjukkan lowongan pekerjaan di AS turun pada bulan Oktober ke level terendah sejak awal tahun 2021. Data terbaru ini menunjukkan bahwa pasar tenaga kerja sedang mengalami pelonggaran. “Ketika suku bunga naik dan permintaan melambat, perusahaan-perusahaan menarik kembali lowongan pekerjaan, yang pada dasarnya adalah apa yang diinginkan The Fed,” kata Sam Stovall, kepala strategi investasi CFRA Research di New York kepada Reuters. Dia menambahkan, The Fed mungkin sudah selesai menaikkan suku bunganya, dan satu-satunya pertanyaan yang belum terselesaikan adalah kapan mereka mulai menurunkan suku bunga. Laporan lain menunjukkan aktivitas sektor jasa AS meningkat pada bulan November. Indeks saham kecil Russell 2000 turun 1,4%, mengakhiri kenaikan beruntun empat hari. Dari 11 indeks sektor S&P 500, delapan indeks melemah, dipimpin oleh penurunan sektor energi sebesar 1,7%, diikuti oleh penurunan sektor material sebesar 1,37%. Perdagangan saham AS minggu ini tidak merata setelah S&P 500 rebound hampir 9% di bulan November. Indeks pada hari Jumat menyentuh level tertinggi dalam empat bulan. Investor pasar saham secara luas memperkirakan The Fed akan mempertahankan suku bunganya tidak berubah pada pertemuan minggu depan. Suku bunga berjangka juga menunjukkan kemungkinan 65% penurunan suku bunga pada pertemuan The Fed bulan Maret, menurut FedWatch CME Group. Pada hari Jumat pekan ini, laporan non-farm payrolls yang lebih komprehensif untuk bulan November akan memberikan kejelasan yang lebih besar mengenai keadaan pasar tenaga kerja. Pasar global akan terpengaruh oleh volatilitas yang lebih besar pada tahun 2024 karena The Fed memangkas suku bunga acuan lebih sedikit dibandingkan perkiraan pasar berjangka, prediksi ahli strategi di BlackRock Investment Institute dalam diskusi panel.​ Cek Berita dan Artikel yang lain di Google News",investasi
